                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7955,                 18.019,                 2.2742,                0.00403,                  0.096,                0.00707,                0.00311,                 2.6508,                 4.3288,                 1.4088,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3858,                 4.1345,                 1.2071,                0.40929,                0.09635,                0.04127,                0.02017,                 2.0001,                 3.0465,                 1.0928,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9908,                 3.2473,                 1.0541,                   0.44,                0.11988,                0.07863,                0.04198,                 1.6273,                  2.586,                 1.0068,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7216,                 2.7452,                0.98351,                0.49169,                0.19813,                0.12788,                0.07211,                 1.3925,                 2.2447,                0.94505,               0.009901,               0.009901,               0.009901
                      5,                 1.5307,                 2.3954,                0.94157,                0.36876,                0.27809,                0.16044,                0.09402,                 1.3005,                 2.0752,                0.92145,               0.009868,               0.009868,               0.009868
                      6,                 1.4481,                 2.1723,                0.92415,                0.39085,                0.28963,                0.20892,                0.12663,                 1.2714,                 1.9068,                0.91066,               0.009835,               0.009835,               0.009835
                      7,                 1.3561,                 2.0433,                 0.9056,                0.37348,                0.33944,                 0.2393,                0.15077,                 1.1672,                 1.8285,                0.89326,               0.009802,               0.009802,               0.009802
                      8,                 1.3274,                 1.9316,                0.89196,                0.42462,                0.34697,                0.26345,                0.16607,                 1.1756,                 1.7526,                0.88724,               0.009769,               0.009769,               0.009769
                      9,                 1.2894,                  1.886,                0.88882,                 0.3694,                0.36584,                0.26829,                0.16956,                 1.1461,                 1.6925,                0.87666,               0.009736,               0.009736,               0.009736
                     10,                 1.2471,                 1.8047,                0.87854,                 0.4424,                 0.3606,                0.28624,                0.18375,                 1.1215,                 1.6802,                0.87209,               0.009703,               0.009703,               0.009703
                     11,                 1.2302,                  1.743,                 0.8786,                0.44446,                0.38222,                0.29502,                0.19002,                 1.1212,                 1.6473,                0.87355,                0.00967,                0.00967,                0.00967
                     12,                  1.207,                 1.7104,                0.87328,                0.43082,                0.38475,                0.31857,                0.20861,                 1.0838,                 1.5602,                0.86722,               0.009637,               0.009637,               0.009637
                     13,                 1.2149,                 1.7181,                0.87326,                0.44716,                0.39455,                0.32488,                0.21393,                 1.0302,                 1.5564,                0.85606,               0.009604,               0.009604,               0.009604
                     14,                  1.182,                 1.6726,                0.86494,                0.41573,                0.40109,                0.32881,                0.21868,                 1.0556,                 1.5178,                0.86348,               0.009571,               0.009571,               0.009571
                     15,                 1.1724,                 1.6477,                0.86279,                0.50429,                0.39795,                0.34181,                0.22332,                 1.0735,                 1.5078,                0.86585,               0.009538,               0.009538,               0.009538
                     16,                 1.1467,                 1.6136,                0.86256,                0.41129,                0.43247,                0.35729,                0.23897,                 1.0186,                   1.46,                0.85555,               0.009505,               0.009505,               0.009505
                     17,                 1.1585,                  1.608,                0.86132,                0.41864,                0.42237,                0.35363,                0.23618,                 1.0147,                 1.4706,                0.85519,               0.009472,               0.009472,               0.009472
                     18,                 1.1402,                 1.5913,                0.86012,                0.54333,                0.40449,                0.36249,                0.24714,                0.99226,                 1.4498,                0.85052,               0.009439,               0.009439,               0.009439
                     19,                 1.1239,                 1.5485,                0.85758,                0.42008,                0.43931,                0.36634,                0.24597,                 1.0049,                 1.4385,                0.84835,               0.009406,               0.009406,               0.009406
                     20,                  1.127,                 1.5549,                0.85428,                 0.4208,                0.40616,                0.36834,                0.24909,                0.98128,                 1.4267,                0.84999,               0.009373,               0.009373,               0.009373
                     21,                 1.1121,                  1.516,                0.84948,                0.37193,                0.42107,                0.38277,                0.26005,                0.99712,                 1.4033,                0.84909,                0.00934,                0.00934,                0.00934
                     22,                 1.1213,                 1.5231,                0.85482,                0.42974,                0.42586,                0.38474,                0.26451,                0.97527,                 1.3719,                0.84583,               0.009307,               0.009307,               0.009307
