                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8755,                 21.411,                 2.3335,                0.18853,                0.02206,                0.00461,                0.00229,                 2.7015,                 4.5296,                 1.3787,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3972,                 4.0589,                 1.2021,                0.01511,                0.32896,                0.03628,                0.01627,                 1.9849,                 3.3591,                 1.0879,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0398,                 3.2742,                 1.0568,                0.23326,                 0.1868,                0.07226,                0.03471,                 1.7434,                 2.9834,                 1.0165,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7767,                 2.7642,                0.99453,                0.35558,                0.17983,                0.09508,                 0.0551,                 1.5654,                  2.458,                0.98132,               0.009901,               0.009901,               0.009901
                      5,                 1.5661,                 2.4238,                0.95262,                0.27215,                0.30402,                0.15716,                0.09379,                  1.292,                 2.2445,                0.90693,               0.009868,               0.009868,               0.009868
                      6,                 1.4695,                 2.2032,                0.93202,                 0.3759,                0.25622,                0.18306,                0.10848,                  1.259,                  2.015,                 0.9073,               0.009835,               0.009835,               0.009835
                      7,                 1.3743,                 2.0798,                0.90893,                0.31703,                0.33626,                0.21517,                0.13411,                 1.1573,                 1.8624,                0.88832,               0.009802,               0.009802,               0.009802
                      8,                 1.3461,                 1.9658,                0.89381,                0.41158,                0.33904,                0.24355,                0.15383,                 1.1448,                 1.7605,                0.88063,               0.009769,               0.009769,               0.009769
                      9,                 1.3097,                 1.9038,                0.89175,                0.28823,                0.33521,                0.23998,                0.14844,                 1.1686,                 1.7701,                 0.8845,               0.009736,               0.009736,               0.009736
                     10,                 1.2638,                 1.8262,                0.88162,                0.34577,                0.36529,                 0.2592,                0.16116,                  1.112,                 1.6999,                0.86931,               0.009703,               0.009703,               0.009703
                     11,                 1.2462,                 1.7791,                 0.8797,                0.43627,                0.36151,                0.27559,                0.17639,                 1.0995,                 1.6667,                0.86627,                0.00967,                0.00967,                0.00967
                     12,                 1.2218,                  1.738,                0.87538,                0.45637,                0.38005,                0.29687,                0.19124,                 1.0827,                 1.6127,                 0.8647,               0.009637,               0.009637,               0.009637
                     13,                 1.2323,                 1.7407,                0.87656,                0.36228,                0.38448,                 0.3068,                 0.1996,                 1.0283,                 1.5836,                0.85622,               0.009604,               0.009604,               0.009604
                     14,                 1.2048,                 1.7046,                0.86781,                0.41725,                0.38144,                 0.3084,                0.20118,                 1.0485,                 1.5513,                 0.8573,               0.009571,               0.009571,               0.009571
                     15,                 1.1869,                 1.6827,                0.86429,                0.49511,                0.36459,                0.32192,                 0.2089,                 1.0554,                 1.5335,                0.86334,               0.009538,               0.009538,               0.009538
                     16,                 1.1573,                 1.6321,                0.86405,                0.36113,                0.41552,                 0.3316,                0.21823,                 1.0215,                 1.5065,                0.85259,               0.009505,               0.009505,               0.009505
                     17,                 1.1638,                  1.622,                0.86092,                0.36307,                0.42415,                 0.3454,                0.22705,                 1.0381,                   1.49,                0.85393,               0.009472,               0.009472,               0.009472
                     18,                  1.148,                 1.5955,                0.86128,                0.42958,                0.41097,                0.34553,                0.23365,                0.99482,                 1.4638,                 0.8477,               0.009439,               0.009439,               0.009439
                     19,                 1.1326,                 1.5701,                0.85864,                0.38427,                0.43508,                0.35332,                0.23873,                0.99475,                 1.4562,                0.84749,               0.009406,               0.009406,               0.009406
                     20,                 1.1362,                 1.5665,                0.85418,                0.39024,                0.42598,                0.36295,                0.24546,                 0.9776,                 1.4378,                0.84531,               0.009373,               0.009373,               0.009373
                     21,                 1.1198,                 1.5299,                 0.8504,                0.40741,                0.42431,                0.37725,                0.25358,                0.98646,                 1.4164,                0.84617,                0.00934,                0.00934,                0.00934
                     22,                 1.1254,                 1.5377,                0.85676,                 0.3907,                0.43568,                0.35938,                0.24636,                0.98218,                 1.4313,                0.84656,               0.009307,               0.009307,               0.009307
                     23,                 1.1118,                 1.5341,                0.85593,                0.40243,                0.46536,                0.37869,                0.25939,                 0.9645,                 1.4044,                0.84305,               0.009274,               0.009274,               0.009274
                     24,                 1.0991,                  1.502,                 0.8552,                0.39845,                0.43421,                0.39038,                0.26978,                0.95284,                 1.3702,                0.84194,               0.009241,               0.009241,               0.009241
                     25,                 1.1092,                 1.5058,                0.85395,                0.45638,                0.44164,                0.39857,                0.27495,                0.95203,                 1.3718,                0.84062,               0.009208,               0.009208,               0.009208
                     26,                 1.0926,                  1.475,                0.84811,                0.50233,                0.45264,                0.39849,                0.27541,                 0.9616,                  1.352,                0.84346,               0.009175,               0.009175,               0.009175
                     27,                 1.0972,                 1.4586,                0.85282,                0.46951,                0.45188,                0.40392,                 0.2799,                0.93951,                 1.3462,                0.84086,               0.009142,               0.009142,               0.009142
