                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0374,                 20.824,                 2.5717,                0.29748,                0.00695,                0.00319,                0.00128,                 2.8319,                 4.8059,                 1.5356,               0.070065,              0.0033261,              0.0033261
                      2,                  2.472,                 4.1989,                 1.2513,                0.37945,                0.04679,                0.03086,                0.01521,                 1.9057,                 3.2208,                 1.1021,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0129,                 3.2824,                 1.0644,                0.45942,                 0.0955,                0.06287,                0.03094,                 1.7593,                 2.6551,                 1.0189,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7877,                  2.783,                 1.0027,                 0.5969,                0.11853,                0.10924,                0.05904,                 1.5181,                  2.447,                0.97832,               0.009901,               0.009901,               0.009901
                      5,                 1.5712,                 2.4495,                0.95567,                0.27906,                0.25515,                0.14495,                0.08394,                 1.2761,                 2.1569,                0.91927,               0.009868,               0.009868,               0.009868
                      6,                 1.4672,                  2.217,                0.93214,                0.42057,                0.26948,                0.18925,                0.11223,                 1.2887,                  1.961,                0.91473,               0.009835,               0.009835,               0.009835
                      7,                  1.386,                 2.0984,                0.91489,                0.39624,                0.31279,                0.21587,                0.12988,                 1.1618,                 1.9486,                0.89079,               0.009802,               0.009802,               0.009802
                      8,                 1.3506,                 1.9796,                0.89676,                0.47294,                0.31325,                0.23665,                0.14698,                 1.1657,                 1.7694,                0.88543,               0.009769,               0.009769,               0.009769
                      9,                 1.3072,                 1.9175,                0.89405,                0.31218,                 0.3629,                0.24985,                0.15473,                 1.1645,                 1.7227,                0.88427,               0.009736,               0.009736,               0.009736
                     10,                 1.2631,                  1.834,                0.88198,                0.38753,                0.34884,                0.26379,                0.16626,                 1.0936,                 1.6613,                0.86857,               0.009703,               0.009703,               0.009703
                     11,                 1.2438,                 1.7829,                 0.8815,                0.40999,                0.34634,                0.26992,                 0.1719,                 1.1253,                 1.6616,                0.87491,                0.00967,                0.00967,                0.00967
                     12,                 1.2222,                  1.747,                0.87698,                 0.3875,                0.36059,                0.28617,                0.18316,                 1.0904,                 1.6204,                0.86616,               0.009637,               0.009637,               0.009637
                     13,                 1.2375,                  1.756,                0.87885,                0.37811,                0.37985,                0.30692,                 0.1963,                 1.0498,                 1.6193,                  0.863,               0.009604,               0.009604,               0.009604
                     14,                 1.1975,                 1.6936,                0.86973,                0.42693,                0.38602,                0.30482,                0.20235,                  1.048,                 1.5459,                0.85944,               0.009571,               0.009571,               0.009571
                     15,                 1.1847,                 1.6771,                0.86569,                 0.4865,                0.39422,                0.32201,                0.21001,                 1.0603,                 1.5475,                0.86456,               0.009538,               0.009538,               0.009538
                     16,                 1.1506,                 1.6299,                0.86483,                0.40631,                0.44123,                0.33642,                0.22048,                 1.0396,                 1.5046,                0.85749,               0.009505,               0.009505,               0.009505
                     17,                 1.1707,                 1.6284,                0.86494,                 0.4018,                0.40905,                0.33657,                0.22247,                 1.0259,                 1.5055,                0.85445,               0.009472,               0.009472,               0.009472
                     18,                 1.1446,                 1.6062,                0.86113,                0.50809,                0.39576,                0.34998,                0.23301,                 1.0114,                 1.4747,                0.85273,               0.009439,               0.009439,               0.009439
                     19,                 1.1352,                 1.5682,                0.86022,                0.42017,                0.43114,                0.36427,                0.23983,                 1.0265,                 1.4557,                0.85313,               0.009406,               0.009406,               0.009406
                     20,                  1.137,                 1.5731,                0.85661,                0.41847,                0.41738,                0.35689,                0.24338,                0.97362,                 1.4584,                0.84803,               0.009373,               0.009373,               0.009373
                     21,                 1.1238,                 1.5336,                0.85237,                0.39803,                0.43457,                0.37123,                0.24937,                 1.0128,                 1.4241,                0.85263,                0.00934,                0.00934,                0.00934
                     22,                 1.1277,                 1.5449,                0.85881,                0.44664,                0.44918,                0.37465,                0.25758,                0.97197,                 1.4015,                0.84625,               0.009307,               0.009307,               0.009307
                     23,                 1.1164,                  1.543,                0.85724,                0.50078,                0.42801,                0.37955,                0.25644,                0.98792,                  1.406,                0.84534,               0.009274,               0.009274,               0.009274
                     24,                  1.106,                 1.5201,                0.85632,                0.44531,                0.43233,                0.38061,                0.26149,                0.95912,                 1.3987,                0.84513,               0.009241,               0.009241,               0.009241
                     25,                 1.1073,                 1.5185,                0.85218,                0.43862,                0.43725,                0.38392,                0.26621,                0.95343,                 1.3847,                0.84132,               0.009208,               0.009208,               0.009208
                     26,                 1.0963,                 1.4798,                 0.8483,                 0.4762,                0.45776,                0.39497,                0.27372,                0.96022,                 1.3626,                0.84391,               0.009175,               0.009175,               0.009175
                     27,                 1.0997,                 1.4596,                0.85411,                0.44284,                0.44985,                 0.3974,                0.27576,                0.95271,                 1.3557,                0.84346,               0.009142,               0.009142,               0.009142
                     28,                 1.0907,                  1.472,                0.85208,                0.46772,                0.45832,                0.40586,                0.28187,                0.95371,                 1.3563,                0.83985,               0.009109,               0.009109,               0.009109
                     29,                 1.0807,                 1.4481,                0.84925,                0.42964,                0.46832,                0.40743,                0.27941,                 0.9407,                 1.3365,                0.84033,               0.009076,               0.009076,               0.009076
                     30,                 1.0724,                 1.4389,                0.84679,                0.36138,                0.47892,                0.40846,                0.28534,                0.94873,                 1.3243,                0.84087,               0.009043,               0.009043,               0.009043
                     31,                 1.0851,                 1.4471,                 0.8498,                0.39629,                 0.4905,                 0.4242,                0.29688,                0.94097,                 1.3258,                0.83687,                0.00901,                0.00901,                0.00901
                     32,                 1.0731,                  1.429,                0.85035,                0.47749,                0.45993,                0.42796,                0.29908,                0.92789,                 1.3103,                0.83796,               0.008977,               0.008977,               0.008977
                     33,                 1.0625,                 1.4168,                0.84774,                0.41383,                0.49072,                 0.4289,                0.29719,                0.94451,                 1.3119,                0.83848,               0.008944,               0.008944,               0.008944
                     34,                 1.0632,                 1.4161,                0.84055,                0.48318,                0.45889,                  0.437,                 0.3079,                0.92134,                 1.2815,                0.83825,               0.008911,               0.008911,               0.008911
                     35,                 1.0428,                 1.3788,                0.84002,                0.42209,                0.49635,                0.44126,                0.31185,                0.92433,                 1.2626,                0.83836,               0.008878,               0.008878,               0.008878
                     36,                 1.0421,                 1.3702,                0.84616,                0.44317,                0.49662,                0.44793,                0.31406,                0.90055,                 1.2597,                0.83461,               0.008845,               0.008845,               0.008845
                     37,                 1.0535,                 1.3792,                0.84181,                0.44719,                0.49573,                0.45148,                0.31772,                0.90574,                 1.2478,                 0.8331,               0.008812,               0.008812,               0.008812
                     38,                 1.0448,                 1.3615,                0.84328,                0.49405,                0.49139,                0.45511,                0.32259,                 0.9176,                 1.2418,                0.83304,               0.008779,               0.008779,               0.008779
                     39,                 1.0282,                 1.3424,                0.84317,                0.45857,                0.50295,                0.46008,                0.32546,                0.90437,                 1.2255,                0.83404,               0.008746,               0.008746,               0.008746
                     40,                 1.0377,                 1.3614,                0.84491,                0.48158,                0.49043,                0.46581,                0.33053,                0.89617,                 1.2283,                0.83278,               0.008713,               0.008713,               0.008713
                     41,                   1.04,                 1.3401,                0.84271,                0.51356,                0.48393,                0.46774,                0.33237,                0.90227,                 1.2141,                0.83283,                0.00868,                0.00868,                0.00868
                     42,                 1.0294,                 1.3514,                0.84096,                0.48967,                0.46737,                0.46724,                0.32925,                0.89954,                 1.2169,                0.83083,               0.008647,               0.008647,               0.008647
                     43,                 1.0408,                 1.3395,                0.84497,                0.45503,                0.49542,                0.48235,                0.34013,                0.88438,                 1.2045,                0.83084,               0.008614,               0.008614,               0.008614
                     44,                 1.0197,                 1.3015,                0.84154,                0.51056,                0.49698,                0.49415,                0.35305,                0.89022,                 1.1789,                 0.8305,               0.008581,               0.008581,               0.008581
                     45,                 1.0192,                 1.3214,                0.83904,                0.51336,                0.51595,                0.49452,                0.35393,                0.88075,                 1.1699,                0.82809,               0.008548,               0.008548,               0.008548
                     46,                 1.0169,                 1.3244,                 0.8418,                0.45823,                0.52207,                0.49423,                 0.3551,                0.88021,                  1.165,                0.82931,               0.008515,               0.008515,               0.008515
                     47,                 1.0257,                 1.2941,                0.84093,                0.49702,                0.51121,                0.49116,                0.35228,                0.88579,                 1.1805,                0.83105,               0.008482,               0.008482,               0.008482
                     48,                 1.0088,                 1.2867,                0.83652,                0.48986,                0.52816,                0.50207,                 0.3594,                0.87359,                 1.1546,                0.82774,               0.008449,               0.008449,               0.008449
                     49,                 1.0133,                 1.2839,                0.83891,                0.51356,                 0.5154,                0.50226,                0.36001,                0.87681,                 1.1483,                0.82943,               0.008416,               0.008416,               0.008416
                     50,                 1.0126,                 1.2887,                0.83684,                0.49689,                0.53574,                0.50433,                0.36145,                0.87048,                 1.1399,                0.82849,               0.008383,               0.008383,               0.008383
                     51,                 1.0064,                  1.262,                0.83854,                0.49469,                0.53123,                0.51487,                0.36917,                0.87746,                 1.1366,                0.82862,                0.00835,                0.00835,                0.00835
                     52,                 0.9978,                 1.2577,                0.83528,                0.51604,                0.51214,                0.50656,                0.36368,                0.86928,                 1.1309,                0.82696,               0.008317,               0.008317,               0.008317
                     53,                 1.0118,                 1.2565,                 0.8343,                0.52812,                0.52799,                0.52452,                0.37825,                0.86146,                  1.106,                0.82659,               0.008284,               0.008284,               0.008284
                     54,                0.99674,                 1.2584,                0.83762,                0.55773,                0.50273,                0.53177,                0.38212,                0.86614,                 1.1055,                0.82755,               0.008251,               0.008251,               0.008251
                     55,                0.99417,                 1.2563,                0.83787,                0.53864,                0.53332,                0.52692,                0.38196,                0.86018,                 1.0973,                0.82542,               0.008218,               0.008218,               0.008218
                     56,                 1.0003,                 1.2518,                0.83535,                0.56052,                0.52044,                0.53643,                0.38782,                0.85885,                 1.0966,                0.82587,               0.008185,               0.008185,               0.008185
                     57,                0.99273,                 1.2379,                0.83579,                 0.5873,                0.50513,                0.53815,                0.38859,                0.86045,                 1.0869,                0.82639,               0.008152,               0.008152,               0.008152
                     58,                0.98284,                 1.2123,                0.83535,                0.56734,                0.50796,                0.53601,                0.38911,                0.85057,                 1.0819,                0.82504,               0.008119,               0.008119,               0.008119
                     59,                0.99791,                 1.2352,                0.83211,                0.54135,                  0.527,                0.53709,                0.38985,                0.84919,                 1.0751,                0.82302,               0.008086,               0.008086,               0.008086
                     60,                0.97588,                 1.2316,                0.83279,                0.51307,                0.53827,                0.54366,                0.39673,                0.84549,                  1.073,                0.82393,               0.008053,               0.008053,               0.008053
                     61,                0.98092,                 1.2122,                0.83377,                  0.562,                0.52828,                0.54692,                0.39795,                0.84787,                 1.0629,                0.82447,                0.00802,                0.00802,                0.00802
                     62,                0.98093,                 1.1957,                 0.8354,                0.54269,                0.55138,                0.55037,                0.39909,                0.84998,                 1.0525,                0.82554,               0.007987,               0.007987,               0.007987
                     63,                0.97458,                 1.2001,                0.83416,                0.56463,                0.53401,                0.55916,                0.40808,                0.84718,                  1.052,                0.82369,               0.007954,               0.007954,               0.007954
                     64,                0.97927,                 1.1982,                 0.8328,                0.56008,                0.54475,                0.55754,                0.40725,                0.84913,                 1.0507,                0.82408,               0.007921,               0.007921,               0.007921
                     65,                0.97303,                 1.1838,                0.83467,                0.54106,                0.55603,                0.56143,                0.40866,                0.84096,                 1.0329,                0.82226,               0.007888,               0.007888,               0.007888
                     66,                0.96926,                 1.1746,                0.83443,                0.58319,                 0.5496,                 0.5661,                0.41486,                 0.8434,                 1.0373,                0.82309,               0.007855,               0.007855,               0.007855
                     67,                0.97086,                  1.157,                0.83249,                0.57225,                0.54825,                0.57147,                0.41894,                 0.8404,                 1.0237,                 0.8221,               0.007822,               0.007822,               0.007822
                     68,                 0.9816,                 1.1666,                0.83617,                0.54694,                0.56554,                0.56587,                0.41382,                0.83971,                 1.0298,                0.82339,               0.007789,               0.007789,               0.007789
                     69,                0.96717,                 1.1651,                0.83357,                0.55835,                0.55788,                0.57137,                0.41646,                 0.8404,                 1.0232,                0.82259,               0.007756,               0.007756,               0.007756
                     70,                0.96382,                 1.1411,                0.82959,                0.53482,                0.57183,                0.57168,                0.41875,                0.83732,                 1.0202,                0.82289,               0.007723,               0.007723,               0.007723
                     71,                 0.9725,                 1.1559,                0.83001,                0.54246,                0.54981,                0.57617,                 0.4235,                0.83545,                 1.0058,                0.82225,                0.00769,                0.00769,                0.00769
                     72,                0.96252,                 1.1511,                0.83189,                0.60094,                0.54919,                0.58691,                0.43129,                0.83016,                0.99659,                0.82119,               0.007657,               0.007657,               0.007657
                     73,                0.96298,                 1.1488,                0.82821,                0.58996,                0.56328,                0.58977,                0.43228,                0.83478,                 0.9924,                0.82234,               0.007624,               0.007624,               0.007624
                     74,                 0.9596,                 1.1451,                0.82668,                0.61708,                0.53853,                0.59007,                0.43363,                0.83129,                 0.9894,                0.82211,               0.007591,               0.007591,               0.007591
                     75,                0.94984,                 1.1233,                0.82918,                0.56649,                0.56702,                0.59117,                0.43588,                  0.828,                 0.9828,                0.82159,               0.007558,               0.007558,               0.007558
                     76,                0.96131,                 1.1172,                0.83177,                0.55996,                0.55961,                0.58708,                0.42965,                0.83315,                0.98785,                 0.8228,               0.007525,               0.007525,               0.007525
                     77,                0.96212,                 1.1305,                0.83121,                0.57232,                0.55232,                0.58867,                0.43323,                 0.8304,                0.97751,                0.82162,               0.007492,               0.007492,               0.007492
                     78,                0.94374,                 1.1004,                0.82551,                0.56593,                0.56054,                0.58697,                0.43218,                0.82955,                0.97602,                0.82101,               0.007459,               0.007459,               0.007459
                     79,                0.96428,                 1.1196,                0.83001,                0.56539,                0.59827,                0.59722,                0.43827,                0.82729,                0.96723,                0.82014,               0.007426,               0.007426,               0.007426
                     80,                0.95691,                 1.1165,                0.83072,                0.57091,                0.58477,                 0.5979,                0.44027,                0.82615,                0.96509,                0.82064,               0.007393,               0.007393,               0.007393
                     81,                0.96016,                 1.0976,                0.82954,                 0.5944,                0.56912,                    0.6,                0.44194,                0.82684,                0.96363,                0.82082,                0.00736,                0.00736,                0.00736
                     82,                0.95265,                  1.119,                 0.8309,                0.60582,                0.56141,                0.59745,                0.44126,                0.82502,                0.96221,                0.82136,               0.007327,               0.007327,               0.007327
                     83,                0.95659,                 1.1039,                0.83132,                 0.5926,                0.55996,                0.59509,                0.43869,                0.82546,                0.95855,                0.82157,               0.007294,               0.007294,               0.007294
                     84,                 0.9392,                 1.0767,                0.82821,                0.61794,                0.54444,                0.60121,                0.44422,                0.82126,                0.95017,                0.82087,               0.007261,               0.007261,               0.007261
                     85,                0.95262,                  1.097,                0.82839,                0.57393,                0.59461,                0.60846,                0.44758,                  0.821,                0.94465,                0.82079,               0.007228,               0.007228,               0.007228
                     86,                0.94797,                  1.077,                0.82748,                0.58465,                0.59203,                 0.6096,                 0.4509,                0.81702,                0.94389,                0.82014,               0.007195,               0.007195,               0.007195
                     87,                0.93963,                 1.0632,                0.82795,                0.59309,                0.59615,                0.61498,                0.45518,                0.81457,                0.93719,                0.82006,               0.007162,               0.007162,               0.007162
                     88,                0.95029,                 1.0666,                0.83107,                 0.6033,                  0.586,                0.61663,                0.45811,                0.81173,                0.92992,                 0.8197,               0.007129,               0.007129,               0.007129
                     89,                0.95364,                 1.0712,                0.82669,                0.59228,                0.59338,                0.61992,                0.45905,                0.81326,                 0.9284,                0.81973,               0.007096,               0.007096,               0.007096
                     90,                0.93003,                 1.0475,                0.82508,                0.59385,                0.59426,                0.61958,                0.45972,                0.81034,                0.92566,                0.81906,               0.007063,               0.007063,               0.007063
                     91,                0.95764,                 1.0837,                0.82699,                0.61572,                0.58231,                0.62136,                0.46253,                0.81066,                0.92766,                0.81891,                0.00703,                0.00703,                0.00703
                     92,                0.94678,                  1.051,                0.82713,                0.59171,                0.59653,                0.62066,                0.46184,                0.81238,                0.92919,                0.81922,               0.006997,               0.006997,               0.006997
                     93,                0.93857,                 1.0588,                0.83051,                0.60042,                0.60478,                0.62436,                 0.4627,                0.81366,                0.92111,                0.81899,               0.006964,               0.006964,               0.006964
