                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.985,                 22.207,                 2.3974,                0.01561,                0.07527,                0.01104,                0.00361,                 2.7844,                 4.6827,                 1.4735,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4376,                 4.0443,                  1.224,                0.28192,                0.14357,                0.05099,                0.02206,                 2.0404,                 3.2117,                 1.0931,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0154,                 3.1548,                 1.0625,                0.38856,                 0.1247,                0.07817,                0.03853,                 1.7453,                 2.6064,                  1.013,              0.0099994,              0.0099268,              0.0099268
                      4,                  1.763,                 2.7097,                0.99598,                0.28614,                0.25253,                0.13437,                 0.0701,                  1.502,                 2.4237,                0.94806,               0.009901,               0.009901,               0.009901
                      5,                 1.5734,                 2.4051,                0.95169,                0.36624,                0.23656,                 0.1444,                0.08382,                 1.3338,                 2.2997,                0.92101,               0.009868,               0.009868,               0.009868
                      6,                 1.4726,                 2.1788,                0.93102,                0.35807,                0.27879,                 0.1885,                0.11549,                 1.2443,                 1.9707,                0.91205,               0.009835,               0.009835,               0.009835
                      7,                 1.3865,                 2.0636,                0.91406,                0.37279,                0.31069,                0.22123,                0.13524,                 1.1632,                 1.8665,                0.88893,               0.009802,               0.009802,               0.009802
                      8,                  1.346,                 1.9679,                0.89714,                 0.4077,                0.34029,                0.24426,                0.15637,                 1.1489,                  1.741,                0.88649,               0.009769,               0.009769,               0.009769
                      9,                 1.3105,                 1.9062,                0.89434,                0.35212,                0.35036,                0.26047,                0.16093,                 1.1638,                 1.6916,                0.88113,               0.009736,               0.009736,               0.009736
                     10,                 1.2647,                 1.8269,                0.88363,                0.37413,                0.33965,                0.26898,                0.16819,                 1.1086,                 1.6692,                0.87184,               0.009703,               0.009703,               0.009703
                     11,                  1.246,                 1.7687,                0.88331,                0.43282,                 0.3505,                0.27512,                0.17383,                 1.1175,                 1.6443,                0.87519,                0.00967,                0.00967,                0.00967
                     12,                 1.2275,                 1.7353,                0.87625,                0.38122,                0.39164,                0.29882,                0.19088,                 1.0874,                 1.5982,                0.86567,               0.009637,               0.009637,               0.009637
                     13,                 1.2357,                 1.7439,                0.87807,                0.36946,                0.36913,                0.29516,                0.19156,                 1.0599,                 1.6209,                0.86084,               0.009604,               0.009604,               0.009604
                     14,                 1.2026,                 1.6939,                0.86991,                 0.4152,                0.40268,                0.31142,                0.20672,                 1.0576,                 1.5427,                0.86011,               0.009571,               0.009571,               0.009571
                     15,                 1.1883,                 1.6723,                 0.8659,                0.44947,                0.39947,                0.32375,                0.21104,                 1.0748,                 1.5448,                0.86415,               0.009538,               0.009538,               0.009538
                     16,                  1.154,                 1.6319,                0.86502,                0.41034,                0.41269,                 0.3391,                0.22048,                 1.0399,                 1.5104,                0.85647,               0.009505,               0.009505,               0.009505
                     17,                 1.1677,                 1.6186,                0.86326,                0.39405,                0.41174,                 0.3452,                0.22789,                 1.0252,                 1.4698,                0.85492,               0.009472,               0.009472,               0.009472
                     18,                 1.1517,                 1.6087,                0.86224,                0.42662,                0.41316,                0.35733,                0.23973,                 1.0016,                 1.4494,                0.85013,               0.009439,               0.009439,               0.009439
                     19,                 1.1341,                 1.5692,                0.86113,                0.40409,                0.42024,                0.35669,                 0.2383,                 1.0004,                  1.453,                0.84915,               0.009406,               0.009406,               0.009406
                     20,                 1.1429,                 1.5687,                0.85697,                0.36345,                 0.4259,                0.35924,                0.24336,                0.99114,                 1.4369,                0.84726,               0.009373,               0.009373,               0.009373
                     21,                 1.1222,                 1.5248,                0.85299,                0.38033,                0.43568,                0.37132,                0.24589,                 1.0166,                 1.4151,                 0.8485,                0.00934,                0.00934,                0.00934
                     22,                 1.1217,                 1.5291,                0.85623,                0.42108,                0.44846,                0.36734,                0.25018,                0.98775,                 1.3913,                0.84654,               0.009307,               0.009307,               0.009307
                     23,                 1.1144,                 1.5383,                0.85678,                0.48074,                0.43922,                0.38579,                 0.2591,                 0.9794,                 1.4058,                0.84347,               0.009274,               0.009274,               0.009274
                     24,                 1.1067,                 1.4978,                  0.856,                0.48668,                0.41517,                0.38531,                0.26776,                0.96482,                 1.3533,                0.84295,               0.009241,               0.009241,               0.009241
                     25,                 1.1107,                 1.5118,                0.85348,                0.39297,                0.43633,                0.39018,                0.26999,                 0.9784,                 1.3823,                0.84257,               0.009208,               0.009208,               0.009208
                     26,                 1.0951,                 1.4714,                0.84949,                0.48432,                0.42041,                0.39182,                0.26829,                0.96568,                 1.3615,                0.84215,               0.009175,               0.009175,               0.009175
                     27,                 1.1005,                 1.4523,                0.85323,                0.45312,                0.46302,                0.39993,                 0.2768,                0.95401,                 1.3412,                0.84109,               0.009142,               0.009142,               0.009142
                     28,                 1.0936,                 1.4687,                0.85276,                0.47382,                0.45994,                0.40803,                0.27986,                0.96093,                 1.3469,                0.83886,               0.009109,               0.009109,               0.009109
                     29,                  1.081,                 1.4387,                0.84889,                0.39134,                0.47159,                0.41541,                 0.2881,                0.94203,                 1.3292,                0.83719,               0.009076,               0.009076,               0.009076
                     30,                 1.0724,                 1.4192,                0.84639,                 0.4843,                0.43043,                0.40952,                0.28676,                 0.9377,                 1.3269,                0.83749,               0.009043,               0.009043,               0.009043
                     31,                 1.0791,                 1.4366,                0.84815,                0.41561,                0.50044,                0.42975,                0.29967,                 0.9359,                 1.3127,                  0.838,                0.00901,                0.00901,                0.00901
                     32,                  1.078,                 1.4137,                0.85151,                0.42492,                 0.4836,                 0.4404,                0.30628,                0.92541,                 1.2975,                0.83651,               0.008977,               0.008977,               0.008977
                     33,                  1.063,                 1.4044,                0.84647,                0.47468,                0.47667,                0.43834,                0.30243,                 0.9374,                 1.2896,                0.83603,               0.008944,               0.008944,               0.008944
                     34,                 1.0611,                 1.4042,                0.84084,                0.45902,                 0.4838,                0.44657,                0.31196,                0.92615,                 1.2651,                0.83561,               0.008911,               0.008911,               0.008911
                     35,                 1.0428,                 1.3664,                0.84058,                0.44121,                 0.4807,                0.45473,                 0.3189,                 0.9341,                 1.2723,                0.83553,               0.008878,               0.008878,               0.008878
                     36,                 1.0447,                 1.3622,                0.84522,                0.47395,                0.48661,                0.45411,                0.32206,                0.90855,                 1.2478,                0.83158,               0.008845,               0.008845,               0.008845
                     37,                 1.0547,                 1.3597,                0.84066,                 0.4796,                0.49201,                0.46626,                 0.3268,                 0.9182,                 1.2202,                0.83239,               0.008812,               0.008812,               0.008812
                     38,                  1.043,                 1.3459,                0.84192,                0.53306,                0.47406,                0.45961,                0.32045,                0.91666,                  1.244,                0.83142,               0.008779,               0.008779,               0.008779
                     39,                 1.0353,                 1.3343,                0.84436,                0.49257,                0.49099,                 0.4728,                0.33403,                0.92003,                 1.2282,                0.83317,               0.008746,               0.008746,               0.008746
                     40,                 1.0327,                  1.353,                0.84329,                0.49357,                0.47385,                0.47335,                0.33318,                0.90054,                 1.2094,                 0.8302,               0.008713,               0.008713,               0.008713
                     41,                 1.0391,                 1.3317,                0.84237,                0.53896,                0.46596,                 0.4722,                0.33562,                 0.8988,                 1.2006,                0.83158,                0.00868,                0.00868,                0.00868
                     42,                  1.026,                 1.3356,                0.84105,                0.47251,                0.52129,                0.48192,                0.34094,                0.90702,                 1.2021,                0.83339,               0.008647,               0.008647,               0.008647
                     43,                 1.0429,                 1.3414,                0.84519,                0.51665,                0.49883,                0.48679,                0.34203,                0.89973,                 1.2032,                0.83176,               0.008614,               0.008614,               0.008614
                     44,                 1.0195,                 1.2943,                0.84143,                0.52492,                0.48923,                0.49345,                0.34975,                 0.8957,                 1.1797,                0.83039,               0.008581,               0.008581,               0.008581
                     45,                 1.0224,                  1.305,                0.83941,                0.49608,                0.50001,                0.49541,                0.35286,                0.88936,                 1.1777,                0.82987,               0.008548,               0.008548,               0.008548
                     46,                 1.0159,                 1.3168,                0.84122,                0.50256,                0.51277,                0.49836,                0.35394,                0.89875,                 1.1661,                0.82987,               0.008515,               0.008515,               0.008515
                     47,                  1.032,                 1.2831,                 0.8411,                0.54909,                0.49126,                0.50071,                0.35721,                0.88178,                 1.1715,                0.83009,               0.008482,               0.008482,               0.008482
                     48,                 1.0078,                 1.2702,                0.83674,                0.48754,                0.49262,                0.49798,                0.35504,                 0.8802,                 1.1513,                0.82812,               0.008449,               0.008449,               0.008449
                     49,                 1.0137,                 1.2655,                0.83839,                0.47352,                0.52039,                0.50722,                 0.3623,                0.87941,                  1.139,                0.82688,               0.008416,               0.008416,               0.008416
                     50,                 1.0092,                 1.2748,                0.83751,                0.49409,                0.53301,                0.51018,                 0.3661,                0.87737,                 1.1368,                0.82829,               0.008383,               0.008383,               0.008383
                     51,                  1.007,                 1.2483,                0.83839,                0.52274,                0.50526,                0.51501,                 0.3677,                0.88195,                 1.1312,                0.82854,                0.00835,                0.00835,                0.00835
                     52,                 1.0004,                 1.2493,                0.83574,                0.48567,                0.50497,                0.51007,                0.36464,                0.87521,                 1.1364,                0.82714,               0.008317,               0.008317,               0.008317
                     53,                  1.011,                 1.2378,                0.83292,                0.54658,                0.49617,                0.52257,                0.37291,                 0.8711,                 1.1136,                 0.8259,               0.008284,               0.008284,               0.008284
                     54,                0.99798,                 1.2426,                0.83759,                0.51403,                0.51602,                0.52537,                0.37495,                  0.866,                 1.1008,                0.82622,               0.008251,               0.008251,               0.008251
                     55,                0.99139,                 1.2343,                0.83763,                0.52367,                0.53379,                0.53184,                0.38234,                0.85789,                 1.0859,                0.82564,               0.008218,               0.008218,               0.008218
                     56,                 1.0028,                 1.2388,                0.83586,                0.54798,                0.52783,                0.53544,                 0.3851,                0.86018,                 1.0939,                0.82517,               0.008185,               0.008185,               0.008185
                     57,                0.99594,                 1.2171,                0.83575,                0.56074,                0.52491,                0.53715,                0.38754,                0.85635,                 1.0729,                0.82465,               0.008152,               0.008152,               0.008152
                     58,                0.98543,                 1.1974,                0.83607,                0.57129,                0.51587,                 0.5426,                0.39302,                0.85706,                 1.0747,                0.82414,               0.008119,               0.008119,               0.008119
                     59,                 1.0043,                 1.2219,                0.83314,                0.51808,                0.56117,                0.54037,                0.38659,                0.86195,                 1.0751,                0.82525,               0.008086,               0.008086,               0.008086
                     60,                0.97727,                 1.2036,                0.83351,                0.52496,                0.54443,                0.54842,                 0.3967,                0.85358,                 1.0599,                0.82336,               0.008053,               0.008053,               0.008053
                     61,                0.98243,                  1.194,                0.83381,                0.52737,                0.55274,                0.55503,                0.40111,                0.85413,                 1.0574,                0.82417,                0.00802,                0.00802,                0.00802
                     62,                0.97802,                  1.182,                0.83586,                0.54358,                0.54578,                0.55663,                0.40364,                0.84848,                 1.0485,                0.82502,               0.007987,               0.007987,               0.007987
                     63,                0.97834,                  1.182,                0.83461,                0.53324,                0.54575,                0.55678,                0.40375,                0.84869,                 1.0468,                 0.8243,               0.007954,               0.007954,               0.007954
                     64,                0.97938,                 1.1778,                0.83304,                0.52115,                0.54967,                0.55463,                0.40191,                 0.8471,                 1.0385,                0.82342,               0.007921,               0.007921,               0.007921
                     65,                0.97498,                 1.1691,                0.83502,                0.52879,                0.57334,                0.55744,                0.40615,                0.84455,                 1.0446,                0.82409,               0.007888,               0.007888,               0.007888
                     66,                0.96716,                 1.1561,                0.83299,                0.54016,                0.56508,                0.56329,                0.41067,                0.84157,                 1.0333,                0.82352,               0.007855,               0.007855,               0.007855
                     67,                0.97317,                 1.1507,                0.83199,                0.53317,                0.56053,                0.56815,                0.41496,                0.84338,                 1.0261,                0.82226,               0.007822,               0.007822,               0.007822
                     68,                0.98146,                 1.1509,                0.83472,                0.56066,                0.55627,                0.56928,                0.41538,                0.84274,                 1.0213,                0.82296,               0.007789,               0.007789,               0.007789
                     69,                0.96412,                 1.1508,                0.83384,                0.56436,                 0.5621,                 0.5747,                0.41955,                0.83953,                 1.0151,                0.82322,               0.007756,               0.007756,               0.007756
                     70,                0.96211,                  1.123,                0.82988,                0.55382,                0.56296,                0.57741,                0.42297,                0.83528,                 1.0121,                0.82063,               0.007723,               0.007723,               0.007723
                     71,                 0.9731,                 1.1463,                0.83062,                0.55852,                  0.574,                0.58464,                0.42795,                0.83731,                 1.0018,                 0.8213,                0.00769,                0.00769,                0.00769
                     72,                0.96423,                 1.1463,                 0.8315,                0.57262,                 0.5604,                0.58282,                0.42468,                0.83344,                0.99548,                0.82131,               0.007657,               0.007657,               0.007657
                     73,                0.96134,                 1.1375,                0.82893,                0.57778,                0.56734,                0.58651,                0.42767,                0.83232,                0.98824,                0.82226,               0.007624,               0.007624,               0.007624
                     74,                0.96271,                 1.1368,                0.82769,                  0.564,                0.58583,                0.58906,                0.43129,                0.82937,                0.97959,                0.82112,               0.007591,               0.007591,               0.007591
                     75,                0.95252,                 1.1142,                0.82926,                0.57713,                0.57041,                0.58902,                0.43204,                0.82997,                0.98344,                0.82069,               0.007558,               0.007558,               0.007558
                     76,                0.95864,                 1.0991,                  0.831,                0.59192,                0.56277,                0.59465,                0.43382,                 0.8311,                0.98249,                0.82134,               0.007525,               0.007525,               0.007525
                     77,                0.96368,                 1.1166,                0.83195,                 0.5672,                0.58313,                0.59501,                0.43577,                0.82719,                0.98027,                0.82162,               0.007492,               0.007492,               0.007492
                     78,                0.94217,                   1.09,                0.82467,                 0.5856,                0.59297,                0.60094,                0.44118,                0.82394,                0.96699,                0.81952,               0.007459,               0.007459,               0.007459
                     79,                0.96316,                 1.1116,                0.82882,                0.60213,                0.58003,                 0.6018,                0.43976,                0.82659,                0.96783,                0.81997,               0.007426,               0.007426,               0.007426
                     80,                0.96126,                 1.0985,                 0.8319,                 0.5894,                0.59915,                0.60416,                0.44094,                0.82595,                0.96173,                0.82037,               0.007393,               0.007393,               0.007393
                     81,                0.95622,                 1.0863,                0.82774,                0.59975,                0.57613,                 0.6035,                0.44106,                0.82429,                0.96213,                0.81995,                0.00736,                0.00736,                0.00736
                     82,                0.96136,                 1.0961,                0.83225,                0.59558,                 0.5711,                0.60639,                0.44321,                0.82762,                0.95632,                0.82067,               0.007327,               0.007327,               0.007327
                     83,                0.95012,                 1.0932,                0.83004,                0.59572,                0.57087,                0.60703,                0.44549,                0.82387,                0.95672,                0.82076,               0.007294,               0.007294,               0.007294
                     84,                0.94648,                 1.0637,                0.82848,                0.58422,                0.59034,                0.61074,                0.44943,                0.81946,                0.95396,                0.81881,               0.007261,               0.007261,               0.007261
                     85,                0.95726,                 1.0773,                0.82866,                 0.5927,                0.60376,                0.61664,                0.45456,                0.81647,                 0.9436,                0.81907,               0.007228,               0.007228,               0.007228
                     86,                0.94839,                 1.0585,                0.82792,                0.61265,                0.59246,                0.61829,                0.45503,                0.81507,                0.93926,                 0.8189,               0.007195,               0.007195,               0.007195
                     87,                0.93701,                 1.0446,                0.82794,                0.61071,                0.58901,                0.62076,                0.45791,                0.81447,                0.93228,                0.81894,               0.007162,               0.007162,               0.007162
                     88,                0.94878,                 1.0572,                0.83103,                0.59765,                0.59236,                0.62438,                0.46194,                0.81007,                0.92327,                0.81812,               0.007129,               0.007129,               0.007129
                     89,                0.94887,                 1.0568,                0.82636,                0.61783,                0.58685,                0.62625,                 0.4646,                0.80879,                0.92195,                0.81756,               0.007096,               0.007096,               0.007096
                     90,                0.93527,                 1.0324,                0.82512,                0.61934,                 0.5881,                0.62913,                0.46634,                0.80986,                 0.9231,                0.81798,               0.007063,               0.007063,               0.007063
                     91,                0.95234,                 1.0664,                0.82583,                0.63006,                0.59564,                0.63069,                0.46635,                0.80929,                0.92174,                 0.8176,                0.00703,                0.00703,                0.00703
                     92,                0.94398,                 1.0279,                0.82613,                0.63214,                0.59351,                0.63395,                0.47072,                0.80871,                0.91782,                0.81783,               0.006997,               0.006997,               0.006997
                     93,                0.93978,                 1.0371,                0.83114,                0.61522,                0.59894,                0.63325,                0.46932,                0.80868,                0.91832,                0.81803,               0.006964,               0.006964,               0.006964
                     94,                0.94796,                 1.0444,                0.83204,                0.63295,                0.59532,                0.63661,                0.47275,                0.80622,                0.91493,                0.81707,               0.006931,               0.006931,               0.006931
                     95,                0.93342,                 1.0232,                0.82512,                0.62509,                 0.5978,                0.63964,                0.47454,                0.80461,                0.91015,                0.81701,               0.006898,               0.006898,               0.006898
                     96,                0.94697,                 1.0076,                0.82606,                0.62136,                0.60967,                0.64042,                0.47532,                0.80497,                0.90778,                0.81666,               0.006865,               0.006865,               0.006865
                     97,                0.94494,                 1.0292,                0.83102,                0.63365,                0.60032,                0.64242,                0.47736,                0.80521,                0.90138,                0.81687,               0.006832,               0.006832,               0.006832
