                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9653,                 18.996,                 2.4466,                0.00558,                0.05575,                0.00554,                0.00242,                 2.8588,                 5.1734,                 1.5334,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4035,                 4.0698,                 1.2077,                0.56772,                 0.0287,                0.03876,                0.02048,                 1.8635,                 3.1594,                 1.0773,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9834,                 3.2089,                 1.0541,                0.30385,                0.14581,                0.07727,                 0.0429,                 1.6109,                 2.6571,                0.99377,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7412,                 2.7037,                0.99273,                0.45756,                0.19477,                0.12122,                0.06896,                 1.4959,                  2.294,                0.95679,               0.009901,               0.009901,               0.009901
                      5,                 1.5546,                  2.384,                0.95009,                0.45293,                0.21153,                0.14967,                0.08939,                 1.3067,                 2.1066,                0.92104,               0.009868,               0.009868,               0.009868
                      6,                 1.4598,                 2.1784,                0.93031,                0.37393,                0.25489,                 0.1839,                0.11218,                 1.2642,                 1.9657,                0.90648,               0.009835,               0.009835,               0.009835
                      7,                 1.3635,                 2.0643,                0.91034,                0.26954,                 0.3628,                 0.2086,                0.12547,                 1.1865,                 1.9337,                0.89167,               0.009802,               0.009802,               0.009802
                      8,                 1.3409,                 1.9631,                0.89612,                0.39888,                0.32387,                0.23301,                0.14541,                 1.1648,                 1.8045,                0.88073,               0.009769,               0.009769,               0.009769
                      9,                 1.2985,                 1.9032,                 0.8931,                0.36264,                0.33025,                0.23996,                0.15066,                 1.1532,                  1.718,                0.88157,               0.009736,               0.009736,               0.009736
                     10,                 1.2536,                 1.8204,                0.88218,                0.35505,                0.34103,                0.26079,                0.16312,                  1.112,                 1.6942,                0.87258,               0.009703,               0.009703,               0.009703
                     11,                  1.241,                  1.774,                0.88089,                 0.4826,                0.35006,                0.28043,                 0.1845,                 1.0877,                 1.6361,                0.87442,                0.00967,                0.00967,                0.00967
                     12,                 1.2207,                 1.7341,                0.87627,                0.49198,                0.36431,                0.29819,                0.19104,                 1.0832,                 1.6094,                0.86099,               0.009637,               0.009637,               0.009637
                     13,                 1.2242,                 1.7397,                0.87685,                0.40943,                0.38338,                0.30291,                0.20318,                 1.0003,                 1.6058,                0.85323,               0.009604,               0.009604,               0.009604
                     14,                 1.1883,                   1.69,                0.86809,                0.39203,                0.38833,                0.29642,                 0.1951,                 1.0523,                 1.5623,                0.85973,               0.009571,               0.009571,               0.009571
                     15,                 1.1756,                 1.6704,                0.86284,                0.50791,                0.35716,                0.32319,                0.21293,                 1.0581,                 1.5232,                0.86122,               0.009538,               0.009538,               0.009538
                     16,                 1.1436,                 1.6219,                0.86263,                0.39409,                0.43064,                0.33176,                0.21908,                 1.0337,                 1.5185,                0.85397,               0.009505,               0.009505,               0.009505
                     17,                 1.1562,                 1.6131,                0.86148,                0.38014,                0.43346,                0.34427,                0.23093,                 1.0174,                 1.4662,                0.85162,               0.009472,               0.009472,               0.009472
                     18,                 1.1402,                 1.5979,                0.86079,                0.49337,                0.40318,                0.34772,                0.23703,                0.99511,                  1.453,                0.85237,               0.009439,               0.009439,               0.009439
                     19,                 1.1251,                 1.5657,                0.85868,                0.37359,                0.41778,                0.36193,                0.24385,                0.98921,                 1.4512,                 0.8472,               0.009406,               0.009406,               0.009406
                     20,                 1.1295,                 1.5652,                0.85461,                0.37132,                0.44415,                0.35559,                0.23877,                0.99512,                 1.4564,                0.85031,               0.009373,               0.009373,               0.009373
                     21,                 1.1131,                 1.5254,                0.85083,                0.38798,                0.41266,                0.37437,                 0.2549,                0.97449,                 1.4242,                0.84541,                0.00934,                0.00934,                0.00934
                     22,                 1.1182,                  1.539,                0.85601,                0.45037,                0.43793,                0.37518,                0.25936,                 0.9538,                 1.4031,                0.84321,               0.009307,               0.009307,               0.009307
                     23,                 1.1105,                 1.5267,                0.85505,                0.40385,                 0.4523,                0.37839,                0.25714,                0.96803,                 1.4064,                0.83933,               0.009274,               0.009274,               0.009274
                     24,                 1.0933,                 1.4965,                0.85486,                0.39639,                0.44377,                 0.3814,                0.26179,                0.96472,                  1.372,                0.84442,               0.009241,               0.009241,               0.009241
