                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0367,                 21.775,                 2.4462,                0.36209,                0.01905,                0.00375,                0.00125,                 2.9596,                 5.1089,                 1.4482,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4772,                 4.1139,                  1.236,                0.50423,                 0.0396,                0.03593,                0.01807,                 1.9302,                 3.0958,                 1.0985,               0.040043,              0.0066374,              0.0066374
                      3,                  1.973,                 3.2012,                  1.054,                0.35075,                0.15176,                0.07545,                0.03578,                 1.7403,                 2.6306,                 1.0077,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7163,                 2.7095,                0.98431,                 0.4693,                0.17982,                0.12841,                0.07073,                 1.4401,                 2.3002,                 0.9463,               0.009901,               0.009901,               0.009901
                      5,                 1.5415,                 2.3874,                0.94662,                0.27712,                0.28723,                0.15881,                0.09791,                 1.2919,                 2.0585,                0.90988,               0.009868,               0.009868,               0.009868
                      6,                 1.4419,                  2.158,                0.92565,                0.42071,                0.28222,                0.19372,                0.11974,                 1.2188,                 1.9396,                0.90637,               0.009835,               0.009835,               0.009835
                      7,                 1.3538,                 2.0535,                0.90749,                0.37944,                0.31894,                0.21627,                0.13908,                 1.1147,                 1.8078,                0.88486,               0.009802,               0.009802,               0.009802
                      8,                 1.3279,                 1.9498,                0.89203,                0.36309,                0.34838,                0.24041,                 0.1556,                 1.1275,                 1.7775,                0.88023,               0.009769,               0.009769,               0.009769
                      9,                  1.287,                 1.8865,                0.88933,                 0.3202,                0.35056,                0.23088,                0.14017,                 1.1529,                 1.7682,                0.88148,               0.009736,               0.009736,               0.009736
                     10,                 1.2515,                 1.8138,                0.88057,                0.38545,                0.37974,                0.26917,                0.17345,                 1.1054,                 1.6621,                0.87302,               0.009703,               0.009703,               0.009703
                     11,                 1.2302,                 1.7611,                0.87987,                0.49215,                0.36665,                0.27906,                0.18121,                 1.1003,                 1.6476,                0.87358,                0.00967,                0.00967,                0.00967
                     12,                 1.2083,                 1.7251,                0.87356,                0.44051,                 0.3793,                0.29249,                0.18836,                  1.092,                 1.5854,                0.86898,               0.009637,               0.009637,               0.009637
                     13,                 1.2158,                 1.7308,                0.87527,                0.45414,                0.36003,                0.29936,                0.19517,                 1.0245,                 1.6018,                0.85745,               0.009604,               0.009604,               0.009604
                     14,                 1.1845,                 1.6913,                0.86646,                0.36208,                 0.4075,                0.30168,                0.19776,                 1.0536,                 1.5468,                0.86164,               0.009571,               0.009571,               0.009571
                     15,                 1.1743,                 1.6617,                 0.8629,                 0.4857,                0.40265,                0.32651,                0.21577,                 1.0438,                 1.5318,                0.86065,               0.009538,               0.009538,               0.009538
