                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9398,                 23.349,                 2.3714,                0.40735,                0.00513,                0.00309,                0.00114,                 2.8472,                 4.4694,                 1.4891,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4416,                 4.1593,                 1.2267,                0.33143,                0.03768,                0.03177,                0.01498,                 1.8853,                 3.3077,                 1.0982,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9933,                 3.2949,                 1.0575,                0.47332,                0.10757,                0.07313,                0.03566,                 1.7331,                 2.8476,                 1.0124,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7178,                 2.7782,                0.98324,                0.43732,                0.19372,                0.11764,                0.06232,                 1.4828,                 2.2632,                0.95852,               0.009901,               0.009901,               0.009901
                      5,                 1.5345,                 2.4175,                0.94302,                0.28742,                 0.2615,                0.15746,                0.08914,                 1.2989,                 2.1698,                0.91519,               0.009868,               0.009868,               0.009868
                      6,                 1.4591,                  2.191,                0.92604,                 0.3764,                0.27823,                0.18688,                0.11507,                 1.2188,                 1.9076,                0.89687,               0.009835,               0.009835,               0.009835
                      7,                 1.3622,                 2.0679,                0.90792,                0.32352,                0.33184,                0.22157,                0.13822,                 1.1448,                 1.8583,                0.88307,               0.009802,               0.009802,               0.009802
                      8,                 1.3336,                  1.955,                0.89148,                0.39593,                0.33815,                0.24304,                0.15355,                 1.1593,                 1.7818,                0.88198,               0.009769,               0.009769,               0.009769
                      9,                 1.2934,                 1.8909,                0.88904,                0.32328,                0.35332,                0.26139,                0.16282,                 1.1614,                 1.6811,                0.87897,               0.009736,               0.009736,               0.009736
                     10,                 1.2571,                   1.82,                0.88108,                0.36108,                0.35266,                0.26509,                0.16501,                 1.1208,                 1.6742,                0.87258,               0.009703,               0.009703,               0.009703
                     11,                 1.2389,                 1.7694,                0.87951,                0.45432,                0.34863,                0.27404,                0.17403,                 1.1338,                 1.6761,                0.87629,                0.00967,                0.00967,                0.00967
                     12,                 1.2157,                 1.7259,                 0.8741,                0.41696,                0.37758,                0.30152,                0.19531,                 1.0829,                 1.6082,                0.86165,               0.009637,               0.009637,               0.009637
                     13,                 1.2231,                  1.742,                0.87476,                0.36108,                0.36315,                0.29519,                0.19336,                  1.051,                 1.6148,                0.85936,               0.009604,               0.009604,               0.009604
                     14,                 1.1924,                  1.688,                0.86642,                0.41813,                0.36921,                0.30531,                0.20403,                 1.0561,                 1.5477,                0.85881,               0.009571,               0.009571,               0.009571
                     15,                 1.1818,                 1.6631,                0.86314,                 0.4298,                0.40815,                0.32347,                 0.2117,                 1.0449,                 1.5437,                0.86058,               0.009538,               0.009538,               0.009538
