                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3259,                 4.4023,                 2.4344,                0.18952,                0.10965,                0.07505,                0.03374,                 2.5283,                 3.5425,                 1.7206,               0.070029,              0.0033301,              0.0033301
                      2,                 2.0282,                 2.0904,                 1.5073,                0.52889,                0.30421,                0.29515,                0.14613,                 1.9836,                 2.2769,                 1.3325,               0.039985,              0.0066194,              0.0066194
                      3,                  1.728,                 1.5759,                 1.3088,                0.50632,                 0.3712,                0.37056,                0.19595,                 1.7629,                 1.8559,                 1.2123,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.5667,                 1.2828,                 1.2169,                0.62327,                 0.4761,                0.50428,                0.27904,                 1.6084,                 1.5672,                 1.1437,               0.009802,               0.009802,               0.009802
                      5,                 1.4497,                 1.0862,                 1.1547,                0.67462,                0.50234,                0.55841,                0.30553,                  1.584,                  1.403,                 1.1236,               0.009736,               0.009736,               0.009736
                      6,                 1.3722,                0.97372,                 1.1172,                0.71192,                0.51007,                0.56941,                 0.3158,                 1.5264,                  1.316,                 1.0987,                0.00967,                0.00967,                0.00967
                      7,                 1.3103,                 0.8981,                 1.0894,                0.73294,                0.61161,                0.65943,                0.38407,                 1.4162,                  1.134,                 1.0598,               0.009604,               0.009604,               0.009604
                      8,                 1.2635,                0.84891,                 1.0711,                0.71818,                 0.5439,                0.60467,                0.34947,                 1.4415,                 1.1847,                 1.0732,               0.009538,               0.009538,               0.009538
                      9,                 1.2284,                0.81444,                 1.0574,                0.75551,                0.55599,                 0.6431,                0.37347,                 1.4134,                  1.105,                 1.0613,               0.009472,               0.009472,               0.009472
                     10,                 1.2031,                0.78846,                 1.0477,                0.72494,                0.64435,                0.66499,                0.39578,                 1.3791,                 1.0385,                 1.0451,               0.009406,               0.009406,               0.009406
                     11,                 1.1811,                0.76396,                 1.0354,                0.79369,                0.60836,                0.66283,                  0.387,                 1.3927,                 1.0723,                 1.0593,                0.00934,                0.00934,                0.00934
                     12,                 1.1636,                 0.7436,                 1.0302,                0.79731,                0.62969,                0.69541,                0.41437,                 1.3378,                 1.0197,                 1.0309,               0.009274,               0.009274,               0.009274
                     13,                 1.1514,                0.72444,                 1.0239,                0.76492,                0.65848,                0.69309,                 0.4087,                 1.3653,                 1.0018,                 1.0401,               0.009208,               0.009208,               0.009208
                     14,                 1.1288,                0.70338,                 1.0135,                0.80231,                0.60856,                0.70245,                0.42122,                 1.3403,                 1.0021,                 1.0322,               0.009142,               0.009142,               0.009142
                     15,                 1.1181,                0.69479,                   1.01,                0.80556,                0.61778,                0.70364,                0.41774,                 1.3346,                0.97104,                 1.0245,               0.009076,               0.009076,               0.009076
                     16,                 1.1073,                0.67843,                 1.0057,                0.74932,                0.66362,                0.71014,                0.42571,                 1.3585,                0.95293,                 1.0369,                0.00901,                0.00901,                0.00901
                     17,                 1.0974,                0.67441,                 1.0007,                0.87215,                0.61673,                0.74266,                0.45165,                 1.3191,                0.92694,                 1.0239,               0.008944,               0.008944,               0.008944
                     18,                 1.0839,                0.65404,                0.99714,                 0.8024,                0.64046,                0.72666,                0.43526,                 1.3176,                0.92635,                  1.026,               0.008878,               0.008878,               0.008878
                     19,                 1.0772,                0.64976,                 0.9918,                0.86104,                0.61854,                0.72858,                 0.4412,                  1.306,                0.91894,                 1.0186,               0.008812,               0.008812,               0.008812
                     20,                 1.0719,                0.64484,                0.99321,                0.85273,                 0.6395,                0.75161,                 0.4544,                 1.3031,                0.89074,                 1.0159,               0.008746,               0.008746,               0.008746
