                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8193,                  5.252,                 2.1092,                 0.1016,                 0.1448,                 0.0406,                 0.0161,                 2.8155,                 4.8095,                 1.2869,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1353,                 1.9327,                 1.1855,                0.50421,                 0.2588,                0.25762,                0.12979,                 2.0331,                 2.1442,                 1.0428,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7568,                 1.4236,                 1.0528,                0.52359,                0.32679,                 0.3381,                0.16925,                 1.9221,                 1.8227,                0.99918,              0.0098974,              0.0098648,              0.0098648
                      4,                  1.591,                 1.1724,                0.99969,                0.57644,                0.36504,                0.38751,                 0.2044,                 1.6601,                 1.4997,                0.94991,               0.009802,               0.009802,               0.009802
                      5,                 1.4552,                 1.0054,                 0.9623,                0.65074,                0.41387,                0.46812,                0.25975,                 1.5809,                 1.2976,                0.92593,               0.009736,               0.009736,               0.009736
                      6,                 1.3693,                0.91036,                0.93934,                0.64486,                0.45242,                0.49571,                0.27421,                 1.5724,                 1.3353,                0.92532,                0.00967,                0.00967,                0.00967
                      7,                 1.3164,                 0.8475,                0.92487,                0.75017,                0.46041,                0.53235,                0.30159,                 1.5113,                 1.1867,                0.91403,               0.009604,               0.009604,               0.009604
                      8,                 1.2663,                0.79962,                0.91618,                0.70388,                0.47739,                 0.5311,                 0.2959,                 1.5178,                 1.1592,                0.90939,               0.009538,               0.009538,               0.009538
                      9,                 1.2308,                0.77446,                0.90896,                0.69591,                0.48066,                0.53302,                 0.2958,                 1.5372,                 1.1013,                0.92224,               0.009472,               0.009472,               0.009472
                     10,                 1.2115,                0.75164,                0.90597,                0.72319,                0.51786,                0.57362,                0.32074,                 1.4609,                 1.0359,                0.90778,               0.009406,               0.009406,               0.009406
                     11,                 1.1803,                0.72573,                0.89799,                0.77527,                0.54373,                0.60998,                0.33767,                 1.4707,                0.99828,                 0.9136,                0.00934,                0.00934,                0.00934
                     12,                 1.1631,                0.70713,                0.89415,                0.72498,                0.55158,                0.60624,                0.34109,                 1.4181,                 1.0191,                0.88932,               0.009274,               0.009274,               0.009274
                     13,                 1.1493,                0.69177,                0.89102,                0.75865,                0.57466,                0.63548,                0.36206,                 1.3425,                 1.0003,                0.87595,               0.009208,               0.009208,               0.009208
                     14,                 1.1217,                0.66677,                0.88595,                 0.7958,                0.56278,                0.63499,                0.35712,                  1.397,                 1.0514,                0.88852,               0.009142,               0.009142,               0.009142
                     15,                 1.1099,                0.65959,                0.88393,                 0.8103,                0.55323,                0.64652,                0.38033,                 1.3155,                0.94834,                0.87039,               0.009076,               0.009076,               0.009076
                     16,                 1.1009,                0.64931,                  0.881,                  0.724,                0.59145,                0.64615,                0.37506,                 1.3635,                0.98407,                0.88217,                0.00901,                0.00901,                0.00901
                     17,                 1.0853,                0.63349,                0.87879,                0.78543,                0.56618,                0.64454,                 0.3752,                 1.3503,                 1.0019,                0.87841,               0.008944,               0.008944,               0.008944
                     18,                 1.0736,                0.61979,                0.87323,                0.80299,                0.57993,                0.66106,                 0.3858,                 1.3817,                 0.9291,                0.88878,               0.008878,               0.008878,               0.008878
                     19,                 1.0645,                 0.6156,                0.87238,                0.78157,                 0.6105,                0.67052,                0.39913,                   1.31,                0.95779,                 0.8694,               0.008812,               0.008812,               0.008812
                     20,                 1.0576,                0.60711,                0.87435,                0.77006,                0.60789,                 0.6628,                0.39161,                  1.332,                0.93112,                0.87559,               0.008746,               0.008746,               0.008746
                     21,                 1.0566,                0.60986,                0.87326,                0.74157,                0.61342,                0.67028,                 0.3961,                  1.282,                0.92643,                0.86699,                0.00868,                0.00868,                0.00868
                     22,                 1.0373,                 0.5932,                0.86917,                 0.7555,                0.62164,                0.68763,                0.40618,                 1.2642,                0.87619,                0.86175,               0.008614,               0.008614,               0.008614
                     23,                 1.0385,                0.58902,                 0.8691,                0.82048,                0.60915,                0.69878,                0.41145,                 1.2874,                0.89691,                0.86452,               0.008548,               0.008548,               0.008548
                     24,                 1.0331,                0.58367,                0.86637,                0.82283,                0.60995,                0.68667,                0.40949,                 1.2899,                0.90951,                0.86706,               0.008482,               0.008482,               0.008482
                     25,                 1.0161,                0.57423,                0.86517,                0.80193,                0.62043,                0.68394,                0.40883,                 1.3124,                0.92995,                0.86952,               0.008416,               0.008416,               0.008416
                     26,                 1.0149,                0.56897,                0.86422,                0.81151,                0.63662,                0.69605,                0.41052,                  1.301,                0.86311,                0.87109,                0.00835,                0.00835,                0.00835
                     27,                 1.0068,                0.56175,                0.86457,                0.81517,                0.62609,                 0.6926,                0.41262,                 1.3064,                0.87676,                0.87329,               0.008284,               0.008284,               0.008284
                     28,                0.99568,                0.55385,                0.86033,                0.82312,                0.63247,                0.69784,                0.41522,                 1.3097,                0.85227,                0.87453,               0.008218,               0.008218,               0.008218
                     29,                 0.9954,                0.55535,                0.86042,                0.82684,                0.62733,                0.69786,                0.42238,                 1.2734,                0.87887,                0.86586,               0.008152,               0.008152,               0.008152
                     30,                0.98983,                0.55088,                0.86075,                0.81219,                0.64891,                0.70187,                0.42328,                 1.2751,                0.88285,                0.86874,               0.008086,               0.008086,               0.008086
                     31,                0.98522,                 0.5438,                 0.8591,                0.82566,                0.63804,                0.70919,                0.42413,                 1.2876,                0.85115,                0.87319,                0.00802,                0.00802,                0.00802
                     32,                0.97836,                0.53756,                0.85786,                0.83868,                0.63342,                0.70545,                0.42439,                 1.2954,                0.81719,                0.87488,               0.007954,               0.007954,               0.007954
                     33,                0.97623,                0.53874,                0.85658,                0.83765,                0.63577,                0.71786,                0.43204,                 1.2776,                0.84615,                0.86872,               0.007888,               0.007888,               0.007888
                     34,                0.96446,                0.52761,                0.85452,                0.81991,                0.66045,                0.72235,                0.43804,                 1.2664,                0.83499,                0.86553,               0.007822,               0.007822,               0.007822
                     35,                0.96431,                0.52766,                0.85421,                0.84321,                0.65094,                0.72395,                0.43884,                 1.2692,                0.82271,                0.86625,               0.007756,               0.007756,               0.007756
                     36,                0.96808,                0.52857,                0.85395,                0.84491,                0.64337,                0.71528,                0.43413,                 1.2745,                0.83112,                0.87067,                0.00769,                0.00769,                0.00769
                     37,                0.95796,                 0.5196,                0.85366,                0.86255,                0.63712,                0.72032,                0.43713,                 1.2765,                0.82378,                0.87134,               0.007624,               0.007624,               0.007624
                     38,                 0.9567,                0.52096,                0.85352,                0.85833,                0.64552,                0.72773,                0.44234,                 1.2705,                 0.8313,                0.86967,               0.007558,               0.007558,               0.007558
                     39,                0.95208,                0.51672,                0.85282,                 0.8529,                0.64899,                0.72692,                0.43928,                 1.2691,                0.83649,                0.86939,               0.007492,               0.007492,               0.007492
                     40,                0.94452,                0.51175,                0.85136,                0.87099,                 0.6315,                0.72677,                0.44305,                 1.2757,                0.83431,                 0.8727,               0.007426,               0.007426,               0.007426
