                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8764,                  7.157,                 2.1588,                0.32399,                0.14063,                0.08828,                0.03814,                 2.6743,                 2.8479,                 1.2481,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1625,                 1.9785,                 1.1974,                0.50768,                0.25558,                 0.2751,                0.12884,                 2.0673,                  2.069,                 1.0354,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7426,                  1.402,                  1.051,                0.56908,                0.33067,                 0.3498,                0.17858,                  1.811,                 1.6609,                0.96808,              0.0098974,              0.0098648,              0.0098648
                      4,                   1.56,                  1.127,                 0.9952,                0.55822,                0.40124,                0.42095,                0.21751,                 1.6778,                 1.4632,                0.94704,               0.009802,               0.009802,               0.009802
                      5,                 1.4246,                0.96159,                0.95589,                0.61903,                0.48267,                0.50261,                0.26302,                 1.5826,                 1.3308,                0.92361,               0.009736,               0.009736,               0.009736
                      6,                 1.3342,                0.86434,                0.93461,                0.69123,                0.47764,                0.53819,                0.28987,                 1.4682,                 1.2402,                0.90514,                0.00967,                0.00967,                0.00967
                      7,                  1.283,                0.81172,                0.92227,                0.72207,                0.53093,                0.58737,                0.31477,                 1.5155,                 1.0777,                0.91651,               0.009604,               0.009604,               0.009604
                      8,                 1.2326,                0.75881,                0.90979,                0.68752,                0.57524,                 0.6032,                0.33678,                 1.4265,                  1.112,                0.89065,               0.009538,               0.009538,               0.009538
                      9,                 1.1945,                0.73013,                0.90425,                0.75306,                 0.5317,                0.61151,                0.33439,                 1.4626,                 1.1204,                0.90286,               0.009472,               0.009472,               0.009472
                     10,                 1.1725,                0.71425,                0.89949,                0.66575,                0.58271,                0.60548,                0.34476,                 1.4194,                 1.0834,                0.89127,               0.009406,               0.009406,               0.009406
                     11,                 1.1457,                0.68822,                 0.8949,                0.78654,                0.56941,                0.65404,                0.35979,                 1.3938,                 1.0227,                0.88846,                0.00934,                0.00934,                0.00934
                     12,                 1.1307,                0.67205,                0.89042,                0.79081,                0.59514,                0.66234,                0.38626,                  1.348,                0.95431,                0.87993,               0.009274,               0.009274,               0.009274
                     13,                 1.1177,                0.65804,                0.88657,                0.78012,                 0.6026,                0.67792,                0.38745,                 1.3415,                0.95434,                0.87706,               0.009208,               0.009208,               0.009208
                     14,                 1.0938,                0.63838,                0.88243,                0.80505,                0.59996,                0.66552,                0.36851,                  1.412,                0.92461,                0.89593,               0.009142,               0.009142,               0.009142
                     15,                  1.083,                0.62882,                0.88013,                0.81311,                0.59866,                0.68348,                0.39641,                 1.3458,                0.89022,                0.88021,               0.009076,               0.009076,               0.009076
                     16,                 1.0699,                0.61426,                0.87787,                0.75428,                 0.6333,                0.69473,                0.40556,                 1.3328,                0.91819,                0.87477,                0.00901,                0.00901,                0.00901
                     17,                 1.0531,                0.60728,                0.87404,                0.80584,                0.63408,                 0.6969,                0.40846,                  1.306,                0.92152,                0.86855,               0.008944,               0.008944,               0.008944
                     18,                  1.043,                0.59398,                0.87082,                 0.8012,                0.63187,                0.70274,                0.40341,                 1.3241,                0.87735,                0.87276,               0.008878,               0.008878,               0.008878
                     19,                  1.035,                0.58739,                0.86901,                0.79556,                0.66056,                0.72356,                 0.4317,                 1.2601,                0.86031,                0.86207,               0.008812,               0.008812,               0.008812
                     20,                 1.0289,                0.58116,                0.87206,                0.79311,                0.64898,                0.71361,                0.42363,                 1.2949,                0.87103,                0.86902,               0.008746,               0.008746,               0.008746
                     21,                 1.0271,                0.57653,                0.86952,                0.81096,                0.64783,                0.71994,                0.42617,                 1.2785,                0.88168,                0.86599,                0.00868,                0.00868,                0.00868
                     22,                 1.0047,                0.56588,                0.86592,                0.82263,                0.63832,                0.71927,                0.43243,                  1.263,                 0.8895,                0.86561,               0.008614,               0.008614,               0.008614
                     23,                 1.0059,                 0.5613,                0.86581,                0.80325,                0.66684,                0.72108,                 0.4311,                 1.2949,                 0.8808,                0.87136,               0.008548,               0.008548,               0.008548
                     24,                 1.0036,                 0.5591,                0.86455,                0.82707,                0.66241,                0.73304,                0.43514,                 1.2806,                0.82451,                0.86574,               0.008482,               0.008482,               0.008482
                     25,                0.98779,                0.55228,                0.86241,                0.82187,                0.66117,                0.73552,                0.44624,                 1.2643,                0.80546,                0.86508,               0.008416,               0.008416,               0.008416
                     26,                0.98592,                0.54782,                0.86123,                0.83608,                0.65649,                0.73683,                0.44395,                 1.2953,                0.81364,                0.87558,                0.00835,                0.00835,                0.00835
                     27,                0.97637,                0.53831,                0.86124,                0.82831,                0.67937,                0.74548,                0.44947,                 1.2462,                0.81904,                 0.8623,               0.008284,               0.008284,               0.008284
                     28,                0.96454,                0.53311,                0.85713,                0.81203,                0.69194,                0.74289,                0.45367,                 1.2463,                  0.828,                0.86439,               0.008218,               0.008218,               0.008218
                     29,                  0.965,                 0.5312,                0.85722,                0.82894,                0.68085,                0.75134,                0.45479,                 1.2235,                0.81322,                0.85841,               0.008152,               0.008152,               0.008152
                     30,                0.96021,                0.52588,                0.85805,                 0.8046,                0.68044,                0.75029,                0.45261,                 1.2238,                0.79931,                0.85605,               0.008086,               0.008086,               0.008086
                     31,                0.95603,                0.52441,                0.85581,                0.83602,                0.69329,                0.75252,                0.45638,                 1.2461,                0.80702,                0.86268,                0.00802,                0.00802,                0.00802
                     32,                0.94981,                0.51766,                0.85536,                0.83075,                0.69685,                0.75495,                0.45483,                 1.2356,                0.80001,                0.86128,               0.007954,               0.007954,               0.007954
                     33,                0.94473,                 0.5193,                0.85331,                0.80143,                0.70273,                0.75898,                0.45932,                 1.2387,                0.79326,                0.86117,               0.007888,               0.007888,               0.007888
                     34,                0.94082,                0.51128,                0.85194,                0.82921,                0.70219,                0.76699,                0.46437,                 1.2192,                0.77318,                0.85602,               0.007822,               0.007822,               0.007822
                     35,                0.94119,                0.50938,                0.85259,                  0.828,                0.69426,                0.75964,                0.46173,                 1.2398,                0.78185,                0.86316,               0.007756,               0.007756,               0.007756
                     36,                0.93586,                 0.5062,                 0.8512,                0.82621,                0.69731,                0.75989,                0.46182,                 1.2291,                0.79387,                0.85837,                0.00769,                0.00769,                0.00769
                     37,                0.93155,                0.50275,                0.85181,                0.82298,                0.69101,                0.75563,                0.45885,                 1.2621,                0.79604,                0.86654,               0.007624,               0.007624,               0.007624
                     38,                0.93132,                0.50125,                0.85096,                0.84339,                0.69397,                0.76237,                0.46473,                 1.2306,                0.79946,                0.85896,               0.007558,               0.007558,               0.007558
                     39,                0.92726,                0.49823,                0.85077,                0.84021,                 0.6967,                0.76237,                0.46673,                 1.2193,                0.80134,                0.85586,               0.007492,               0.007492,               0.007492
                     40,                0.91919,                0.49523,                0.84939,                0.83094,                0.69838,                0.76097,                0.46558,                 1.2166,                 0.8101,                0.85594,               0.007426,               0.007426,               0.007426
                     41,                0.91894,                0.49256,                0.84911,                0.81691,                0.70209,                0.76546,                0.47204,                 1.2111,                0.79483,                  0.856,                0.00736,                0.00736,                0.00736
                     42,                0.91795,                0.49144,                 0.8485,                0.81884,                0.70714,                0.76517,                0.46935,                 1.2265,                0.81646,                 0.8608,               0.007294,               0.007294,               0.007294
                     43,                 0.9087,                0.48511,                 0.8484,                0.84234,                0.70555,                0.76704,                0.47286,                 1.2314,                0.80593,                0.86367,               0.007228,               0.007228,               0.007228
                     44,                0.91303,                0.48444,                0.84717,                0.84417,                0.71061,                0.77135,                0.47558,                 1.2151,                0.80076,                0.85747,               0.007162,               0.007162,               0.007162
                     45,                0.90573,                0.48327,                  0.847,                0.85173,                0.70459,                 0.7744,                0.47739,                   1.21,                0.79481,                0.85576,               0.007096,               0.007096,               0.007096
                     46,                0.89369,                0.47431,                0.84526,                0.84449,                0.71089,                0.77528,                0.47622,                 1.2096,                0.78847,                0.85555,                0.00703,                0.00703,                0.00703
                     47,                0.90015,                0.47739,                0.84646,                0.84577,                0.71272,                 0.7745,                0.47501,                 1.2082,                0.79243,                0.85529,               0.006964,               0.006964,               0.006964
                     48,                 0.8989,                0.47536,                0.84382,                0.84292,                0.71396,                0.77626,                0.47693,                 1.1864,                0.78929,                0.85126,               0.006898,               0.006898,               0.006898
                     49,                0.89369,                0.47492,                0.84277,                0.84398,                0.71149,                0.77701,                0.47926,                 1.1889,                0.78191,                0.85227,               0.006832,               0.006832,               0.006832
                     50,                0.88803,                 0.4672,                0.84123,                0.84508,                0.71288,                0.77418,                0.47803,                 1.1957,                0.78627,                0.85423,               0.006766,               0.006766,               0.006766
                     51,                 0.8887,                0.46519,                0.84182,                0.86028,                0.70356,                0.77384,                0.47761,                 1.2038,                0.79072,                0.85583,                 0.0067,                 0.0067,                 0.0067
                     52,                 0.8833,                0.46398,                 0.8426,                 0.8639,                0.70858,                0.77506,                0.47893,                  1.206,                0.78828,                0.85602,               0.006634,               0.006634,               0.006634
                     53,                0.88463,                0.46838,                 0.8417,                0.85886,                0.71283,                0.77579,                0.47985,                 1.2044,                0.78585,                0.85594,               0.006568,               0.006568,               0.006568
                     54,                0.87928,                0.46308,                0.84264,                0.85907,                0.70906,                0.77619,                0.48069,                  1.204,                0.78126,                0.85587,               0.006502,               0.006502,               0.006502
                     55,                0.87196,                0.46078,                0.84113,                0.85059,                0.71658,                0.77769,                0.48348,                 1.1974,                0.79038,                0.85467,               0.006436,               0.006436,               0.006436
                     56,                0.87151,                0.45845,                0.83972,                0.85019,                0.72015,                0.78019,                0.48369,                 1.1912,                0.79809,                0.85341,                0.00637,                0.00637,                0.00637
                     57,                0.86926,                0.45689,                0.83849,                0.85044,                0.72173,                   0.78,                0.48493,                 1.1904,                0.80106,                0.85335,               0.006304,               0.006304,               0.006304
                     58,                0.86326,                 0.4498,                0.83897,                0.85391,                0.71867,                0.77979,                0.48495,                 1.1873,                0.80327,                0.85269,               0.006238,               0.006238,               0.006238
                     59,                0.87106,                0.45802,                0.84032,                0.85368,                0.71347,                0.77913,                 0.4857,                  1.182,                0.80297,                0.85184,               0.006172,               0.006172,               0.006172
                     60,                0.85852,                0.44753,                0.83959,                0.84475,                 0.7211,                0.77897,                0.48568,                 1.1784,                0.80149,                0.85132,               0.006106,               0.006106,               0.006106
                     61,                0.86364,                 0.4479,                0.83862,                0.84558,                0.71913,                0.77964,                0.48609,                 1.1757,                0.80042,                0.85076,                0.00604,                0.00604,                0.00604
                     62,                 0.8538,                0.44445,                 0.8374,                0.84641,                0.71785,                0.78129,                0.48768,                  1.172,                 0.7981,                0.84997,               0.005974,               0.005974,               0.005974
                     63,                0.85868,                0.44632,                0.83755,                0.84067,                0.72016,                0.77972,                0.48799,                  1.171,                0.79628,                0.84989,               0.005908,               0.005908,               0.005908
                     64,                0.84975,                0.44235,                0.83729,                0.83752,                0.72559,                0.78128,                0.48856,                 1.1719,                0.79533,                0.85049,               0.005842,               0.005842,               0.005842
                     65,                0.84791,                0.44026,                 0.8358,                0.83698,                0.72678,                0.78206,                0.48835,                 1.1712,                0.79409,                0.85035,               0.005776,               0.005776,               0.005776
                     66,                0.84643,                 0.4359,                0.83606,                0.84051,                0.72033,                0.78224,                0.48915,                 1.1685,                0.79319,                0.85003,                0.00571,                0.00571,                0.00571
                     67,                0.84262,                0.43879,                0.83618,                0.83908,                0.72348,                0.78276,                0.48887,                 1.1677,                0.79392,                0.84964,               0.005644,               0.005644,               0.005644
                     68,                0.83865,                0.43731,                0.83628,                 0.8415,                0.72228,                0.78369,                0.48994,                 1.1671,                0.79435,                0.84957,               0.005578,               0.005578,               0.005578
                     69,                0.84061,                0.43537,                0.83384,                0.84289,                0.72357,                0.78353,                0.48988,                  1.166,                 0.7942,                0.84934,               0.005512,               0.005512,               0.005512
                     70,                0.83741,                0.43087,                0.83595,                0.84532,                0.72323,                0.78422,                0.49003,                 1.1677,                0.79408,                 0.8496,               0.005446,               0.005446,               0.005446
