                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4455,                 4.4451,                 2.5161,                0.18208,                  0.155,                0.07675,                0.03153,                 2.4367,                  3.721,                  1.655,               0.070029,              0.0033301,              0.0033301
                      2,                 2.0518,                 2.1123,                 1.5019,                0.55569,                0.28252,                0.29485,                 0.1485,                 1.9399,                 2.4868,                 1.3252,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7162,                 1.5457,                  1.295,                0.53886,                0.37704,                0.38819,                0.20674,                  1.754,                 1.8431,                 1.2101,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.5395,                  1.233,                 1.1955,                0.70163,                0.46082,                0.53226,                0.28164,                 1.6062,                  1.465,                 1.1361,               0.009802,               0.009802,               0.009802
                      5,                 1.4036,                 1.0314,                  1.131,                0.75307,                0.50243,                0.58339,                0.33255,                 1.4666,                 1.2874,                 1.0851,               0.009736,               0.009736,               0.009736
                      6,                 1.3207,                0.91639,                 1.0928,                0.73082,                0.51604,                0.59748,                0.33309,                 1.5028,                 1.2767,                 1.1014,                0.00967,                0.00967,                0.00967
                      7,                 1.2718,                0.84948,                 1.0735,                0.81166,                0.57817,                0.67674,                 0.3887,                 1.4248,                 1.0931,                 1.0621,               0.009604,               0.009604,               0.009604
                      8,                 1.2324,                0.80267,                 1.0557,                0.75259,                0.60894,                0.67631,                 0.3953,                 1.3787,                 1.1085,                 1.0464,               0.009538,               0.009538,               0.009538
                      9,                 1.2028,                0.77154,                 1.0451,                0.78385,                0.60033,                0.68873,                0.40645,                 1.3762,                 1.0595,                 1.0524,               0.009472,               0.009472,               0.009472
                     10,                 1.1745,                0.74325,                 1.0353,                0.73938,                 0.6538,                0.70713,                0.41569,                 1.3442,                0.99691,                 1.0366,               0.009406,               0.009406,               0.009406
                     11,                 1.1573,                0.72248,                 1.0251,                 0.8192,                0.59088,                0.70462,                 0.4153,                 1.3728,                 1.0294,                 1.0542,                0.00934,                0.00934,                0.00934
                     12,                 1.1433,                0.70566,                 1.0223,                0.83682,                0.64416,                0.73425,                0.44677,                 1.2892,                0.93619,                 1.0161,               0.009274,               0.009274,               0.009274
                     13,                 1.1252,                0.68521,                 1.0137,                0.84244,                0.63716,                0.71793,                0.43285,                  1.309,                0.96731,                 1.0233,               0.009208,               0.009208,               0.009208
                     14,                  1.107,                0.66518,                 1.0061,                0.80884,                0.66164,                0.74081,                 0.4541,                 1.2902,                0.91995,                 1.0147,               0.009142,               0.009142,               0.009142
                     15,                 1.0958,                0.65746,                 1.0018,                0.80879,                0.67765,                0.75407,                0.44967,                 1.2847,                0.88181,                 1.0145,               0.009076,               0.009076,               0.009076
                     16,                 1.0833,                0.64086,                0.99781,                0.87631,                0.62115,                0.75958,                0.46461,                 1.2647,                0.88489,                 1.0089,                0.00901,                0.00901,                0.00901
                     17,                 1.0738,                0.63856,                0.99196,                0.86063,                0.66805,                0.76765,                0.46698,                 1.2687,                0.86398,                 1.0118,               0.008944,               0.008944,               0.008944
                     18,                 1.0618,                 0.6193,                0.98944,                0.83442,                0.67429,                0.75051,                0.46098,                 1.2607,                0.91608,                 1.0111,               0.008878,               0.008878,               0.008878
                     19,                 1.0557,                0.61389,                0.98438,                0.85725,                0.65847,                 0.7496,                0.46216,                 1.2636,                0.90242,                 1.0098,               0.008812,               0.008812,               0.008812
                     20,                 1.0484,                0.60891,                0.98542,                  0.829,                0.69749,                 0.7718,                0.47264,                 1.2563,                0.84432,                 1.0077,               0.008746,               0.008746,               0.008746
                     21,                 1.0492,                0.60669,                0.98093,                 0.8316,                0.68344,                 0.7549,                0.46549,                 1.2519,                0.89125,                 1.0038,                0.00868,                0.00868,                0.00868
                     22,                 1.0289,                0.59261,                0.97667,                0.82497,                0.68848,                0.76006,                0.46809,                 1.2347,                0.87568,                0.99541,               0.008614,               0.008614,               0.008614
                     23,                  1.029,                0.58583,                0.97693,                0.83111,                 0.7148,                0.77732,                0.48304,                 1.2271,                0.84358,                0.99366,               0.008548,               0.008548,               0.008548
                     24,                 1.0254,                0.58447,                0.97331,                0.87392,                0.68843,                 0.7763,                0.47836,                 1.2631,                0.87576,                 1.0125,               0.008482,               0.008482,               0.008482
                     25,                 1.0145,                0.57826,                0.96993,                0.83854,                0.71288,                0.78389,                 0.4867,                 1.2354,                0.85159,                0.99712,               0.008416,               0.008416,               0.008416
                     26,                 1.0079,                0.56986,                0.96868,                0.84136,                0.70928,                0.78217,                0.48227,                 1.2235,                0.84419,                0.99033,                0.00835,                0.00835,                0.00835
                     27,                 1.0012,                0.56591,                0.96546,                0.81749,                 0.7185,                0.77472,                0.48488,                  1.231,                0.87876,                0.99448,               0.008284,               0.008284,               0.008284
                     28,                 0.9936,                 0.5572,                0.96367,                0.85195,                0.70671,                0.78483,                0.49263,                 1.2205,                0.83082,                0.98856,               0.008218,               0.008218,               0.008218
                     29,                0.99328,                0.55542,                0.96368,                0.85749,                0.69677,                 0.7897,                0.49396,                 1.2221,                0.81851,                0.98636,               0.008152,               0.008152,               0.008152
                     30,                0.98169,                0.54999,                0.95766,                 0.8631,                 0.7148,                0.79611,                0.50064,                 1.2059,                0.81017,                0.98379,               0.008086,               0.008086,               0.008086
                     31,                0.98266,                0.54517,                 0.9591,                0.85095,                0.71446,                0.79841,                0.50131,                 1.1955,                0.80045,                0.98144,                0.00802,                0.00802,                0.00802
                     32,                0.97469,                 0.5419,                 0.9555,                0.86699,                0.72074,                0.79627,                0.49891,                 1.2179,                0.80334,                0.99161,               0.007954,               0.007954,               0.007954
                     33,                0.97454,                  0.539,                0.95374,                0.85761,                0.71559,                0.79385,                0.50156,                 1.2178,                0.81258,                0.98735,               0.007888,               0.007888,               0.007888
                     34,                0.96294,                0.52923,                 0.9514,                0.85465,                0.72035,                0.79484,                0.50059,                 1.2348,                0.82911,                0.99522,               0.007822,               0.007822,               0.007822
                     35,                0.96601,                 0.5332,                0.95048,                0.85566,                0.71975,                0.79432,                0.49915,                 1.2251,                0.81664,                0.99282,               0.007756,               0.007756,               0.007756
                     36,                0.96611,                0.52924,                0.95202,                0.84874,                0.71649,                 0.7932,                0.49666,                 1.2107,                0.82412,                0.98723,                0.00769,                0.00769,                0.00769
                     37,                0.95361,                0.52385,                0.94762,                0.85972,                0.71243,                0.79249,                0.50273,                    1.2,                  0.818,                0.98418,               0.007624,               0.007624,               0.007624
                     38,                0.95556,                0.52186,                0.94789,                0.85824,                0.72143,                0.79679,                0.50595,                 1.2028,                0.82667,                0.98642,               0.007558,               0.007558,               0.007558
