                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9388,                 5.4483,                 2.0837,                0.16335,                0.13663,                0.06537,                0.02572,                 2.7175,                 3.0067,                 1.2341,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1868,                 1.9968,                 1.1859,                0.45966,                0.26104,                0.25267,                0.11971,                 2.0603,                 2.1509,                 1.0388,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7405,                 1.3879,                 1.0447,                0.57456,                0.33233,                0.35435,                0.17093,                 1.8758,                 1.7399,                0.98747,              0.0098974,              0.0098648,              0.0098648
                      4,                  1.567,                 1.1246,                0.99417,                0.55313,                0.37416,                0.38507,                0.19734,                 1.7171,                 1.5662,                0.96777,               0.009802,               0.009802,               0.009802
                      5,                 1.4235,                0.95717,                 0.9528,                0.66664,                0.44885,                  0.486,                0.26112,                 1.5525,                 1.3604,                 0.9176,               0.009736,               0.009736,               0.009736
                      6,                  1.344,                0.86399,                0.93269,                 0.6848,                0.47387,                0.52735,                0.27825,                 1.5601,                 1.2842,                0.91216,                0.00967,                0.00967,                0.00967
                      7,                   1.29,                 0.8113,                0.91858,                0.80357,                0.50385,                0.59825,                0.32686,                 1.4822,                 1.0976,                0.90418,               0.009604,               0.009604,               0.009604
                      8,                 1.2367,                 0.7615,                0.90827,                0.73021,                0.53419,                0.61323,                0.33727,                 1.3846,                  1.091,                0.88367,               0.009538,               0.009538,               0.009538
                      9,                 1.2005,                0.73346,                0.90319,                0.73334,                0.57711,                0.63695,                 0.3527,                 1.3934,                 1.0446,                0.88747,               0.009472,               0.009472,               0.009472
                     10,                 1.1774,                0.71206,                 0.8985,                0.74958,                0.53877,                0.61761,                0.34451,                 1.4354,                 1.0472,                0.89503,               0.009406,               0.009406,               0.009406
                     11,                 1.1516,                0.68668,                 0.8918,                0.74716,                0.57491,                 0.6422,                0.36253,                 1.4134,                 1.0171,                0.89266,                0.00934,                0.00934,                0.00934
                     12,                 1.1352,                0.67215,                0.88817,                0.76659,                0.57027,                0.65389,                0.37941,                 1.3492,                 1.0171,                0.87752,               0.009274,               0.009274,               0.009274
                     13,                 1.1166,                0.65222,                0.88403,                0.79162,                 0.6097,                0.68501,                0.39357,                  1.336,                0.96989,                0.87579,               0.009208,               0.009208,               0.009208
                     14,                 1.0959,                0.63657,                0.87897,                 0.7889,                0.60785,                0.67509,                0.39432,                 1.3545,                0.97348,                0.87765,               0.009142,               0.009142,               0.009142
                     15,                 1.0814,                0.62876,                0.87792,                0.79406,                0.62477,                0.70082,                0.41237,                 1.3087,                0.94671,                0.87026,               0.009076,               0.009076,               0.009076
                     16,                 1.0695,                 0.6152,                0.87411,                0.81891,                0.61288,                0.69614,                0.41015,                  1.335,                0.95817,                0.87511,                0.00901,                0.00901,                0.00901
                     17,                 1.0525,                0.60571,                0.87217,                0.79983,                0.62125,                0.69497,                0.41337,                 1.3342,                0.94531,                0.87832,               0.008944,               0.008944,               0.008944
                     18,                 1.0447,                 0.5915,                0.86804,                0.80364,                0.61573,                 0.6913,                0.40945,                  1.331,                0.89041,                0.87475,               0.008878,               0.008878,               0.008878
                     19,                 1.0315,                0.58642,                0.86525,                0.79823,                0.62904,                0.70295,                0.42027,                 1.3033,                0.90216,                0.87061,               0.008812,               0.008812,               0.008812
                     20,                 1.0261,                0.58175,                0.86785,                0.82759,                0.63566,                0.70834,                0.41808,                 1.3067,                0.82102,                0.86935,               0.008746,               0.008746,               0.008746
                     21,                 1.0231,                0.57554,                0.86584,                0.81604,                0.63668,                 0.7139,                0.42796,                 1.2777,                0.94657,                0.86438,                0.00868,                0.00868,                0.00868
                     22,                  1.002,                0.56287,                0.86349,                0.82897,                0.63015,                0.71144,                0.42602,                 1.2551,                0.93614,                 0.8591,               0.008614,               0.008614,               0.008614
                     23,                 1.0039,                0.55726,                0.86303,                0.82094,                0.66668,                 0.7301,                0.44187,                  1.285,                0.83739,                0.86687,               0.008548,               0.008548,               0.008548
                     24,                 1.0021,                0.55784,                0.86095,                0.82581,                0.67771,                0.73607,                0.45032,                  1.239,                0.86358,                 0.8558,               0.008482,               0.008482,               0.008482
                     25,                0.98331,                0.54855,                0.85914,                0.81742,                0.66007,                 0.7276,                 0.4461,                 1.2633,                0.86293,                0.86284,               0.008416,               0.008416,               0.008416
                     26,                0.97763,                0.54253,                0.85747,                0.82454,                0.66451,                0.73419,                 0.4465,                 1.2558,                0.83687,                0.86257,                0.00835,                0.00835,                0.00835
                     27,                0.97291,                 0.5379,                0.85783,                0.85618,                 0.6639,                0.73681,                0.44845,                  1.272,                0.86873,                 0.8675,               0.008284,               0.008284,               0.008284
                     28,                0.96562,                0.53277,                0.85495,                0.84981,                0.65659,                0.74021,                0.45177,                 1.2402,                0.85241,                0.85973,               0.008218,               0.008218,               0.008218
                     29,                 0.9645,                0.52776,                 0.8544,                0.82753,                0.68076,                0.73983,                0.45606,                 1.2398,                0.84306,                0.85811,               0.008152,               0.008152,               0.008152
                     30,                0.95358,                0.52169,                0.85437,                0.83458,                0.68218,                0.74429,                0.45961,                 1.2354,                0.83216,                 0.8571,               0.008086,               0.008086,               0.008086
                     31,                0.95368,                0.52308,                0.85307,                0.83801,                0.69206,                0.74784,                0.46357,                 1.2376,                0.84758,                0.85792,                0.00802,                0.00802,                0.00802
                     32,                0.94658,                0.51489,                0.85287,                0.84028,                0.68832,                0.75199,                0.46137,                 1.2161,                0.83111,                0.85326,               0.007954,               0.007954,               0.007954
                     33,                0.94183,                0.51691,                0.85074,                0.84926,                0.68132,                0.74714,                0.46317,                 1.2228,                0.78006,                0.85667,               0.007888,               0.007888,               0.007888
                     34,                0.93452,                0.50542,                 0.8482,                0.86213,                0.67797,                0.74715,                0.46466,                 1.2152,                 0.8055,                0.85569,               0.007822,               0.007822,               0.007822
                     35,                0.93738,                0.51008,                0.84832,                 0.8469,                0.68421,                0.74903,                0.46682,                 1.2186,                0.81653,                0.85564,               0.007756,               0.007756,               0.007756
                     36,                0.93463,                0.50228,                 0.8479,                0.84441,                 0.6883,                0.75142,                0.47357,                 1.2029,                0.83365,                0.85278,                0.00769,                0.00769,                0.00769
                     37,                 0.9282,                0.49939,                0.84777,                0.83924,                0.68455,                0.74856,                0.46689,                 1.2019,                0.83092,                  0.853,               0.007624,               0.007624,               0.007624
                     38,                 0.9242,                0.49669,                0.84728,                0.84401,                0.69107,                0.75098,                0.47106,                 1.2053,                  0.814,                0.85362,               0.007558,               0.007558,               0.007558
                     39,                0.91997,                0.49578,                0.84778,                0.85361,                0.67961,                 0.7525,                 0.4709,                 1.1974,                0.80975,                 0.8534,               0.007492,               0.007492,               0.007492
                     40,                0.91799,                0.49191,                0.84672,                0.85657,                0.68183,                0.75369,                0.47068,                 1.1979,                0.80417,                0.85245,               0.007426,               0.007426,               0.007426
                     41,                0.91221,                0.48682,                0.84616,                 0.8422,                  0.697,                 0.7559,                0.47464,                 1.1973,                0.80431,                0.85263,                0.00736,                0.00736,                0.00736
                     42,                 0.9151,                0.48871,                0.84636,                0.83871,                 0.7038,                0.76038,                0.47383,                 1.1988,                0.80425,                0.85236,               0.007294,               0.007294,               0.007294
                     43,                0.90535,                0.48126,                 0.8453,                0.85155,                 0.6952,                0.75673,                0.47395,                 1.1999,                0.80126,                0.85259,               0.007228,               0.007228,               0.007228
                     44,                 0.9031,                0.48066,                0.84359,                0.85957,                0.69195,                0.75837,                0.47511,                 1.1903,                0.79099,                0.85126,               0.007162,               0.007162,               0.007162
                     45,                0.89913,                0.48046,                0.84297,                0.86951,                0.68802,                0.76192,                 0.4769,                  1.184,                0.78363,                0.85112,               0.007096,               0.007096,               0.007096
                     46,                0.88825,                0.46968,                0.84214,                0.85751,                0.69723,                0.76455,                0.47976,                 1.1849,                0.77348,                0.85091,                0.00703,                0.00703,                0.00703
                     47,                0.89327,                0.47711,                0.84323,                0.86235,                0.69066,                0.76342,                0.48149,                 1.1838,                0.78665,                0.85029,               0.006964,               0.006964,               0.006964
                     48,                0.89204,                0.47172,                0.84153,                0.87339,                0.68573,                0.76381,                0.48106,                 1.1799,                0.79786,                0.84968,               0.006898,               0.006898,               0.006898
                     49,                0.88788,                  0.472,                0.84004,                0.87146,                0.68695,                 0.7641,                0.48148,                 1.1795,                0.79517,                0.85039,               0.006832,               0.006832,               0.006832
                     50,                0.88187,                0.46353,                 0.8384,                0.86799,                0.68961,                0.76506,                0.48141,                 1.1771,                0.79304,                0.84967,               0.006766,               0.006766,               0.006766
                     51,                0.88712,                 0.4662,                0.83972,                  0.855,                0.69854,                0.76913,                0.48258,                 1.1774,                0.79564,                0.84892,                 0.0067,                 0.0067,                 0.0067
                     52,                0.87699,                0.46189,                0.83945,                0.84981,                0.70543,                0.76813,                 0.4816,                 1.1771,                 0.7847,                 0.8489,               0.006634,               0.006634,               0.006634
                     53,                0.88007,                0.46523,                 0.8391,                0.84557,                0.71154,                0.76957,                0.48248,                 1.1742,                0.78062,                0.84863,               0.006568,               0.006568,               0.006568
