                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3893,                 4.3926,                 2.4266,                0.23267,                0.11271,                0.07379,                0.03084,                 2.4518,                 3.2237,                 1.6491,               0.070029,              0.0033301,              0.0033301
                      2,                 1.9865,                 2.0525,                 1.4865,                0.39648,                0.29012,                0.24532,                0.12206,                  1.875,                 2.5243,                 1.2942,               0.039985,              0.0066194,              0.0066194
                      3,                 1.6692,                 1.4847,                 1.2857,                0.61889,                0.41057,                0.43766,                0.23198,                 1.6823,                 1.6585,                 1.1808,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.5153,                 1.1843,                 1.1966,                0.62878,                0.48277,                0.51083,                0.27983,                 1.5469,                 1.4692,                 1.1299,               0.009802,               0.009802,               0.009802
                      5,                 1.3816,                  0.994,                 1.1302,                0.70008,                0.55785,                0.60157,                 0.3249,                 1.5289,                 1.3195,                 1.1077,               0.009736,               0.009736,               0.009736
                      6,                  1.307,                0.88955,                 1.0922,                0.74512,                0.54798,                0.63611,                0.36959,                 1.3972,                  1.171,                 1.0593,                0.00967,                0.00967,                0.00967
                      7,                 1.2593,                0.82853,                 1.0705,                0.79875,                0.58672,                0.67554,                0.39829,                 1.3685,                 1.0871,                 1.0459,               0.009604,               0.009604,               0.009604
                      8,                 1.2237,                0.78822,                 1.0559,                0.73162,                0.62839,                0.68372,                0.39945,                 1.3762,                 1.1026,                 1.0461,               0.009538,               0.009538,               0.009538
                      9,                 1.1911,                0.75625,                 1.0439,                 0.7339,                0.64251,                0.69261,                 0.4109,                 1.3589,                 1.0539,                 1.0413,               0.009472,               0.009472,               0.009472
                     10,                 1.1706,                0.73572,                  1.036,                0.75883,                0.61521,                0.68892,                0.41748,                  1.323,                0.99799,                 1.0327,               0.009406,               0.009406,               0.009406
                     11,                 1.1488,                 0.7123,                 1.0234,                 0.8028,                0.63203,                0.71339,                0.41397,                 1.3512,                 0.9975,                 1.0396,                0.00934,                0.00934,                0.00934
                     12,                 1.1332,                 0.6937,                 1.0202,                0.78946,                0.68421,                0.74649,                0.45408,                  1.283,                0.93347,                 1.0115,               0.009274,               0.009274,               0.009274
                     13,                 1.1187,                0.67553,                 1.0128,                 0.8188,                0.63817,                 0.7155,                0.43275,                 1.3194,                 1.0126,                 1.0229,               0.009208,               0.009208,               0.009208
                     14,                 1.1019,                0.65935,                 1.0048,                0.83251,                0.68652,                0.76582,                0.46296,                 1.2814,                0.90032,                  1.015,               0.009142,               0.009142,               0.009142
                     15,                 1.0912,                0.64968,                  1.002,                0.80537,                0.68382,                0.74982,                0.45133,                 1.2646,                0.90601,                 1.0089,               0.009076,               0.009076,               0.009076
                     16,                  1.079,                0.63374,                0.99699,                0.81606,                0.67192,                0.74017,                0.44911,                 1.2935,                0.94516,                 1.0216,                0.00901,                0.00901,                0.00901
                     17,                  1.071,                0.62847,                 0.9929,                0.82931,                0.66936,                 0.7639,                0.47224,                 1.2525,                0.87954,                 1.0075,               0.008944,               0.008944,               0.008944
                     18,                 1.0581,                0.61101,                0.98845,                0.81811,                0.70509,                0.77045,                0.47582,                 1.2565,                0.89229,                 1.0013,               0.008878,               0.008878,               0.008878
                     19,                 1.0522,                0.60816,                 0.9854,                 0.8242,                0.69741,                0.77195,                0.47171,                 1.2586,                0.88234,                 1.0032,               0.008812,               0.008812,               0.008812
                     20,                 1.0436,                0.60287,                0.98444,                0.81094,                0.71052,                0.76478,                0.47349,                 1.2436,                0.87033,                0.99749,               0.008746,               0.008746,               0.008746
                     21,                 1.0446,                0.60016,                0.98026,                0.84313,                0.68421,                0.75753,                0.46628,                 1.2349,                0.90191,                0.99306,                0.00868,                0.00868,                0.00868
                     22,                 1.0259,                0.58774,                0.97698,                0.81221,                0.69687,                 0.7618,                0.47241,                 1.2471,                0.89406,                0.99941,               0.008614,               0.008614,               0.008614
                     23,                  1.027,                 0.5833,                0.97699,                0.86457,                0.68243,                0.76969,                0.47586,                 1.2306,                0.89095,                0.99318,               0.008548,               0.008548,               0.008548
                     24,                 1.0216,                0.58051,                0.97332,                 0.8532,                0.68009,                0.78028,                0.48664,                 1.2248,                0.81391,                0.99351,               0.008482,               0.008482,               0.008482
                     25,                 1.0127,                0.57442,                0.97102,                0.84105,                0.70459,                0.76435,                0.47387,                 1.2329,                0.90125,                0.99688,               0.008416,               0.008416,               0.008416
                     26,                 1.0056,                0.56929,                 0.9688,                0.83437,                0.70153,                0.77774,                0.48543,                 1.2115,                0.84532,                0.98937,                0.00835,                0.00835,                0.00835
                     27,                0.99983,                0.56283,                0.96677,                0.85919,                0.70168,                0.78378,                0.48837,                  1.218,                0.82418,                0.98942,               0.008284,               0.008284,               0.008284
                     28,                 0.9927,                0.55331,                  0.965,                0.86352,                0.69995,                0.78677,                0.49246,                  1.224,                0.80744,                0.98789,               0.008218,               0.008218,               0.008218
                     29,                0.98724,                0.55133,                0.96357,                0.85766,                0.72247,                0.80416,                0.49976,                 1.2193,                0.79303,                 0.9891,               0.008152,               0.008152,               0.008152
                     30,                0.98684,                0.54906,                0.96164,                0.84105,                0.73834,                0.80494,                 0.5015,                 1.2017,                0.77033,                0.98314,               0.008086,               0.008086,               0.008086
                     31,                0.98056,                0.54205,                 0.9595,                0.85354,                 0.7234,                0.80775,                0.50621,                 1.2073,                0.77687,                0.98337,                0.00802,                0.00802,                0.00802
                     32,                0.96921,                0.53701,                0.95553,                0.85064,                0.72172,                0.78355,                0.49124,                  1.238,                 0.8297,                0.99899,               0.007954,               0.007954,               0.007954
                     33,                0.97102,                0.53522,                0.95567,                0.84731,                0.71763,                 0.7823,                0.48874,                 1.2236,                0.86026,                0.99181,               0.007888,               0.007888,               0.007888
                     34,                0.96435,                0.53079,                0.95348,                0.85498,                 0.7251,                0.79412,                0.49739,                 1.2145,                0.82997,                0.98935,               0.007822,               0.007822,               0.007822
                     35,                0.96408,                0.52852,                0.95309,                0.86054,                0.72076,                0.79397,                0.49696,                 1.2005,                0.81262,                0.98489,               0.007756,               0.007756,               0.007756
                     36,                0.96253,                0.52687,                0.95229,                0.85201,                0.73139,                0.80845,                0.51158,                 1.1934,                0.76854,                0.98023,                0.00769,                0.00769,                0.00769
                     37,                0.95398,                0.51816,                0.94927,                0.85757,                0.73256,                0.79752,                0.50333,                 1.1961,                0.80882,                0.98238,               0.007624,               0.007624,               0.007624
                     38,                0.95525,                 0.5162,                0.94942,                0.87024,                0.72597,                0.80104,                0.50392,                 1.1962,                 0.8023,                0.98174,               0.007558,               0.007558,               0.007558
                     39,                0.94833,                0.51426,                0.94644,                0.86087,                0.72552,                0.80417,                0.50342,                 1.1976,                0.79251,                0.98268,               0.007492,               0.007492,               0.007492
                     40,                0.94747,                0.51633,                 0.9465,                0.87679,                0.72182,                0.81546,                0.51314,                 1.1912,                0.77487,                0.98138,               0.007426,               0.007426,               0.007426
                     41,                0.94312,                0.50767,                0.94409,                0.88352,                0.72501,                0.81054,                0.51024,                 1.2024,                0.78395,                0.98467,                0.00736,                0.00736,                0.00736
                     42,                0.94513,                 0.5096,                0.94368,                0.87753,                0.73095,                0.80978,                0.51045,                 1.1981,                0.78265,                0.98285,               0.007294,               0.007294,               0.007294
                     43,                0.93318,                0.50332,                0.94226,                0.89149,                0.72227,                0.80875,                0.50721,                 1.1978,                0.80079,                0.98287,               0.007228,               0.007228,               0.007228
                     44,                0.93446,                 0.5026,                0.94187,                0.87088,                0.73193,                0.80736,                0.50633,                 1.2017,                0.79263,                0.98429,               0.007162,               0.007162,               0.007162
