                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4387,                 4.2952,                 2.4656,                0.21158,                0.10433,                0.05517,                0.02467,                 2.7275,                  3.534,                 1.7896,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1055,                 2.1577,                 1.5295,                 0.5158,                0.25394,                 0.2645,                0.12848,                 2.1006,                 2.5762,                 1.3754,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7389,                 1.5668,                 1.3075,                0.57068,                0.37555,                0.38513,                0.18152,                 1.9338,                 1.8885,                 1.2857,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.5641,                 1.2663,                 1.2045,                0.65191,                0.44147,                0.50367,                0.27047,                 1.6147,                 1.5069,                 1.1338,               0.009802,               0.009802,               0.009802
                      5,                 1.4458,                 1.0693,                 1.1456,                0.64454,                0.49808,                0.53693,                0.29409,                 1.5475,                 1.4173,                 1.1206,               0.009736,               0.009736,               0.009736
                      6,                 1.3755,                0.96772,                 1.1113,                0.71981,                0.53569,                0.58339,                0.32782,                 1.5126,                 1.2433,                  1.098,                0.00967,                0.00967,                0.00967
                      7,                 1.3159,                0.89442,                 1.0869,                0.77875,                0.54917,                0.62409,                0.36114,                 1.4596,                 1.1653,                 1.0721,               0.009604,               0.009604,               0.009604
                      8,                 1.2699,                0.84234,                 1.0661,                0.75146,                0.53945,                0.61497,                0.35845,                 1.4296,                 1.2047,                 1.0689,               0.009538,               0.009538,               0.009538
                      9,                 1.2321,                0.80649,                 1.0515,                0.81308,                 0.5667,                0.65935,                0.38263,                 1.3945,                 1.0882,                 1.0628,               0.009472,               0.009472,               0.009472
                     10,                 1.2093,                0.77882,                 1.0444,                 0.7952,                0.59152,                0.66334,                0.39438,                 1.3698,                 1.0956,                 1.0468,               0.009406,               0.009406,               0.009406
                     11,                 1.1834,                0.75707,                 1.0311,                0.81279,                0.60547,                0.68415,                0.40284,                 1.3757,                 1.0176,                 1.0521,                0.00934,                0.00934,                0.00934
                     12,                 1.1675,                0.73635,                  1.026,                0.84921,                0.60144,                0.71636,                0.43321,                 1.3309,                0.98302,                 1.0311,               0.009274,               0.009274,               0.009274
                     13,                 1.1495,                0.72036,                 1.0186,                0.82399,                0.61946,                 0.7037,                  0.424,                 1.3451,                0.99736,                 1.0327,               0.009208,               0.009208,               0.009208
                     14,                 1.1297,                0.69872,                 1.0104,                0.84005,                0.61923,                0.71247,                0.43146,                 1.3432,                0.96251,                 1.0324,               0.009142,               0.009142,               0.009142
                     15,                   1.12,                 0.6902,                 1.0062,                0.86176,                0.62143,                0.71718,                0.42814,                  1.339,                0.97068,                 1.0295,               0.009076,               0.009076,               0.009076
