                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4841,                 4.4873,                 2.4747,                0.20215,                0.11721,                0.06189,                0.02827,                 2.5132,                  3.237,                 1.6709,               0.070029,              0.0033301,              0.0033301
                      2,                 1.9839,                 2.0383,                 1.4706,                0.56485,                0.26456,                0.30317,                0.15508,                 1.8768,                 2.4534,                 1.2819,               0.039985,              0.0066194,              0.0066194
                      3,                 1.6714,                 1.4555,                 1.2703,                0.64023,                0.38894,                0.45492,                0.23961,                 1.6513,                 1.6895,                  1.166,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.5152,                 1.1698,                 1.1816,                0.68065,                0.52038,                0.57322,                0.30895,                 1.5445,                 1.3582,                 1.1185,               0.009802,               0.009802,               0.009802
                      5,                 1.4099,                 1.0051,                 1.1295,                0.72901,                0.58843,                0.63175,                0.34485,                 1.5025,                 1.2075,                  1.103,               0.009736,               0.009736,               0.009736
                      6,                 1.3267,                0.90355,                 1.0913,                0.73064,                0.57612,                0.63227,                0.35253,                 1.4577,                 1.1807,                 1.0771,                0.00967,                0.00967,                0.00967
                      7,                 1.2717,                0.84018,                 1.0679,                0.81129,                0.55947,                0.65332,                0.37761,                 1.3964,                 1.1268,                 1.0534,               0.009604,               0.009604,               0.009604
                      8,                 1.2312,                0.79282,                 1.0511,                0.73809,                0.62658,                0.69272,                0.40058,                 1.4038,                 1.0441,                 1.0691,               0.009538,               0.009538,               0.009538
                      9,                 1.1984,                0.76413,                 1.0404,                0.78218,                 0.6177,                0.69039,                0.40285,                 1.3454,                 1.0192,                 1.0462,               0.009472,               0.009472,               0.009472
                     10,                 1.1726,                0.73877,                 1.0308,                0.75544,                0.65258,                0.69423,                0.41052,                 1.3279,                 0.9917,                 1.0265,               0.009406,               0.009406,               0.009406
                     11,                 1.1551,                0.71862,                 1.0202,                0.76988,                0.64599,                0.70539,                0.41685,                 1.3396,                 1.0107,                 1.0358,                0.00934,                0.00934,                0.00934
                     12,                 1.1416,                0.70331,                 1.0175,                 0.8136,                0.69103,                0.75101,                0.45544,                  1.302,                0.91604,                 1.0235,               0.009274,               0.009274,               0.009274
                     13,                 1.1256,                0.68389,                 1.0107,                0.79432,                 0.6586,                0.71696,                0.42533,                 1.3024,                 1.0039,                 1.0176,               0.009208,               0.009208,               0.009208
                     14,                 1.1052,                0.66419,                 1.0013,                0.77495,                0.64974,                0.71616,                0.42813,                 1.3021,                0.95929,                 1.0172,               0.009142,               0.009142,               0.009142
                     15,                 1.0953,                0.65597,                0.99744,                0.78659,                0.67431,                0.73792,                0.44316,                  1.274,                0.91705,                 1.0074,               0.009076,               0.009076,               0.009076
                     16,                 1.0849,                0.63915,                0.99372,                0.83242,                0.65155,                0.75059,                0.44954,                 1.2942,                 0.9056,                 1.0123,                0.00901,                0.00901,                0.00901
                     17,                 1.0737,                0.63581,                0.98885,                0.84832,                0.66546,                0.74084,                0.45097,                 1.2818,                0.93608,                 1.0086,               0.008944,               0.008944,               0.008944
                     18,                 1.0611,                0.61627,                0.98576,                0.79999,                0.66766,                0.73102,                0.44749,                 1.2804,                0.93979,                  1.011,               0.008878,               0.008878,               0.008878
                     19,                 1.0533,                0.61215,                0.97997,                0.82572,                0.67391,                0.74903,                 0.4595,                  1.244,                0.88621,                0.99749,               0.008812,               0.008812,               0.008812
                     20,                 1.0489,                0.60778,                0.98221,                0.82323,                0.69021,                0.74856,                0.46189,                 1.2462,                0.88309,                 1.0009,               0.008746,               0.008746,               0.008746
                     21,                 1.0469,                0.60556,                0.97785,                0.84764,                 0.6851,                0.76325,                0.47285,                 1.2308,                0.87744,                0.99295,                0.00868,                0.00868,                0.00868
                     22,                  1.032,                0.59366,                0.97335,                0.83843,                0.68249,                 0.7482,                0.46744,                  1.221,                0.88159,                0.98857,               0.008614,               0.008614,               0.008614
                     23,                 1.0299,                 0.5856,                0.97398,                0.84361,                0.70035,                0.76502,                0.47805,                 1.2235,                0.85611,                0.99061,               0.008548,               0.008548,               0.008548
                     24,                 1.0275,                0.58476,                0.97102,                0.85744,                0.68658,                0.76502,                0.47116,                 1.2357,                0.86725,                0.99537,               0.008482,               0.008482,               0.008482
                     25,                 1.0156,                0.57645,                 0.9684,                0.85487,                0.69702,                0.77579,                0.48075,                 1.2299,                0.84669,                0.99167,               0.008416,               0.008416,               0.008416
                     26,                 1.0096,                0.57131,                0.96657,                 0.8267,                 0.7087,                0.77567,                0.47975,                 1.2218,                0.83565,                  0.989,                0.00835,                0.00835,                0.00835
                     27,                 1.0006,                0.56593,                0.96357,                0.83474,                 0.7016,                0.76999,                0.47746,                 1.2402,                0.85367,                0.99268,               0.008284,               0.008284,               0.008284
                     28,                0.99362,                 0.5578,                0.96133,                0.83289,                0.69794,                0.77069,                0.48303,                 1.2082,                  0.837,                0.98514,               0.008218,               0.008218,               0.008218
                     29,                0.99275,                0.55604,                0.96072,                0.83343,                0.71459,                 0.7863,                0.48908,                 1.2092,                0.79791,                0.98432,               0.008152,               0.008152,               0.008152
                     30,                0.98459,                0.54888,                0.95671,                0.83848,                0.70343,                0.78664,                0.49213,                 1.2009,                 0.8008,                0.98387,               0.008086,               0.008086,               0.008086
                     31,                0.98205,                0.54392,                0.95606,                0.87197,                0.69305,                0.78477,                0.49407,                 1.2019,                  0.818,                0.98066,                0.00802,                0.00802,                0.00802
                     32,                0.97392,                0.54153,                0.95398,                0.84034,                0.72159,                0.80057,                0.50407,                 1.1987,                0.78186,                0.98197,               0.007954,               0.007954,               0.007954
                     33,                0.97159,                 0.5414,                0.95215,                0.86567,                0.69866,                0.79218,                0.50223,                  1.194,                0.79505,                0.98063,               0.007888,               0.007888,               0.007888
                     34,                0.96288,                0.53134,                0.95053,                0.86567,                0.71012,                 0.7906,                0.49878,                 1.1985,                0.78963,                0.98048,               0.007822,               0.007822,               0.007822
                     35,                0.96481,                0.53319,                0.94868,                0.87428,                  0.707,                0.79071,                0.49617,                 1.2106,                0.80174,                0.98296,               0.007756,               0.007756,               0.007756
                     36,                0.96479,                0.52983,                0.95015,                0.85354,                0.71421,                0.78287,                 0.4961,                 1.1905,                0.81539,                0.97922,                0.00769,                0.00769,                0.00769
                     37,                0.95477,                0.52095,                0.94631,                0.86438,                0.71866,                0.78978,                0.49915,                 1.1831,                0.81595,                0.97603,               0.007624,               0.007624,               0.007624
                     38,                0.95706,                0.52291,                0.94653,                0.86471,                0.70789,                0.78647,                0.49909,                 1.1933,                 0.8261,                0.97761,               0.007558,               0.007558,               0.007558
                     39,                0.95054,                0.51735,                0.94433,                0.88699,                0.69084,                0.78865,                0.49756,                 1.1864,                0.81357,                0.97569,               0.007492,               0.007492,               0.007492
                     40,                0.94433,                0.51849,                0.94364,                0.85865,                0.71948,                0.79657,                0.50616,                 1.1792,                0.79918,                0.97346,               0.007426,               0.007426,               0.007426
                     41,                0.94112,                0.51215,                 0.9399,                0.85507,                0.72679,                0.79685,                0.50363,                 1.1794,                0.79114,                0.97458,                0.00736,                0.00736,                0.00736
