                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1392,                0.89241,                0.69833,                  7e-05,                0.01017,                  3e-05,                  1e-05,                   2.09,                 0.1426,                0.53788,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1141,                0.17761,                0.61232,                  4e-05,                0.00927,                  2e-05,                      0,                 2.2727,                 0.1227,                0.41884,               0.039985,              0.0066194,              0.0066194
                      3,                 1.8927,                0.22134,                0.49519,                0.36549,                0.01176,                 0.0018,                0.00046,                 1.8063,                0.26856,                0.43598,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.4698,                 0.4691,                0.29566,                0.14402,                0.13987,                0.05562,                0.01781,                 1.2066,                0.68951,                0.17208,               0.009802,               0.009802,               0.009802
                      5,                 1.2122,                0.60466,                0.19307,                0.18505,                0.21034,                0.11079,                0.04044,                  1.049,                0.74097,                0.11789,               0.009736,               0.009736,               0.009736
                      6,                 1.0711,                0.67199,                0.14824,                0.24753,                0.20181,                0.12605,                0.05126,                0.99417,                0.75979,                0.10648,                0.00967,                0.00967,                0.00967
                      7,                0.94038,                0.70809,                 0.1188,                0.30432,                0.26136,                0.20037,                0.09521,                0.86873,                0.80445,                0.08538,               0.009604,               0.009604,               0.009604
                      8,                0.94066,                0.67292,                0.10969,                0.32237,                0.23063,                0.20418,                0.07504,                0.89461,                0.78828,                0.07948,               0.009538,               0.009538,               0.009538
                      9,                0.88562,                0.69516,                0.09964,                0.36868,                0.30138,                0.24221,                0.10128,                0.86991,                0.76168,                  0.079,               0.009472,               0.009472,               0.009472
                     10,                0.85751,                 0.6887,                 0.0938,                0.35056,                0.32157,                 0.2475,                0.12181,                0.80164,                0.82237,                0.07532,               0.009406,               0.009406,               0.009406
                     11,                0.85865,                0.67622,                0.09098,                0.44348,                0.34105,                0.32067,                0.14232,                0.77872,                 0.7912,                0.06685,                0.00934,                0.00934,                0.00934
                     12,                0.83151,                0.68101,                0.08666,                0.47144,                0.32197,                0.33068,                0.16212,                0.75202,                0.81722,                0.06295,               0.009274,               0.009274,               0.009274
                     13,                0.81704,                0.66925,                0.08462,                0.45723,                0.37971,                0.35741,                 0.1711,                0.71241,                0.80351,                0.05625,               0.009208,               0.009208,               0.009208
                     14,                0.81084,                0.65573,                0.08209,                0.43442,                0.43543,                0.36634,                0.15716,                0.74469,                 0.7769,                0.06225,               0.009142,               0.009142,               0.009142
                     15,                0.78922,                0.67274,                0.07918,                0.46527,                0.36241,                 0.3741,                0.18154,                0.69548,                0.81212,                0.06086,               0.009076,               0.009076,               0.009076
                     16,                0.80838,                0.66344,                0.08083,                0.44426,                0.37067,                 0.3636,                0.16151,                0.74033,                0.81477,                0.06249,                0.00901,                0.00901,                0.00901
                     17,                 0.8016,                0.66773,                0.07907,                0.48809,                0.41334,                0.41329,                0.19941,                0.70627,                0.78613,                0.06155,               0.008944,               0.008944,               0.008944
                     18,                0.78055,                0.68178,                0.07703,                0.45553,                0.41555,                0.38975,                0.17549,                0.68716,                 0.8183,                0.05717,               0.008878,               0.008878,               0.008878
                     19,                0.81486,                0.66325,                0.07866,                0.47077,                0.35895,                0.35888,                0.15184,                0.74053,                  0.804,                0.06113,               0.008812,               0.008812,               0.008812
                     20,                0.80618,                0.66365,                 0.0791,                0.46558,                0.33525,                0.36391,                 0.1694,                0.76334,                0.75529,                0.06164,               0.008746,               0.008746,               0.008746
                     21,                0.74424,                0.66902,                0.07014,                0.46277,                0.37186,                0.38772,                0.18608,                0.70732,                0.80083,                0.05806,                0.00868,                0.00868,                0.00868
                     22,                0.75544,                0.66042,                0.07194,                0.50734,                0.42838,                0.43731,                0.20739,                0.67393,                0.79582,                0.05578,               0.008614,               0.008614,               0.008614
                     23,                0.75304,                   0.65,                  0.071,                 0.5364,                0.49126,                0.48537,                0.24977,                0.63312,                0.78758,                0.05288,               0.008548,               0.008548,               0.008548
                     24,                0.74095,                0.66157,                0.06917,                0.49423,                0.43869,                0.43978,                0.22565,                0.62295,                0.81796,                0.05188,               0.008482,               0.008482,               0.008482
                     25,                0.72209,                0.65301,                0.06677,                0.51662,                0.42166,                 0.4492,                0.22549,                0.64692,                0.81511,                 0.0528,               0.008416,               0.008416,               0.008416
                     26,                0.72974,                 0.6553,                0.06733,                0.55691,                0.45881,                0.47818,                0.25568,                0.63365,                0.80392,                0.05037,                0.00835,                0.00835,                0.00835
                     27,                0.72359,                 0.6587,                0.06576,                 0.5448,                0.44607,                0.46938,                0.25356,                0.64144,                0.80672,                 0.0499,               0.008284,               0.008284,               0.008284
                     28,                 0.7197,                0.64484,                0.06661,                0.58222,                0.49265,                0.49835,                0.25382,                0.64235,                 0.7664,                0.05018,               0.008218,               0.008218,               0.008218
                     29,                0.76471,                0.65557,                0.07041,                0.53221,                0.46411,                0.48145,                 0.2377,                0.63442,                 0.7972,                0.05177,               0.008152,               0.008152,               0.008152
                     30,                 0.7239,                0.65608,                0.06704,                 0.5636,                0.48196,                0.50853,                0.25551,                0.62455,                0.78161,                0.05138,               0.008086,               0.008086,               0.008086
                     31,                0.72884,                0.64038,                0.06609,                0.52256,                0.44765,                0.47505,                0.21777,                0.66772,                0.78354,                0.05395,                0.00802,                0.00802,                0.00802
                     32,                0.81289,                0.63863,                0.07577,                0.55623,                0.48385,                0.50623,                0.27386,                0.59881,                 0.7937,                  0.049,               0.007954,               0.007954,               0.007954
                     33,                0.80313,                0.62584,                0.07415,                0.53242,                0.47062,                0.51007,                0.26963,                0.60836,                0.80953,                0.05035,               0.007888,               0.007888,               0.007888
                     34,                0.71793,                0.65176,                 0.0642,                0.57392,                0.46221,                0.50519,                0.26106,                0.59626,                0.81726,                0.04796,               0.007822,               0.007822,               0.007822
                     35,                0.70704,                0.64444,                0.06191,                0.54765,                0.44212,                0.49216,                0.25971,                0.58319,                0.80971,                0.04764,               0.007756,               0.007756,               0.007756
