                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2341,                 4.1689,                 1.4213,                 0.3453,                0.18622,                0.12873,                0.04829,                 2.7446,                  2.411,                0.97259,               0.070029,              0.0033301,              0.0033301
                      2,                 2.3658,                  1.588,                 1.0191,                0.48328,                0.24454,                0.22048,                0.09444,                 2.3013,                 1.8588,                0.92181,               0.039985,              0.0066194,              0.0066194
                      3,                  1.997,                  1.287,                0.94749,                0.49771,                 0.2489,                 0.2506,                 0.1142,                 2.2021,                  1.944,                0.89555,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.7884,                 1.0778,                0.91216,                 0.5909,                0.34619,                 0.3775,                0.17239,                 1.9402,                 1.3512,                0.86365,               0.009802,               0.009802,               0.009802
                      5,                 1.6191,                0.92795,                 0.8876,                0.65587,                0.34022,                0.40216,                0.18584,                 1.9206,                  1.274,                0.86268,               0.009736,               0.009736,               0.009736
                      6,                 1.5138,                0.84252,                0.87045,                0.64703,                0.38868,                0.40972,                0.20183,                 1.8128,                 1.3726,                0.85396,                0.00967,                0.00967,                0.00967
                      7,                 1.4441,                0.79604,                0.86639,                0.70492,                0.40294,                0.45302,                0.22304,                 1.7611,                 1.1535,                0.85317,               0.009604,               0.009604,               0.009604
                      8,                 1.3815,                0.74805,                0.85319,                0.65686,                0.41153,                0.45666,                  0.227,                 1.6588,                 1.1035,                0.83682,               0.009538,               0.009538,               0.009538
                      9,                  1.352,                0.73062,                0.85231,                 0.7302,                0.41154,                0.48324,                0.24405,                 1.6295,                 1.0502,                0.83515,               0.009472,               0.009472,               0.009472
                     10,                 1.3118,                0.70118,                0.84694,                0.68198,                0.40803,                0.44565,                0.22165,                 1.7284,                 1.1763,                0.85004,               0.009406,               0.009406,               0.009406
