                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8527,                 5.3877,                 2.1551,                 0.1808,                0.11861,                0.06408,                0.02897,                 2.7075,                 2.8417,                 1.2474,               0.070029,              0.0033301,              0.0033301
                      2,                 2.1736,                 1.9888,                 1.1988,                0.49374,                0.20303,                0.21585,                0.10686,                 2.1939,                 2.4125,                 1.0872,               0.039985,              0.0066194,              0.0066194
                      3,                 1.7902,                 1.4359,                 1.0654,                0.45111,                0.29291,                 0.2924,                0.14598,                 1.9274,                 1.9542,                 1.0027,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.6025,                  1.171,                 1.0083,                0.57043,                0.35766,                0.38629,                0.20671,                 1.6743,                 1.5503,                 0.9452,               0.009802,               0.009802,               0.009802
                      5,                 1.4604,                0.99985,                0.96698,                0.60253,                0.42286,                0.45905,                0.24763,                 1.6046,                 1.3799,                0.92759,               0.009736,               0.009736,               0.009736
                      6,                 1.3786,                0.90829,                0.94557,                0.60328,                0.43627,                0.45628,                0.24934,                 1.6155,                 1.4453,                0.92515,                0.00967,                0.00967,                0.00967
                      7,                  1.314,                0.84835,                0.93007,                0.69888,                  0.488,                0.55448,                0.29728,                 1.4823,                  1.164,                 0.9061,               0.009604,               0.009604,               0.009604
                      8,                 1.2672,                0.79574,                0.91952,                0.70306,                0.48677,                0.55163,                0.30449,                 1.4438,                 1.1568,                0.89336,               0.009538,               0.009538,               0.009538
                      9,                 1.2349,                0.77232,                0.91356,                0.67933,                0.51809,                 0.5699,                0.31587,                 1.4407,                 1.1098,                0.89564,               0.009472,               0.009472,               0.009472
                     10,                 1.2063,                 0.7496,                0.90834,                0.74559,                0.52559,                 0.5948,                0.33053,                 1.4519,                 1.0497,                0.89544,               0.009406,               0.009406,               0.009406
