                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6879,                 14.635,                 2.9549,                  0.052,                0.05237,                0.01619,                0.00723,                 2.9852,                 3.7899,                 1.4112,               0.070029,              0.0033301,              0.0033301
                      2,                 2.3788,                 2.2433,                 1.2767,                0.49054,                0.23251,                0.22176,                 0.1077,                 2.2234,                 2.2673,                 1.0942,               0.039985,              0.0066194,              0.0066194
                      3,                 1.8389,                 1.4975,                 1.0862,                0.59127,                0.28478,                0.30302,                0.14048,                 1.9507,                 1.9292,                 1.0026,              0.0098974,              0.0098648,              0.0098648
                      4,                 1.6412,                 1.2106,                 1.0208,                0.61158,                 0.3485,                0.38372,                0.19657,                 1.7244,                 1.5731,                 0.9563,               0.009802,               0.009802,               0.009802
                      5,                  1.496,                 1.0269,                0.97659,                0.67149,                0.42683,                0.46616,                0.24457,                 1.6222,                 1.3939,                0.92627,               0.009736,               0.009736,               0.009736
                      6,                  1.416,                0.93461,                0.95309,                 0.7213,                0.41688,                0.47542,                0.25089,                 1.6456,                 1.3728,                 0.9314,                0.00967,                0.00967,                0.00967
                      7,                 1.3683,                0.87531,                0.93995,                 0.7067,                0.43659,                0.49963,                 0.2799,                 1.5559,                 1.2215,                0.92292,               0.009604,               0.009604,               0.009604
                      8,                 1.3133,                0.82357,                0.92675,                 0.6849,                0.47583,                0.53792,                0.28986,                  1.518,                 1.1735,                0.91035,               0.009538,               0.009538,               0.009538
                      9,                 1.2771,                0.79327,                 0.9215,                0.75564,                0.47586,                0.54639,                0.29706,                 1.5113,                 1.1449,                0.90834,               0.009472,               0.009472,               0.009472
                     10,                 1.2485,                0.76949,                0.91552,                0.70821,                0.49456,                0.56533,                0.31303,                 1.4526,                 1.1002,                0.89504,               0.009406,               0.009406,               0.009406
                     11,                 1.2225,                0.75056,                0.90961,                0.72817,                0.51088,                0.57706,                0.32035,                 1.4582,                 1.0624,                0.89964,                0.00934,                0.00934,                0.00934
                     12,                 1.2068,                0.73253,                0.90438,                0.74914,                0.50981,                0.58304,                0.32903,                 1.4317,                 1.0602,                0.89297,               0.009274,               0.009274,               0.009274
                     13,                 1.1914,                0.71437,                0.89972,                0.77404,                0.54594,                0.60837,                0.33772,                 1.4301,                 1.0127,                0.89186,               0.009208,               0.009208,               0.009208
                     14,                 1.1605,                0.68704,                0.89428,                0.76168,                0.53828,                0.60739,                 0.3402,                 1.4346,                 1.0002,                0.89768,               0.009142,               0.009142,               0.009142
                     15,                 1.1499,                0.68151,                0.89197,                0.78289,                0.54445,                0.61294,                0.34751,                 1.3664,                 1.0362,                0.88063,               0.009076,               0.009076,               0.009076
                     16,                 1.1406,                0.66689,                0.89049,                0.80129,                0.54259,                0.63579,                0.36497,                 1.3432,                0.95119,                0.87422,                0.00901,                0.00901,                0.00901
                     17,                 1.1243,                0.66268,                0.88648,                0.77509,                0.57518,                0.63778,                 0.3631,                 1.3453,                0.98715,                0.87965,               0.008944,               0.008944,               0.008944
                     18,                 1.1093,                0.63825,                0.88183,                0.77472,                0.56085,                0.63049,                0.36381,                 1.3449,                0.97491,                0.87523,               0.008878,               0.008878,               0.008878
