                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9404,                 19.307,                 2.3449,                0.38832,                0.01023,                0.00621,                0.00281,                 2.7028,                 4.3957,                 1.4319,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4101,                 4.0808,                 1.2157,                0.37237,                0.06544,                0.03888,                0.01747,                  2.014,                 3.0989,                 1.1056,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9906,                 3.1767,                 1.0514,                0.39901,                0.14202,                0.08104,                0.03987,                 1.7009,                 2.7846,                 1.0021,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7426,                 2.7271,                0.98794,                0.40784,                  0.177,                0.11421,                0.06425,                  1.493,                 2.3286,                 0.9605,               0.009901,               0.009901,               0.009901
                      5,                 1.5436,                  2.403,                0.94646,                0.35457,                0.25631,                0.17129,                0.10363,                 1.2545,                 2.0467,                0.90952,               0.009868,               0.009868,               0.009868
                      6,                 1.4668,                 2.1692,                0.92964,                  0.339,                0.29699,                0.20081,                0.12326,                 1.2658,                 1.9122,                0.90747,               0.009835,               0.009835,               0.009835
                      7,                 1.3678,                 2.0608,                0.91095,                0.37758,                 0.3208,                0.22203,                0.13619,                 1.1671,                  1.868,                0.89073,               0.009802,               0.009802,               0.009802
                      8,                 1.3346,                 1.9674,                0.89309,                0.35674,                0.35134,                 0.2445,                0.15521,                 1.1663,                 1.7745,                0.88227,               0.009769,               0.009769,               0.009769
                      9,                 1.2992,                 1.9088,                0.89024,                0.31615,                0.35519,                0.25042,                0.15863,                 1.1296,                  1.745,                0.87654,               0.009736,               0.009736,               0.009736
                     10,                 1.2579,                 1.8334,                0.88133,                 0.4108,                0.35185,                0.27187,                0.17168,                 1.1151,                 1.6589,                0.87319,               0.009703,               0.009703,               0.009703
                     11,                 1.2474,                 1.7776,                0.88124,                0.37065,                0.37389,                0.27629,                0.17393,                 1.1434,                  1.698,                0.87932,                0.00967,                0.00967,                0.00967
                     12,                 1.2215,                  1.737,                 0.8748,                0.40535,                 0.3777,                0.30011,                0.19988,                  1.055,                 1.5788,                 0.8609,               0.009637,               0.009637,               0.009637
                     13,                  1.233,                 1.7436,                0.87727,                0.44983,                0.36071,                0.30815,                 0.2047,                 1.0357,                 1.5982,                0.85828,               0.009604,               0.009604,               0.009604
                     14,                 1.1951,                  1.699,                0.86776,                 0.3582,                0.37543,                0.30087,                0.20253,                  1.055,                 1.5658,                0.86058,               0.009571,               0.009571,               0.009571
                     15,                 1.1814,                 1.6742,                0.86367,                0.46999,                 0.3777,                0.32376,                0.21446,                 1.0373,                 1.5299,                0.85787,               0.009538,               0.009538,               0.009538
                     16,                 1.1523,                 1.6272,                0.86376,                0.32305,                0.43774,                0.33419,                0.22348,                 1.0098,                 1.5003,                0.85206,               0.009505,               0.009505,               0.009505
                     17,                  1.163,                 1.6135,                0.86242,                0.45797,                0.38679,                0.33876,                0.22887,                 1.0062,                 1.4748,                0.85073,               0.009472,               0.009472,               0.009472
                     18,                 1.1458,                 1.6069,                0.86044,                0.46463,                0.39399,                0.34255,                 0.2299,                 0.9978,                 1.4799,                0.84815,               0.009439,               0.009439,               0.009439
                     19,                 1.1337,                 1.5663,                0.85895,                 0.3692,                0.42964,                 0.3501,                0.23317,                0.99954,                 1.4494,                0.84755,               0.009406,               0.009406,               0.009406
                     20,                 1.1367,                 1.5729,                0.85584,                0.41248,                0.43448,                0.36492,                0.24343,                 1.0003,                 1.4475,                0.85343,               0.009373,               0.009373,               0.009373
                     21,                 1.1243,                 1.5273,                0.85254,                0.38561,                0.41395,                0.37532,                0.25654,                0.97871,                 1.4113,                0.84629,                0.00934,                0.00934,                0.00934
                     22,                 1.1253,                 1.5348,                0.85704,                0.39922,                0.43046,                0.36609,                0.24836,                0.99097,                 1.4153,                0.85084,               0.009307,               0.009307,               0.009307
                     23,                 1.1148,                 1.5326,                0.85518,                0.37062,                0.45758,                0.37021,                0.25111,                0.98326,                 1.4182,                0.84563,               0.009274,               0.009274,               0.009274
                     24,                 1.1043,                 1.5103,                0.85638,                0.45334,                 0.4306,                0.38326,                0.26266,                0.95752,                 1.3888,                0.84346,               0.009241,               0.009241,               0.009241
                     25,                 1.1107,                 1.5139,                0.85268,                0.47304,                0.43512,                0.38712,                0.26571,                 0.9639,                 1.3885,                0.84194,               0.009208,               0.009208,               0.009208
                     26,                 1.0961,                 1.4713,                0.84802,                0.45166,                0.46582,                0.38853,                0.26747,                0.95484,                 1.3584,                0.84139,               0.009175,               0.009175,               0.009175
                     27,                 1.0952,                 1.4519,                0.85358,                0.40452,                0.46208,                0.39627,                0.27458,                0.94748,                 1.3428,                0.84204,               0.009142,               0.009142,               0.009142
                     28,                 1.0955,                  1.469,                0.85257,                0.45335,                0.46422,                0.40698,                0.27864,                0.95893,                 1.3357,                0.84089,               0.009109,               0.009109,               0.009109
                     29,                 1.0815,                 1.4369,                0.84886,                0.40168,                0.44972,                0.40549,                0.28173,                0.94421,                 1.3464,                0.83876,               0.009076,               0.009076,               0.009076
                     30,                 1.0762,                 1.4245,                0.84614,                0.40575,                0.44913,                0.40888,                0.28611,                0.93942,                 1.3073,                0.83942,               0.009043,               0.009043,               0.009043
                     31,                 1.0844,                 1.4323,                0.84801,                0.39426,                 0.4742,                0.41985,                0.29531,                0.91685,                  1.315,                0.83608,                0.00901,                0.00901,                0.00901
                     32,                 1.0723,                 1.4128,                0.85013,                0.49892,                0.45425,                0.43274,                0.30317,                0.93133,                 1.2874,                0.83756,               0.008977,               0.008977,               0.008977
                     33,                  1.065,                 1.4057,                0.84714,                0.43853,                0.48498,                0.43314,                0.30447,                0.91849,                  1.287,                0.83544,               0.008944,               0.008944,               0.008944
                     34,                 1.0559,                 1.3979,                   0.84,                0.45282,                 0.4626,                0.43787,                0.30751,                0.92765,                 1.2786,                0.83635,               0.008911,               0.008911,               0.008911
                     35,                 1.0433,                 1.3614,                0.83938,                0.42538,                 0.4983,                0.44867,                0.31489,                 0.9329,                 1.2572,                 0.8355,               0.008878,               0.008878,               0.008878
                     36,                 1.0476,                 1.3581,                0.84722,                0.44301,                0.49052,                0.44857,                0.31829,                0.90691,                 1.2467,                0.83541,               0.008845,               0.008845,               0.008845
                     37,                 1.0504,                 1.3596,                0.83998,                0.47213,                0.47329,                0.45319,                0.32263,                0.90224,                 1.2361,                0.83176,               0.008812,               0.008812,               0.008812
                     38,                 1.0441,                 1.3464,                0.84146,                0.47681,                0.48533,                0.45841,                0.32465,                0.90245,                 1.2302,                0.83024,               0.008779,               0.008779,               0.008779
                     39,                  1.029,                 1.3328,                 0.8434,                0.46873,                0.49502,                0.45858,                0.32551,                0.91246,                  1.205,                0.83203,               0.008746,               0.008746,               0.008746
                     40,                 1.0352,                 1.3424,                0.84321,                0.47866,                0.49007,                0.46804,                0.33112,                 0.9086,                 1.2066,                0.83138,               0.008713,               0.008713,               0.008713
                     41,                 1.0416,                 1.3251,                0.84131,                0.53808,                0.49099,                0.47227,                0.34018,                0.88929,                 1.1904,                 0.8311,                0.00868,                0.00868,                0.00868
                     42,                 1.0298,                 1.3266,                0.84154,                 0.4477,                0.52574,                0.47169,                0.33499,                 0.9004,                 1.1876,                0.83015,               0.008647,               0.008647,               0.008647
                     43,                 1.0449,                 1.3283,                0.84395,                0.50813,                0.47721,                  0.478,                0.33928,                 0.8994,                 1.1952,                0.83116,               0.008614,               0.008614,               0.008614
                     44,                 1.0203,                 1.2838,                0.83978,                 0.4581,                0.51151,                0.49045,                0.35046,                 0.8872,                 1.1583,                0.82836,               0.008581,               0.008581,               0.008581
                     45,                 1.0209,                 1.2935,                0.83794,                0.46291,                0.51486,                0.49215,                0.35231,                0.88908,                 1.1501,                0.82946,               0.008548,               0.008548,               0.008548
                     46,                 1.0173,                    1.3,                0.84181,                0.48521,                0.52584,                0.50043,                0.36135,                0.88825,                 1.1444,                0.83012,               0.008515,               0.008515,               0.008515
                     47,                 1.0305,                 1.2651,                0.83952,                0.50961,                0.49773,                0.49942,                0.35933,                 0.8804,                 1.1463,                0.82822,               0.008482,               0.008482,               0.008482
                     48,                 1.0087,                 1.2621,                0.83505,                0.48375,                0.52106,                0.50405,                0.36049,                0.87558,                 1.1321,                0.82821,               0.008449,               0.008449,               0.008449
                     49,                 1.0185,                 1.2514,                0.83809,                0.48691,                 0.5306,                0.50945,                0.36665,                0.87919,                 1.1267,                0.82804,               0.008416,               0.008416,               0.008416
                     50,                 1.0101,                 1.2633,                 0.8364,                0.51893,                0.51366,                0.52012,                0.37479,                0.86916,                 1.1101,                0.82686,               0.008383,               0.008383,               0.008383
                     51,                 1.0061,                 1.2311,                 0.8379,                0.49213,                0.52483,                0.51151,                0.37025,                0.87207,                 1.1094,                0.82702,                0.00835,                0.00835,                0.00835
                     52,                 1.0065,                 1.2282,                0.83527,                0.53847,                0.49023,                0.51444,                0.37294,                0.87118,                 1.0989,                 0.8275,               0.008317,               0.008317,               0.008317
                     53,                 1.0119,                 1.2245,                0.83302,                0.53781,                0.52434,                0.52484,                 0.3791,                0.86943,                 1.0878,                0.82839,               0.008284,               0.008284,               0.008284
                     54,                0.99795,                 1.2254,                0.83712,                  0.508,                 0.5297,                0.53286,                0.38559,                0.86163,                 1.0762,                0.82592,               0.008251,               0.008251,               0.008251
                     55,                 1.0012,                 1.2253,                0.83795,                0.51785,                0.53544,                0.54153,                 0.3919,                0.86263,                 1.0592,                0.82419,               0.008218,               0.008218,               0.008218
                     56,                 1.0031,                 1.2117,                0.83564,                 0.5512,                0.50629,                0.53852,                 0.3902,                0.86193,                 1.0619,                0.82554,               0.008185,               0.008185,               0.008185
                     57,                0.99423,                 1.2022,                 0.8364,                0.54117,                0.52755,                0.53902,                0.39143,                0.85857,                 1.0492,                0.82493,               0.008152,               0.008152,               0.008152
                     58,                0.98908,                 1.1769,                 0.8349,                0.55408,                0.53329,                0.54262,                0.39552,                0.85352,                 1.0388,                0.82432,               0.008119,               0.008119,               0.008119
                     59,                  1.003,                 1.2019,                0.83221,                0.53241,                0.53061,                0.54636,                0.39881,                 0.8532,                 1.0399,                0.82523,               0.008086,               0.008086,               0.008086
                     60,                0.97594,                 1.1878,                0.83256,                0.51973,                0.51943,                  0.547,                0.39937,                0.84816,                 1.0331,                0.82489,               0.008053,               0.008053,               0.008053
                     61,                0.98479,                 1.1728,                0.83328,                0.54316,                 0.5299,                0.55467,                0.40582,                0.85205,                 1.0243,                0.82395,                0.00802,                0.00802,                0.00802
                     62,                0.98442,                 1.1678,                 0.8353,                0.59477,                0.52397,                0.55736,                0.40797,                0.85083,                  1.022,                0.82515,               0.007987,               0.007987,               0.007987
                     63,                0.97958,                 1.1607,                0.83431,                0.55665,                0.52667,                0.55683,                0.40879,                0.84861,                 1.0184,                0.82487,               0.007954,               0.007954,               0.007954
                     64,                0.97745,                 1.1633,                0.83253,                0.54628,                0.54215,                 0.5564,                 0.4073,                0.84424,                 1.0192,                0.82339,               0.007921,               0.007921,               0.007921
                     65,                0.97125,                 1.1478,                0.83373,                0.54962,                0.54968,                 0.5646,                 0.4131,                0.84443,                 1.0039,                0.82363,               0.007888,               0.007888,               0.007888
                     66,                0.96469,                 1.1326,                0.83374,                0.54312,                0.56985,                0.57114,                0.42011,                0.84007,                 1.0006,                0.82391,               0.007855,               0.007855,               0.007855
                     67,                0.97045,                 1.1256,                 0.8316,                0.54448,                0.56697,                0.57664,                0.42234,                0.83584,                0.98392,                0.82192,               0.007822,               0.007822,               0.007822
                     68,                0.98183,                 1.1282,                0.83372,                0.56251,                0.55449,                0.57235,                0.41772,                0.84326,                0.98564,                0.82295,               0.007789,               0.007789,               0.007789
                     69,                0.97029,                 1.1326,                0.83403,                0.57153,                0.53942,                0.57779,                0.42442,                0.84098,                0.98027,                0.82278,               0.007756,               0.007756,               0.007756
                     70,                 0.9642,                 1.1133,                0.82933,                0.58493,                0.52407,                 0.5813,                0.42654,                0.83806,                0.97716,                0.82246,               0.007723,               0.007723,               0.007723
                     71,                0.97148,                 1.1293,                 0.8292,                0.58724,                 0.5463,                0.58401,                 0.4305,                0.83332,                0.96631,                0.82157,                0.00769,                0.00769,                0.00769
                     72,                0.96313,                 1.1146,                0.83153,                  0.579,                0.55971,                0.59177,                0.43453,                0.82765,                0.95337,                0.82053,               0.007657,               0.007657,               0.007657
                     73,                0.96087,                  1.114,                0.82772,                0.58633,                0.55784,                0.59596,                0.43734,                0.83123,                0.94826,                0.82082,               0.007624,               0.007624,               0.007624
                     74,                0.96317,                 1.1121,                0.82638,                0.58997,                0.55808,                0.59751,                 0.4415,                0.82878,                0.94814,                0.82082,               0.007591,               0.007591,               0.007591
                     75,                0.95324,                 1.0918,                0.82886,                0.59074,                0.55431,                0.59462,                0.43781,                0.82799,                0.94805,                0.82141,               0.007558,               0.007558,               0.007558
                     76,                0.95789,                 1.0768,                0.83038,                0.58918,                0.57457,                0.60272,                0.44295,                0.82823,                0.93786,                0.82033,               0.007525,               0.007525,               0.007525
                     77,                0.96312,                 1.1028,                0.83108,                 0.6054,                0.56135,                0.60568,                0.44496,                0.82486,                0.93259,                0.81948,               0.007492,               0.007492,               0.007492
                     78,                0.93999,                 1.0731,                  0.824,                0.60685,                0.56941,                0.60975,                 0.4506,                0.82611,                0.92923,                 0.8205,               0.007459,               0.007459,               0.007459
                     79,                 0.9652,                 1.0815,                0.82894,                0.62563,                 0.5582,                0.61572,                0.45565,                0.82799,                0.92267,                0.82068,               0.007426,               0.007426,               0.007426
                     80,                0.96001,                 1.0634,                0.83166,                0.58775,                0.57146,                0.61063,                0.45214,                0.82616,                0.91748,                0.82006,               0.007393,               0.007393,               0.007393
                     81,                0.95734,                 1.0627,                0.82856,                0.64154,                0.55357,                0.61543,                0.45496,                0.82652,                0.91581,                0.82002,                0.00736,                0.00736,                0.00736
                     82,                0.95598,                 1.0792,                0.83144,                0.62419,                0.57643,                 0.6154,                0.45517,                0.82419,                0.91417,                0.82021,               0.007327,               0.007327,               0.007327
                     83,                0.95454,                 1.0669,                 0.8298,                0.61684,                0.57196,                0.61676,                0.45858,                0.82085,                0.90872,                0.81982,               0.007294,               0.007294,               0.007294
                     84,                0.94604,                 1.0441,                0.82867,                 0.6267,                0.57785,                0.62111,                0.46218,                 0.8199,                0.90749,                0.81952,               0.007261,               0.007261,               0.007261
                     85,                0.95404,                 1.0606,                0.82925,                0.64592,                0.57988,                0.62274,                0.46373,                 0.8184,                0.89873,                0.81954,               0.007228,               0.007228,               0.007228
                     86,                0.95054,                 1.0335,                0.82748,                0.64023,                0.58101,                0.62681,                0.46572,                0.81761,                0.89785,                 0.8191,               0.007195,               0.007195,               0.007195
                     87,                0.93586,                 1.0226,                 0.8277,                0.64736,                  0.582,                0.62899,                0.46718,                0.81534,                0.89096,                0.81902,               0.007162,               0.007162,               0.007162
                     88,                0.94769,                 1.0268,                0.82984,                0.64885,                0.57835,                0.63185,                0.46936,                  0.814,                0.88474,                0.81826,               0.007129,               0.007129,               0.007129
                     89,                0.95257,                 1.0333,                 0.8264,                0.62238,                0.59756,                0.63613,                0.47332,                  0.815,                 0.8802,                0.81824,               0.007096,               0.007096,               0.007096
                     90,                0.93401,                 1.0085,                0.82475,                0.63398,                0.58504,                0.64059,                0.47586,                0.81602,                0.87748,                0.81843,               0.007063,               0.007063,               0.007063
                     91,                0.95756,                 1.0411,                0.82645,                0.63517,                0.58525,                0.63966,                0.47503,                0.81478,                0.87595,                0.81913,                0.00703,                0.00703,                0.00703
                     92,                0.94239,                 1.0118,                0.82669,                0.65074,                0.57421,                0.64135,                0.47696,                0.81578,                0.87177,                0.81909,               0.006997,               0.006997,               0.006997
                     93,                 0.9361,                 1.0064,                0.83038,                0.65788,                0.57669,                 0.6429,                0.47916,                0.81406,                0.86696,                0.81867,               0.006964,               0.006964,               0.006964
                     94,                0.95009,                 1.0111,                0.83224,                0.65338,                0.58287,                 0.6457,                0.48209,                0.81326,                0.86495,                0.81833,               0.006931,               0.006931,               0.006931
                     95,                0.93257,                 1.0008,                0.82426,                0.66382,                0.57836,                 0.6461,                0.48422,                0.81116,                0.86227,                0.81793,               0.006898,               0.006898,               0.006898
