                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0585,                  22.21,                 2.3857,                 0.4271,                 0.0076,                0.00223,                0.00086,                 3.0226,                 4.5748,                 1.6037,               0.070065,              0.0033261,              0.0033261
                      2,                 2.6152,                 4.1558,                 1.2795,                0.56892,                0.04832,                0.03691,                0.01613,                 2.1312,                 3.0982,                 1.1369,               0.040043,              0.0066374,              0.0066374
                      3,                 2.1128,                 3.2529,                 1.0852,                0.41328,                0.14768,                0.07415,                0.03535,                  1.817,                 2.7255,                  1.032,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.8086,                 2.7847,                 1.0055,                0.42933,                0.20703,                0.12652,                0.06534,                  1.485,                   2.34,                0.95295,               0.009901,               0.009901,               0.009901
                      5,                 1.5971,                 2.4728,                0.95688,                0.49615,                0.19876,                0.13933,                0.07866,                 1.3483,                 2.3336,                0.93552,               0.009868,               0.009868,               0.009868
                      6,                 1.4945,                 2.2335,                0.93539,                0.33296,                0.29584,                0.19484,                0.11651,                 1.2554,                 1.9737,                0.90574,               0.009835,               0.009835,               0.009835
                      7,                 1.4062,                 2.1139,                  0.915,                0.33368,                0.33405,                0.21421,                0.13091,                 1.1812,                 1.8869,                0.89197,               0.009802,               0.009802,               0.009802
                      8,                 1.3649,                 1.9934,                0.89854,                0.41785,                0.30524,                0.23956,                0.15095,                 1.1872,                 1.7814,                0.88568,               0.009769,               0.009769,               0.009769
                      9,                 1.3211,                 1.9319,                0.89357,                0.32693,                0.34401,                0.24513,                0.15603,                 1.1647,                 1.7658,                0.87903,               0.009736,               0.009736,               0.009736
                     10,                 1.2844,                 1.8586,                0.88623,                0.37023,                0.35984,                 0.2604,                0.16064,                  1.151,                 1.7075,                0.87357,               0.009703,               0.009703,               0.009703
                     11,                 1.2611,                 1.7994,                0.88416,                0.42614,                 0.3485,                 0.2802,                0.17818,                 1.1126,                 1.6874,                0.86844,                0.00967,                0.00967,                0.00967
                     12,                 1.2427,                  1.757,                0.87888,                0.37683,                  0.372,                0.30187,                0.19621,                 1.1018,                 1.6121,                0.86704,               0.009637,               0.009637,               0.009637
                     13,                 1.2504,                 1.7661,                0.87973,                0.41204,                0.36279,                0.29873,                0.19209,                 1.0612,                 1.6162,                0.86046,               0.009604,               0.009604,               0.009604
                     14,                 1.2113,                 1.7053,                0.86977,                0.40088,                 0.3852,                0.30834,                0.20098,                 1.0643,                 1.5558,                0.86067,               0.009571,               0.009571,               0.009571
                     15,                 1.1977,                 1.6902,                0.86571,                0.43587,                0.38455,                 0.3257,                0.21245,                 1.0674,                 1.5374,                0.86237,               0.009538,               0.009538,               0.009538
                     16,                  1.168,                 1.6327,                0.86463,                0.40945,                0.40313,                0.32971,                0.21626,                 1.0386,                 1.5381,                0.85423,               0.009505,               0.009505,               0.009505
                     17,                 1.1763,                 1.6248,                0.86325,                0.46425,                0.38931,                0.33836,                0.22381,                 1.0195,                 1.4971,                0.85246,               0.009472,               0.009472,               0.009472
                     18,                 1.1536,                 1.6098,                0.86181,                 0.4473,                0.40307,                0.34324,                0.22871,                 1.0093,                 1.4648,                0.85147,               0.009439,               0.009439,               0.009439
                     19,                 1.1417,                 1.5641,                0.85915,                0.37781,                0.43206,                0.34935,                0.23504,                 1.0087,                 1.4509,                0.85021,               0.009406,               0.009406,               0.009406
                     20,                 1.1442,                 1.5874,                0.85673,                0.36908,                0.45334,                0.35977,                0.24263,                 1.0047,                 1.4424,                0.85298,               0.009373,               0.009373,               0.009373
                     21,                 1.1324,                 1.5314,                0.85137,                0.37993,                0.41531,                0.36722,                 0.2485,                  1.007,                  1.424,                0.85051,                0.00934,                0.00934,                0.00934
                     22,                 1.1329,                 1.5375,                0.85651,                0.38022,                0.43658,                0.36336,                 0.2475,                0.99144,                 1.4003,                0.84399,               0.009307,               0.009307,               0.009307
                     23,                 1.1247,                 1.5379,                0.85793,                0.44793,                0.42595,                0.37634,                0.25356,                0.98217,                 1.4102,                 0.8466,               0.009274,               0.009274,               0.009274
                     24,                 1.1129,                 1.5069,                0.85668,                0.39071,                0.43488,                0.37613,                0.25973,                0.96375,                 1.3962,                0.84365,               0.009241,               0.009241,               0.009241
                     25,                 1.1179,                 1.5169,                0.85385,                0.42876,                0.43109,                0.38124,                0.26105,                0.97434,                 1.4076,                0.84453,               0.009208,               0.009208,               0.009208
                     26,                 1.1019,                 1.4728,                0.84922,                0.47145,                0.43574,                0.39181,                0.26669,                0.96245,                 1.3579,                0.84393,               0.009175,               0.009175,               0.009175
                     27,                 1.0978,                 1.4522,                0.85305,                0.44632,                0.45777,                0.39878,                 0.2747,                0.96169,                 1.3589,                0.84285,               0.009142,               0.009142,               0.009142
                     28,                 1.0915,                  1.459,                0.85146,                0.44335,                0.45583,                0.40581,                0.28003,                0.97179,                 1.3462,                0.84509,               0.009109,               0.009109,               0.009109
                     29,                 1.0835,                 1.4428,                 0.8479,                0.43143,                0.45381,                0.41061,                0.28224,                0.95459,                 1.3493,                0.83971,               0.009076,               0.009076,               0.009076
                     30,                 1.0763,                 1.4302,                0.84765,                0.40404,                0.45725,                0.40663,                0.27938,                0.94767,                 1.3369,                0.84019,               0.009043,               0.009043,               0.009043
                     31,                 1.0842,                 1.4368,                0.84824,                0.39783,                0.47329,                0.41581,                0.29025,                0.93452,                 1.3136,                0.83767,                0.00901,                0.00901,                0.00901
                     32,                 1.0722,                 1.4188,                0.85019,                0.43621,                0.48969,                0.43153,                0.29789,                0.94072,                 1.2921,                0.83948,               0.008977,               0.008977,               0.008977
