                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.928,                 24.626,                 2.4351,                0.00415,                0.06148,                0.00393,                0.00169,                 2.8558,                 4.7035,                 1.4984,               0.070065,              0.0033261,              0.0033261
                      2,                  2.423,                 3.9926,                 1.2141,                0.41154,                0.05846,                0.04896,                0.02716,                  1.841,                 2.9735,                 1.0715,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0109,                 3.1598,                 1.0589,                0.29261,                0.16672,                0.08205,                0.04302,                 1.6476,                 2.6504,                 1.0074,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7514,                 2.7259,                0.99295,                0.37537,                0.21322,                0.13064,                0.07642,                  1.376,                 2.2437,                0.93918,               0.009901,               0.009901,               0.009901
                      5,                 1.5516,                  2.389,                0.94627,                0.39478,                0.24695,                0.15484,                0.09254,                 1.2796,                 2.0735,                0.92383,               0.009868,               0.009868,               0.009868
                      6,                 1.4582,                  2.175,                0.92564,                0.39042,                0.28242,                0.20832,                0.12421,                 1.2611,                 1.9037,                0.90981,               0.009835,               0.009835,               0.009835
                      7,                 1.3724,                 2.0715,                0.90778,                0.34449,                0.33116,                0.21856,                0.13862,                 1.1565,                 1.8475,                0.88605,               0.009802,               0.009802,               0.009802
                      8,                 1.3353,                 1.9671,                0.89271,                0.41147,                0.31933,                0.24625,                0.15401,                  1.157,                 1.7487,                0.88126,               0.009769,               0.009769,               0.009769
                      9,                 1.3044,                 1.9074,                0.89173,                0.35886,                0.35893,                0.25983,                0.16173,                 1.1396,                 1.7151,                0.87886,               0.009736,               0.009736,               0.009736
                     10,                 1.2553,                 1.8235,                0.87999,                0.34951,                0.36907,                0.26642,                0.16316,                  1.139,                 1.7108,                0.87091,               0.009703,               0.009703,               0.009703
                     11,                 1.2456,                 1.7819,                0.88204,                0.47173,                0.35689,                0.27395,                 0.1718,                 1.1282,                 1.6602,                 0.8741,                0.00967,                0.00967,                0.00967
                     12,                 1.2188,                 1.7468,                0.87502,                0.46211,                0.35058,                0.29303,                0.18799,                 1.0901,                  1.612,                0.86941,               0.009637,               0.009637,               0.009637
                     13,                  1.237,                 1.7601,                0.87866,                0.45682,                0.35747,                0.29738,                0.19305,                  1.028,                 1.6716,                0.85785,               0.009604,               0.009604,               0.009604
                     14,                 1.1968,                 1.7019,                0.86927,                0.37528,                0.41014,                0.29651,                0.19504,                 1.0711,                 1.5529,                0.86255,               0.009571,               0.009571,               0.009571
                     15,                 1.1809,                 1.6848,                0.86344,                 0.4707,                0.38773,                0.31167,                0.20331,                 1.0696,                 1.5481,                0.86592,               0.009538,               0.009538,               0.009538
                     16,                 1.1518,                 1.6358,                0.86367,                0.38006,                0.42659,                0.32771,                0.21267,                 1.0284,                 1.5128,                0.85465,               0.009505,               0.009505,               0.009505
                     17,                 1.1605,                 1.6317,                0.86091,                0.43042,                0.40117,                0.33624,                0.22328,                 1.0279,                 1.4795,                0.85248,               0.009472,               0.009472,               0.009472
                     18,                 1.1421,                 1.6137,                0.85985,                0.53581,                0.39386,                0.33953,                0.22917,                 0.9992,                  1.473,                0.85168,               0.009439,               0.009439,               0.009439
                     19,                 1.1308,                 1.5814,                0.85863,                0.40921,                0.43379,                0.34936,                0.23107,                 1.0159,                  1.468,                0.85276,               0.009406,               0.009406,               0.009406
                     20,                 1.1434,                 1.5849,                 0.8561,                0.37226,                0.43824,                0.35049,                0.23316,                 1.0049,                  1.472,                0.85341,               0.009373,               0.009373,               0.009373
                     21,                 1.1197,                 1.5458,                0.85172,                0.37842,                0.44969,                0.36356,                0.24571,                0.99209,                  1.424,                0.84754,                0.00934,                0.00934,                0.00934
                     22,                 1.1249,                 1.5512,                0.85663,                0.41014,                0.43412,                0.35391,                0.24073,                0.97186,                 1.4426,                0.84472,               0.009307,               0.009307,               0.009307
