                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.738,                 16.554,                 2.2762,                0.36197,                0.01806,                0.00967,                0.00446,                 2.4506,                 3.9098,                 1.2704,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3316,                 4.0124,                 1.1735,                 0.5294,                0.03994,                0.04346,                0.02175,                 1.8792,                 3.1087,                 1.0715,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9421,                 3.2542,                 1.0479,                0.23242,                0.16802,                0.07018,                0.03675,                 1.7451,                  2.915,                 1.0274,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7068,                 2.7537,                0.98451,                0.47182,                0.20048,                0.12797,                0.07131,                 1.4583,                 2.3454,                0.95558,               0.009901,               0.009901,               0.009901
                      5,                 1.5231,                  2.407,                0.94362,                0.28461,                0.26181,                0.16279,                0.10216,                 1.2655,                 2.0603,                0.90347,               0.009868,               0.009868,               0.009868
                      6,                 1.4319,                 2.1799,                0.92468,                0.42892,                0.27744,                0.19518,                0.12218,                 1.2162,                 1.9719,                0.89982,               0.009835,               0.009835,               0.009835
                      7,                 1.3434,                 2.0425,                0.90631,                0.36684,                0.33872,                0.22198,                0.13946,                 1.1444,                 1.8415,                0.88799,               0.009802,               0.009802,               0.009802
                      8,                 1.3149,                 1.9361,                0.89039,                0.43052,                 0.3443,                  0.259,                0.16608,                 1.1182,                 1.7198,                0.87951,               0.009769,               0.009769,               0.009769
                      9,                 1.2741,                  1.884,                0.88759,                0.38475,                 0.3472,                 0.2645,                0.16851,                 1.1124,                 1.6577,                0.88228,               0.009736,               0.009736,               0.009736
                     10,                 1.2402,                 1.7989,                0.87855,                0.40248,                0.35785,                0.28133,                 0.1797,                 1.1236,                 1.6574,                0.87161,               0.009703,               0.009703,               0.009703
                     11,                 1.2221,                 1.7635,                 0.8781,                0.46004,                0.36753,                0.28429,                0.18773,                 1.0893,                 1.6187,                0.87206,                0.00967,                0.00967,                0.00967
