                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6845,                 19.607,                 2.2261,                0.18986,                0.05139,                0.00776,                0.00312,                 2.5924,                 11.092,                 1.3338,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3115,                 3.9663,                 1.1662,                0.36442,                0.06424,                0.03524,                0.01598,                 1.9516,                 3.0784,                 1.0624,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9878,                 3.2838,                 1.0418,                0.35126,                 0.1045,                0.06864,                0.03356,                 1.7102,                 2.7005,                 1.0014,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7421,                 2.8499,                0.98382,                0.28062,                0.19559,                0.10219,                0.05752,                 1.5096,                 2.4779,                0.95684,               0.009901,               0.009901,               0.009901
                      5,                 1.5637,                 2.5285,                0.94855,                0.22777,                0.22231,                0.12627,                 0.0748,                 1.3426,                 2.3585,                0.91896,               0.009868,               0.009868,               0.009868
                      6,                 1.4803,                 2.3142,                0.93199,                0.32803,                0.24816,                0.15666,                0.09574,                 1.2489,                 2.0612,                0.90132,               0.009835,               0.009835,               0.009835
                      7,                  1.393,                 2.1799,                0.91195,                0.34872,                0.28317,                0.18319,                0.11485,                 1.2186,                 1.9837,                0.89202,               0.009802,               0.009802,               0.009802
                      8,                 1.3594,                 2.0644,                0.89674,                0.35646,                0.30483,                 0.1968,                0.12101,                 1.2039,                 1.8749,                0.88617,               0.009769,               0.009769,               0.009769
                      9,                 1.3174,                 1.9935,                0.89601,                 0.3174,                0.32874,                0.22151,                0.13879,                 1.1433,                 1.7831,                0.87928,               0.009736,               0.009736,               0.009736
                     10,                  1.281,                 1.9187,                0.88565,                0.25113,                0.35292,                0.22068,                0.13882,                 1.1205,                 1.7859,                0.87422,               0.009703,               0.009703,               0.009703
                     11,                 1.2513,                 1.8536,                 0.8825,                0.39742,                0.31368,                0.23515,                 0.1472,                 1.1387,                 1.7855,                0.88056,                0.00967,                0.00967,                0.00967
                     12,                 1.2421,                  1.808,                0.87868,                0.37235,                 0.3363,                0.25335,                0.16598,                 1.0811,                 1.6707,                0.86547,               0.009637,               0.009637,               0.009637
                     13,                 1.2445,                 1.8176,                0.87865,                0.28035,                0.34575,                0.25237,                0.16515,                 1.0546,                 1.6951,                0.86304,               0.009604,               0.009604,               0.009604
                     14,                 1.2089,                 1.7645,                0.86985,                0.35377,                0.37648,                 0.2644,                0.17484,                 1.0531,                 1.6365,                0.86169,               0.009571,               0.009571,               0.009571
                     15,                 1.2004,                   1.75,                0.86579,                0.44928,                0.36486,                0.28172,                0.18562,                 1.0473,                 1.6476,                0.85973,               0.009538,               0.009538,               0.009538
                     16,                 1.1663,                 1.7015,                0.86518,                0.43362,                0.37331,                0.28453,                0.18496,                 1.0552,                  1.609,                0.85538,               0.009505,               0.009505,               0.009505
                     17,                 1.1766,                 1.7002,                0.86395,                 0.3247,                0.40141,                0.29832,                0.19998,                 1.0304,                 1.5846,                 0.8544,               0.009472,               0.009472,               0.009472
                     18,                  1.163,                 1.6811,                0.86421,                0.50028,                0.35237,                0.30398,                0.20239,                 1.0166,                 1.5517,                0.85453,               0.009439,               0.009439,               0.009439
                     19,                 1.1435,                 1.6445,                0.86063,                 0.3469,                 0.3981,                0.30693,                0.20424,                 1.0087,                 1.5344,                0.84893,               0.009406,               0.009406,               0.009406
                     20,                 1.1527,                 1.6553,                0.85797,                0.37815,                0.40154,                0.31079,                0.20664,                 1.0247,                 1.5621,                0.85647,               0.009373,               0.009373,               0.009373
                     21,                 1.1394,                  1.616,                0.85437,                0.43421,                0.38833,                0.31787,                0.21261,                 1.0055,                 1.5341,                0.85025,                0.00934,                0.00934,                0.00934
                     22,                 1.1386,                 1.6271,                   0.86,                0.40239,                0.37532,                0.31468,                0.21247,                0.98536,                 1.4831,                0.84743,               0.009307,               0.009307,               0.009307
                     23,                 1.1307,                 1.6271,                0.85784,                0.38371,                0.43403,                0.33112,                0.22309,                0.99514,                 1.4798,                0.84759,               0.009274,               0.009274,               0.009274
                     24,                 1.1201,                 1.5993,                0.85913,                0.35635,                0.41878,                0.32918,                0.22353,                0.98249,                 1.4816,                0.84827,               0.009241,               0.009241,               0.009241
                     25,                 1.1273,                 1.6045,                0.85582,                 0.4541,                0.40307,                0.33657,                0.23142,                0.97545,                 1.4792,                0.84491,               0.009208,               0.009208,               0.009208
                     26,                 1.1156,                 1.5605,                0.85144,                 0.4459,                0.40319,                0.33636,                0.22535,                0.99245,                 1.4685,                0.84672,               0.009175,               0.009175,               0.009175
                     27,                 1.1163,                 1.5578,                0.85617,                0.41317,                0.41985,                0.34864,                0.24014,                0.96374,                 1.4469,                0.84493,               0.009142,               0.009142,               0.009142
                     28,                 1.1131,                 1.5529,                0.85516,                0.44336,                0.41484,                0.35958,                0.24553,                0.97283,                 1.4186,                0.84447,               0.009109,               0.009109,               0.009109
                     29,                 1.1001,                  1.533,                0.85055,                0.40405,                0.43777,                0.36232,                0.25079,                0.94594,                  1.419,                0.84004,               0.009076,               0.009076,               0.009076
                     30,                 1.0943,                 1.5119,                0.84833,                0.40282,                 0.3942,                0.36395,                0.25044,                0.94766,                 1.4068,                0.83894,               0.009043,               0.009043,               0.009043
                     31,                 1.1028,                 1.5297,                0.85084,                0.33479,                0.45044,                0.36841,                0.25444,                0.96486,                 1.4067,                0.84191,                0.00901,                0.00901,                0.00901
                     32,                 1.0919,                  1.509,                0.85288,                0.43026,                0.45117,                0.38029,                0.26395,                0.93871,                  1.382,                0.83682,               0.008977,               0.008977,               0.008977
                     33,                 1.0829,                 1.4951,                0.84879,                0.37364,                0.46239,                0.38354,                0.26505,                 0.9646,                 1.3631,                0.83933,               0.008944,               0.008944,               0.008944
                     34,                 1.0758,                 1.4936,                0.84235,                0.40785,                0.45928,                0.38908,                 0.2687,                0.94665,                 1.3595,                0.84081,               0.008911,               0.008911,               0.008911
                     35,                 1.0647,                 1.4613,                0.84267,                0.35151,                0.45095,                0.38074,                0.26411,                0.95499,                 1.3698,                0.83933,               0.008878,               0.008878,               0.008878
                     36,                 1.0634,                 1.4567,                0.84821,                0.37419,                0.45737,                0.38458,                0.27199,                0.93015,                 1.3522,                0.83676,               0.008845,               0.008845,               0.008845
                     37,                 1.0695,                 1.4564,                0.84271,                0.40891,                0.45664,                0.39793,                0.27603,                0.93177,                 1.3208,                 0.8362,               0.008812,               0.008812,               0.008812
                     38,                 1.0584,                 1.4495,                0.84461,                0.51229,                0.42091,                0.40277,                0.28182,                0.92585,                 1.3065,                0.83275,               0.008779,               0.008779,               0.008779
                     39,                 1.0525,                 1.4279,                0.84601,                0.39196,                0.46527,                0.40386,                0.28363,                0.93164,                 1.3056,                0.83669,               0.008746,               0.008746,               0.008746
                     40,                 1.0534,                 1.4455,                0.84601,                0.44829,                0.47849,                0.41686,                0.29374,                0.92004,                 1.2917,                0.83564,               0.008713,               0.008713,               0.008713
                     41,                 1.0635,                  1.421,                0.84552,                0.44882,                0.47495,                0.41946,                0.29713,                0.90965,                 1.2837,                0.83446,                0.00868,                0.00868,                0.00868
                     42,                 1.0537,                  1.438,                 0.8442,                0.41619,                0.47521,                0.42014,                0.29361,                0.92459,                 1.3016,                0.83391,               0.008647,               0.008647,               0.008647
                     43,                 1.0627,                 1.4256,                0.84644,                0.39443,                0.47163,                0.42178,                0.29747,                0.91114,                  1.282,                0.83258,               0.008614,               0.008614,               0.008614
                     44,                 1.0406,                  1.396,                0.84367,                0.48332,                 0.4732,                0.43091,                0.30609,                0.90882,                 1.2651,                0.83061,               0.008581,               0.008581,               0.008581
                     45,                 1.0417,                 1.4018,                0.84192,                0.47509,                0.45403,                0.42755,                0.30074,                0.91437,                 1.2549,                0.83276,               0.008548,               0.008548,               0.008548
                     46,                 1.0388,                 1.4087,                0.84373,                 0.4335,                0.48067,                0.43439,                0.30826,                0.91909,                 1.2525,                0.83193,               0.008515,               0.008515,               0.008515
                     47,                 1.0552,                 1.3828,                 0.8428,                0.44474,                0.47401,                0.43664,                0.31246,                0.90594,                 1.2493,                0.83315,               0.008482,               0.008482,               0.008482
                     48,                 1.0326,                 1.3761,                0.83931,                0.43582,                0.49039,                0.44011,                0.30975,                0.90667,                 1.2408,                0.83166,               0.008449,               0.008449,               0.008449
                     49,                 1.0398,                 1.3699,                0.84056,                0.42593,                0.49232,                0.43951,                0.31219,                0.90001,                 1.2361,                0.82973,               0.008416,               0.008416,               0.008416
                     50,                 1.0352,                 1.3796,                0.83919,                0.44701,                0.49764,                  0.441,                0.31285,                0.90058,                 1.2222,                 0.8318,               0.008383,               0.008383,               0.008383
