                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1668,                 11.201,                 3.1253,                0.33888,                0.00428,                0.00168,                0.00061,                 3.0463,                 5.1258,                 2.4457,               0.070065,              0.0033261,              0.0033261
                      2,                 2.1686,                 4.7552,                 1.5227,                0.51467,                0.06584,                0.05381,                0.02635,                 1.7762,                 3.1088,                 1.3218,               0.040043,              0.0066374,              0.0066374
                      3,                 1.7363,                 3.5626,                 1.2263,                 0.2321,                0.22894,                0.09503,                 0.0544,                 1.5061,                 2.6038,                 1.1873,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.5342,                 2.9562,                 1.1216,                  0.276,                0.26978,                0.14789,                0.08965,                 1.3489,                 2.2087,                 1.0938,               0.009901,               0.009901,               0.009901
                      5,                 1.4118,                 2.5849,                 1.0696,                0.38675,                0.23198,                0.16182,                0.10145,                 1.2675,                 2.3757,                 1.0723,               0.009868,               0.009868,               0.009868
                      6,                 1.3528,                  2.306,                 1.0475,                0.40667,                0.31532,                 0.2106,                0.13104,                 1.2271,                 2.0024,                 1.0434,               0.009835,               0.009835,               0.009835
                      7,                 1.2862,                 2.1079,                 1.0198,                0.36377,                0.35181,                0.24436,                0.15896,                 1.0862,                 1.8337,                0.99608,               0.009802,               0.009802,               0.009802
                      8,                 1.2654,                 1.9641,                0.99913,                0.39659,                0.37449,                 0.2729,                0.18082,                 1.1438,                 1.7426,                0.99689,               0.009769,               0.009769,               0.009769
                      9,                 1.2466,                 1.8903,                0.99586,                0.39414,                0.38055,                0.28164,                0.18346,                 1.1408,                 1.7181,                 0.9948,               0.009736,               0.009736,               0.009736
                     10,                  1.214,                 1.8182,                0.98732,                 0.4085,                0.40276,                0.28234,                0.18127,                 1.1592,                 1.6616,                 1.0084,               0.009703,               0.009703,               0.009703
                     11,                 1.2018,                 1.7592,                0.98199,                0.48025,                0.40337,                0.32373,                0.21414,                 1.0861,                 1.5988,                0.98452,                0.00967,                0.00967,                0.00967
                     12,                 1.1848,                 1.7088,                0.97218,                0.42555,                0.40507,                 0.3292,                0.22512,                 1.0732,                 1.5673,                0.96964,               0.009637,               0.009637,               0.009637
                     13,                 1.1917,                 1.7055,                 0.9698,                0.52222,                0.41156,                0.34184,                0.23068,                 1.0525,                 1.5508,                0.96947,               0.009604,               0.009604,               0.009604
                     14,                 1.1686,                 1.6635,                0.96447,                0.48598,                0.42504,                0.35583,                0.23965,                 1.0758,                 1.5225,                 0.9683,               0.009571,               0.009571,               0.009571
                     15,                 1.1594,                 1.6414,                0.96393,                0.44548,                0.45283,                0.36043,                0.24132,                 1.0609,                 1.4894,                0.96655,               0.009538,               0.009538,               0.009538
                     16,                 1.1351,                 1.6017,                0.95877,                0.41802,                0.45834,                0.38341,                0.26221,                 1.0276,                  1.469,                0.95482,               0.009505,               0.009505,               0.009505
                     17,                 1.1398,                 1.5676,                0.95427,                0.51509,                0.37288,                0.38059,                0.26127,                  1.035,                 1.4715,                0.95477,               0.009472,               0.009472,               0.009472
                     18,                 1.1238,                 1.5581,                0.95598,                0.56022,                0.42568,                0.39807,                0.27409,                 1.0195,                 1.4304,                 0.9504,               0.009439,               0.009439,               0.009439
                     19,                 1.1056,                 1.5162,                0.94941,                0.40201,                0.50095,                0.41633,                 0.2882,                 1.0216,                 1.4025,                0.94723,               0.009406,               0.009406,               0.009406
                     20,                 1.1116,                 1.5237,                0.94725,                0.55344,                 0.4461,                0.42798,                0.29719,                 1.0104,                 1.3826,                0.94678,               0.009373,               0.009373,               0.009373
                     21,                 1.0946,                 1.4688,                0.93828,                0.38479,                0.51336,                0.42001,                0.29628,                0.97806,                 1.3796,                0.93757,                0.00934,                0.00934,                0.00934
                     22,                 1.0894,                 1.4808,                0.93883,                0.47987,                0.47225,                0.42739,                 0.3022,                0.98954,                 1.3431,                0.94008,               0.009307,               0.009307,               0.009307
                     23,                 1.0844,                 1.4727,                0.94291,                0.48701,                0.47264,                 0.4353,                0.30713,                0.97905,                 1.3527,                 0.9355,               0.009274,               0.009274,               0.009274
                     24,                 1.0779,                 1.4485,                0.93772,                0.49421,                0.48902,                 0.4589,                0.32902,                0.95796,                 1.3038,                0.93196,               0.009241,               0.009241,               0.009241
                     25,                 1.0818,                 1.4449,                0.93943,                0.47716,                0.50357,                0.45726,                0.32275,                0.98245,                  1.312,                 0.9328,               0.009208,               0.009208,               0.009208
                     26,                 1.0697,                 1.4128,                0.93438,                0.58322,                0.45896,                0.46025,                 0.3314,                0.94397,                 1.2753,                0.92682,               0.009175,               0.009175,               0.009175
                     27,                 1.0613,                 1.3924,                0.93159,                 0.4359,                0.51224,                0.46626,                0.33405,                0.96028,                 1.2805,                 0.9317,               0.009142,               0.009142,               0.009142
                     28,                 1.0669,                 1.3921,                0.93281,                0.50868,                0.50755,                0.47797,                0.33832,                0.96011,                 1.2647,                0.93078,               0.009109,               0.009109,               0.009109
                     29,                 1.0532,                 1.3713,                0.92644,                0.51681,                 0.4884,                0.49153,                0.35124,                0.95459,                 1.2495,                0.93005,               0.009076,               0.009076,               0.009076
                     30,                 1.0518,                  1.362,                0.92799,                0.42617,                0.52435,                0.48716,                 0.3495,                0.95982,                  1.245,                0.92863,               0.009043,               0.009043,               0.009043
                     31,                 1.0464,                 1.3585,                0.92597,                0.45299,                0.53951,                  0.503,                0.36341,                0.94322,                 1.2215,                0.92325,                0.00901,                0.00901,                0.00901
                     32,                 1.0393,                 1.3374,                 0.9269,                0.50133,                0.53553,                0.52235,                0.37756,                0.94204,                  1.184,                 0.9223,               0.008977,               0.008977,               0.008977
                     33,                 1.0433,                 1.3356,                0.93122,                0.54729,                0.51588,                0.52456,                 0.3758,                0.95053,                 1.1861,                0.92301,               0.008944,               0.008944,               0.008944
                     34,                 1.0344,                 1.3236,                0.91932,                0.52928,                0.53101,                 0.5141,                0.37199,                0.94295,                 1.1886,                0.92281,               0.008911,               0.008911,               0.008911
                     35,                 1.0209,                 1.2809,                0.91792,                0.50881,                0.54374,                0.53265,                0.38569,                0.94375,                 1.1603,                0.92406,               0.008878,               0.008878,               0.008878
                     36,                 1.0214,                 1.2932,                0.92401,                0.45644,                0.53848,                0.52217,                0.38189,                0.92315,                 1.1705,                0.91673,               0.008845,               0.008845,               0.008845
                     37,                 1.0205,                 1.2793,                0.92138,                0.46735,                0.56522,                0.53914,                0.39369,                0.92419,                 1.1405,                0.91578,               0.008812,               0.008812,               0.008812
                     38,                 1.0177,                 1.2693,                0.92275,                0.54633,                0.53199,                 0.5479,                0.39756,                0.93261,                 1.1196,                0.91733,               0.008779,               0.008779,               0.008779
                     39,                 1.0134,                 1.2632,                0.92265,                0.48959,                0.52992,                0.54451,                0.40173,                0.90619,                 1.1193,                0.91226,               0.008746,               0.008746,               0.008746
                     40,                 1.0135,                 1.2592,                0.92405,                 0.4805,                   0.57,                0.55208,                0.40786,                0.91208,                 1.1029,                0.91261,               0.008713,               0.008713,               0.008713
                     41,                 1.0167,                 1.2482,                0.91907,                0.58074,                0.53817,                 0.5561,                0.40907,                0.91574,                 1.1119,                0.91432,                0.00868,                0.00868,                0.00868
                     42,                 1.0125,                 1.2439,                0.91343,                0.48812,                0.58148,                0.56538,                0.41287,                0.92005,                 1.0842,                0.91473,               0.008647,               0.008647,               0.008647
                     43,                 1.0248,                 1.2372,                0.91905,                0.49785,                0.55858,                0.55661,                0.40958,                0.90718,                 1.0856,                0.91144,               0.008614,               0.008614,               0.008614
                     44,                 1.0077,                 1.2103,                0.91805,                0.52809,                0.58892,                0.57705,                0.42441,                 0.9153,                  1.066,                0.91309,               0.008581,               0.008581,               0.008581
                     45,                0.99733,                 1.2104,                0.91214,                0.53325,                0.58091,                0.58484,                 0.4302,                0.91382,                 1.0526,                0.91263,               0.008548,               0.008548,               0.008548
                     46,                0.99909,                 1.2056,                0.91725,                0.53152,                0.57776,                0.58644,                0.43244,                0.90617,                  1.052,                0.91028,               0.008515,               0.008515,               0.008515
                     47,                 1.0031,                 1.1865,                0.91201,                0.53547,                0.58122,                0.59001,                0.43831,                0.89776,                 1.0424,                0.90669,               0.008482,               0.008482,               0.008482
                     48,                0.99348,                 1.1838,                0.91291,                0.56134,                0.59071,                0.60126,                0.44465,                0.89131,                 1.0267,                0.90518,               0.008449,               0.008449,               0.008449
                     49,                0.99681,                 1.1708,                0.91664,                0.62598,                0.54945,                0.61186,                0.45511,                0.90094,                 1.0127,                0.90849,               0.008416,               0.008416,               0.008416
                     50,                0.99987,                 1.1765,                  0.913,                0.58861,                0.60241,                0.61079,                0.45058,                0.90369,                 1.0082,                0.90677,               0.008383,               0.008383,               0.008383
                     51,                0.99187,                 1.1541,                0.90944,                0.56083,                0.59269,                0.60611,                0.45046,                0.89585,                0.99981,                0.90519,                0.00835,                0.00835,                0.00835
                     52,                0.99448,                 1.1451,                0.91173,                0.57129,                0.58614,                0.61598,                0.45847,                0.90029,                0.99629,                0.90813,               0.008317,               0.008317,               0.008317
                     53,                0.99427,                  1.139,                0.90547,                0.56548,                  0.603,                0.61924,                0.45998,                0.89049,                0.97878,                0.90383,               0.008284,               0.008284,               0.008284
                     54,                0.98181,                 1.1329,                0.91103,                0.61108,                0.57935,                0.62256,                0.46588,                0.89205,                0.98674,                0.90528,               0.008251,               0.008251,               0.008251
                     55,                0.98519,                 1.1462,                 0.9134,                0.57419,                0.62196,                0.63771,                0.47779,                0.89304,                0.96869,                0.90332,               0.008218,               0.008218,               0.008218
                     56,                0.98957,                 1.1336,                0.91301,                0.59278,                0.62697,                0.64473,                0.48186,                0.89476,                 0.9556,                0.90421,               0.008185,               0.008185,               0.008185
                     57,                0.98461,                 1.1227,                0.90768,                0.59699,                0.61583,                0.64266,                0.48138,                0.88739,                0.94935,                0.90226,               0.008152,               0.008152,               0.008152
                     58,                0.97652,                 1.0978,                0.90782,                 0.5614,                0.64447,                0.64833,                0.48757,                0.88462,                0.93775,                0.90076,               0.008119,               0.008119,               0.008119
                     59,                0.99431,                 1.1143,                0.91005,                0.60703,                0.62457,                 0.6567,                0.49166,                0.89304,                0.93865,                0.90285,               0.008086,               0.008086,               0.008086
                     60,                 0.9667,                 1.0968,                0.90559,                0.62921,                0.62179,                0.65901,                0.49414,                0.89057,                0.93288,                0.90334,               0.008053,               0.008053,               0.008053
                     61,                0.97625,                 1.0892,                0.90555,                0.63994,                0.62682,                0.66806,                0.50156,                0.88265,                0.91834,                0.90003,                0.00802,                0.00802,                0.00802
                     62,                0.97396,                 1.0858,                0.90738,                0.63486,                0.64875,                0.67508,                 0.5055,                0.88394,                0.91118,                0.90173,               0.007987,               0.007987,               0.007987
                     63,                0.97363,                 1.0873,                0.90622,                 0.6425,                0.62343,                0.67308,                0.50369,                0.88415,                0.90932,                0.90202,               0.007954,               0.007954,               0.007954
                     64,                0.96822,                 1.0737,                0.90598,                0.62734,                0.64644,                0.67365,                0.50447,                0.88141,                0.91201,                0.90072,               0.007921,               0.007921,               0.007921
                     65,                0.96256,                 1.0621,                0.90941,                0.64648,                0.62411,                0.67019,                0.50281,                0.88237,                0.90413,                0.90092,               0.007888,               0.007888,               0.007888
                     66,                0.96151,                 1.0498,                0.90544,                0.63368,                0.64934,                 0.6747,                0.50607,                0.87704,                0.89597,                0.89891,               0.007855,               0.007855,               0.007855
                     67,                0.96708,                 1.0536,                  0.905,                0.64431,                0.63526,                0.67947,                0.51144,                0.87523,                0.89513,                0.90107,               0.007822,               0.007822,               0.007822
                     68,                0.97985,                 1.0555,                0.90996,                 0.6498,                0.64179,                0.68674,                0.51808,                0.87534,                0.88969,                0.90034,               0.007789,               0.007789,               0.007789
                     69,                0.96266,                 1.0535,                0.90783,                0.64743,                 0.6609,                0.69125,                0.52176,                0.87589,                0.88272,                0.90001,               0.007756,               0.007756,               0.007756
                     70,                0.95743,                 1.0229,                0.90168,                0.69347,                0.62759,                0.69418,                0.52575,                0.87287,                0.87828,                0.90068,               0.007723,               0.007723,               0.007723
                     71,                0.96011,                 1.0323,                0.90228,                0.64888,                0.65304,                 0.6986,                0.52812,                0.87224,                0.87288,                0.89941,                0.00769,                0.00769,                0.00769
                     72,                  0.962,                 1.0227,                0.90333,                0.65105,                0.66527,                0.70174,                0.53036,                0.87226,                0.86458,                0.89899,               0.007657,               0.007657,               0.007657
                     73,                0.95532,                 1.0274,                0.90169,                 0.6696,                 0.6572,                0.70494,                0.53392,                0.86795,                0.85762,                0.89799,               0.007624,               0.007624,               0.007624
                     74,                0.95866,                 1.0217,                0.90156,                0.65978,                0.65552,                0.70445,                0.53176,                0.86707,                0.85361,                0.89792,               0.007591,               0.007591,               0.007591
                     75,                 0.9431,                 1.0088,                0.89746,                0.69823,                0.63542,                0.70601,                0.53275,                0.86854,                0.85496,                0.89788,               0.007558,               0.007558,               0.007558
                     76,                0.94976,                 1.0029,                0.89997,                0.69675,                0.65103,                0.70924,                0.53468,                0.86841,                0.85627,                0.89744,               0.007525,               0.007525,               0.007525
                     77,                0.95697,                  1.023,                0.90142,                0.70172,                0.65049,                 0.7108,                0.53875,                0.86606,                0.85209,                0.89673,               0.007492,               0.007492,               0.007492
                     78,                0.94495,                  1.003,                0.89877,                0.67612,                0.66103,                0.71379,                0.54153,                0.86521,                0.84658,                0.89681,               0.007459,               0.007459,               0.007459
                     79,                0.95685,                 1.0016,                0.90027,                0.70286,                0.64861,                 0.7163,                 0.5429,                0.86578,                0.83977,                0.89711,               0.007426,               0.007426,               0.007426
                     80,                0.95505,                0.99332,                0.90296,                0.67729,                0.66724,                0.71963,                0.54568,                0.86425,                0.83615,                 0.8965,               0.007393,               0.007393,               0.007393
                     81,                0.95165,                0.97926,                0.90068,                0.68793,                0.66093,                0.71846,                0.54288,                0.86412,                0.83255,                0.89581,                0.00736,                0.00736,                0.00736
                     82,                0.95149,                0.99745,                0.90081,                0.71593,                0.64829,                0.71715,                 0.5402,                0.86782,                 0.8346,                0.89703,               0.007327,               0.007327,               0.007327
                     83,                0.95403,                0.98971,                0.90009,                 0.6828,                0.67134,                0.72313,                0.54652,                0.86526,                 0.8304,                0.89622,               0.007294,               0.007294,               0.007294
                     84,                0.94111,                0.96868,                0.89844,                0.68415,                0.68683,                0.72552,                0.55015,                0.86234,                0.82662,                0.89531,               0.007261,               0.007261,               0.007261
                     85,                0.94989,                0.98857,                0.90109,                0.72444,                0.65252,                0.72833,                0.55293,                0.86081,                0.82156,                0.89485,               0.007228,               0.007228,               0.007228
                     86,                0.94636,                0.96521,                0.89858,                0.73436,                0.65478,                0.72917,                0.55294,                0.86168,                0.81925,                0.89496,               0.007195,               0.007195,               0.007195
                     87,                0.94094,                 0.9527,                0.90017,                0.72101,                0.66107,                0.73068,                0.55396,                0.85979,                0.81598,                0.89493,               0.007162,               0.007162,               0.007162
                     88,                0.94961,                0.96332,                0.90373,                0.72582,                0.66523,                0.73085,                0.55456,                0.85953,                0.81398,                0.89427,               0.007129,               0.007129,               0.007129
                     89,                0.94897,                0.95597,                0.90269,                0.70598,                0.67745,                0.73532,                0.55762,                0.85924,                0.81122,                0.89367,               0.007096,               0.007096,               0.007096
                     90,                0.93419,                0.94587,                0.89598,                0.69125,                0.68615,                0.73631,                0.55907,                0.85767,                0.80895,                0.89396,               0.007063,               0.007063,               0.007063
                     91,                0.94938,                0.95084,                0.89597,                0.68761,                0.69545,                0.73777,                0.55918,                0.85812,                0.80716,                0.89423,                0.00703,                0.00703,                0.00703
                     92,                0.94294,                0.94365,                0.89861,                0.69756,                0.69157,                0.73724,                0.55848,                0.85645,                0.80351,                 0.8936,               0.006997,               0.006997,               0.006997
                     93,                0.93824,                0.94052,                0.89815,                0.70832,                0.69399,                0.74237,                0.56381,                0.85425,                0.80002,                0.89344,               0.006964,               0.006964,               0.006964
                     94,                0.94043,                0.94368,                0.89954,                0.70521,                0.69545,                0.74234,                 0.5633,                0.85198,                0.79698,                  0.893,               0.006931,               0.006931,               0.006931
                     95,                0.93388,                0.93576,                0.89804,                0.69421,                0.70369,                0.74427,                0.56528,                0.85131,                 0.7926,                0.89287,               0.006898,               0.006898,               0.006898
                     96,                0.93963,                0.92037,                0.89623,                0.69553,                0.69916,                0.74618,                0.56667,                0.85047,                 0.7905,                0.89207,               0.006865,               0.006865,               0.006865
