                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8012,                 11.337,                 2.9892,                0.00199,                0.01948,                0.00171,                0.00081,                 2.8928,                 5.2372,                  2.159,               0.070065,              0.0033261,              0.0033261
                      2,                 2.1161,                 4.5364,                 1.5033,                0.21683,                0.10982,                0.04544,                0.02356,                 1.6811,                 3.1599,                 1.2946,               0.040043,              0.0066374,              0.0066374
                      3,                 1.7629,                 3.6105,                 1.2538,                0.27801,                0.18631,                0.08544,                0.04921,                 1.4883,                  2.754,                  1.192,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.5488,                 3.0097,                 1.1364,                0.47701,                0.21254,                0.13748,                 0.0844,                 1.2891,                  2.229,                 1.0739,               0.009901,               0.009901,               0.009901
                      5,                 1.4191,                 2.6029,                 1.0768,                0.32182,                0.31131,                0.17994,                0.11443,                 1.2034,                  2.075,                 1.0306,               0.009868,               0.009868,               0.009868
                      6,                 1.3594,                 2.3159,                 1.0529,                0.41945,                0.32324,                 0.2235,                0.13588,                 1.2189,                 2.0192,                 1.0349,               0.009835,               0.009835,               0.009835
                      7,                 1.2937,                  2.151,                 1.0234,                 0.3755,                0.35813,                0.25464,                0.16771,                 1.1365,                 1.8513,                 1.0058,               0.009802,               0.009802,               0.009802
                      8,                 1.2758,                 2.0068,                 1.0028,                0.38655,                0.37294,                0.26596,                0.17599,                 1.1243,                 1.7472,                0.99489,               0.009769,               0.009769,               0.009769
                      9,                 1.2538,                 1.9427,                0.99968,                0.42038,                0.36257,                0.26405,                0.17537,                 1.1211,                  1.732,                0.99417,               0.009736,               0.009736,               0.009736
                     10,                 1.2222,                 1.8595,                0.99126,                0.35117,                 0.3739,                0.28725,                0.19001,                 1.1302,                 1.6804,                0.99158,               0.009703,               0.009703,               0.009703
                     11,                 1.2092,                 1.7976,                0.98613,                0.50243,                0.37669,                0.30061,                0.20061,                 1.0958,                 1.6236,                0.97649,                0.00967,                0.00967,                0.00967
                     12,                 1.1991,                 1.7384,                0.97838,                0.36791,                0.40561,                0.31939,                0.21723,                 1.0813,                 1.5741,                0.97087,               0.009637,               0.009637,               0.009637
                     13,                 1.1963,                 1.7353,                0.97235,                0.38767,                0.41917,                0.33333,                0.22593,                 1.0673,                 1.5523,                0.96604,               0.009604,               0.009604,               0.009604
                     14,                 1.1786,                 1.6864,                 0.9695,                0.51324,                0.40399,                0.35296,                0.23545,                 1.0433,                 1.5194,                0.96508,               0.009571,               0.009571,               0.009571
                     15,                 1.1636,                 1.6493,                0.96688,                0.48191,                0.42164,                0.37002,                0.24675,                 1.1066,                 1.5014,                0.97303,               0.009538,               0.009538,               0.009538
                     16,                 1.1466,                 1.6119,                0.96128,                0.51129,                0.40377,                0.38553,                0.25893,                 1.0486,                 1.4451,                0.95897,               0.009505,               0.009505,               0.009505
                     17,                 1.1502,                 1.5877,                0.95785,                0.46597,                0.43977,                0.38712,                0.26521,                 1.0432,                 1.4527,                0.95648,               0.009472,               0.009472,               0.009472
                     18,                 1.1378,                 1.5794,                0.96235,                0.57448,                0.40476,                0.39798,                0.27382,                 1.0391,                 1.4292,                0.95737,               0.009439,               0.009439,               0.009439
                     19,                  1.119,                 1.5365,                0.95482,                0.46037,                0.45304,                0.41508,                0.28464,                 1.0303,                 1.3867,                0.95107,               0.009406,               0.009406,               0.009406
                     20,                 1.1284,                 1.5439,                0.95289,                0.47297,                0.47299,                0.41299,                0.28602,                 1.0125,                 1.3854,                0.94779,               0.009373,               0.009373,               0.009373
                     21,                 1.1108,                 1.4899,                0.94486,                0.47573,                0.44824,                0.41804,                0.28894,                 1.0201,                 1.4156,                0.95226,                0.00934,                0.00934,                0.00934
                     22,                 1.1081,                   1.49,                 0.9455,                0.46315,                0.49342,                  0.445,                0.30975,                 1.0127,                 1.3354,                0.94187,               0.009307,               0.009307,               0.009307
                     23,                  1.099,                 1.4765,                0.94835,                0.55204,                0.46769,                 0.4582,                 0.3159,                 1.0106,                 1.3228,                 0.9436,               0.009274,               0.009274,               0.009274
