                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0503,                 23.643,                 2.5109,                 0.4705,                0.00626,                0.00282,                0.00108,                 2.8684,                 5.2416,                 1.4857,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4407,                 4.1041,                 1.2169,                0.49504,                0.03844,                0.04459,                0.02003,                 1.9952,                 3.0873,                 1.0962,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0179,                 3.1919,                 1.0582,                0.35074,                0.14107,                0.08644,                0.04082,                 1.7527,                 2.5363,                 1.0097,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7385,                 2.7199,                0.98983,                0.45008,                 0.1972,                0.12798,                 0.0717,                 1.4196,                 2.3552,                0.94179,               0.009901,               0.009901,               0.009901
                      5,                 1.5514,                 2.4012,                0.95044,                0.31605,                0.22389,                0.15764,                0.09202,                 1.3115,                 2.0884,                0.91941,               0.009868,               0.009868,               0.009868
                      6,                 1.4529,                 2.1641,                0.92653,                0.38675,                0.25777,                0.18399,                0.10956,                 1.2665,                 1.9685,                0.90849,               0.009835,               0.009835,               0.009835
                      7,                 1.3753,                 2.0566,                0.90928,                0.36747,                 0.3269,                0.22455,                 0.1419,                 1.1387,                 1.8678,                0.88517,               0.009802,               0.009802,               0.009802
                      8,                 1.3418,                 1.9555,                0.89293,                0.37875,                0.31786,                0.24074,                0.14479,                 1.1845,                 1.7592,                0.88436,               0.009769,               0.009769,               0.009769
                      9,                 1.3002,                 1.9024,                 0.8905,                0.35655,                0.33485,                 0.2535,                0.16245,                 1.1295,                  1.715,                 0.8771,               0.009736,               0.009736,               0.009736
                     10,                 1.2654,                 1.8281,                 0.8818,                 0.3473,                0.39585,                0.26437,                0.16457,                 1.1332,                 1.6691,                0.87133,               0.009703,               0.009703,               0.009703
                     11,                 1.2368,                 1.7634,                0.88007,                0.39644,                0.36792,                0.28452,                0.18215,                 1.1037,                 1.6271,                0.86914,                0.00967,                0.00967,                0.00967
                     12,                 1.2206,                 1.7298,                0.87502,                0.38542,                 0.3573,                0.28938,                0.18806,                 1.0925,                 1.6159,                0.86289,               0.009637,               0.009637,               0.009637
                     13,                 1.2344,                 1.7419,                0.87661,                0.43317,                0.36236,                0.29826,                0.20036,                 1.0274,                 1.5828,                0.85556,               0.009604,               0.009604,               0.009604
                     14,                 1.1934,                 1.6962,                0.86761,                0.39772,                0.39124,                0.30457,                0.20361,                 1.0372,                 1.5538,                0.85971,               0.009571,               0.009571,               0.009571
                     15,                 1.1828,                 1.6705,                0.86264,                0.46013,                0.37868,                0.31782,                0.20984,                 1.0446,                 1.5293,                0.86061,               0.009538,               0.009538,               0.009538
                     16,                 1.1517,                 1.6225,                0.86169,                0.40188,                0.42444,                0.33978,                0.22146,                 1.0378,                 1.5079,                0.85504,               0.009505,               0.009505,               0.009505
