                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9457,                 21.994,                 2.4513,                0.22757,                 0.0118,                0.00278,                0.00128,                  2.868,                  4.657,                 1.6371,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4509,                 4.1564,                 1.2577,                0.27974,                0.10884,                0.03536,                0.01763,                 1.9643,                 3.5107,                 1.1265,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0435,                 3.2664,                 1.0728,                0.19371,                0.14841,                0.06639,                0.03585,                 1.7249,                 2.8318,                 1.0245,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7668,                 2.7845,                0.99626,                0.43181,                 0.2018,                0.12812,                 0.0711,                 1.4385,                 2.2797,                0.95989,               0.009901,               0.009901,               0.009901
                      5,                 1.5496,                 2.4251,                0.95285,                0.30887,                0.29304,                0.17225,                0.10272,                 1.2731,                 2.2948,                0.92929,               0.009868,               0.009868,               0.009868
                      6,                 1.4426,                 2.1795,                0.92679,                0.29803,                0.29504,                0.19705,                0.11498,                 1.2631,                 2.0185,                0.90646,               0.009835,               0.009835,               0.009835
                      7,                 1.3543,                 2.0337,                0.90842,                0.36378,                0.34571,                0.23892,                0.14621,                 1.1649,                 1.8424,                0.89894,               0.009802,               0.009802,               0.009802
                      8,                 1.3218,                 1.9247,                0.89273,                0.36006,                 0.3732,                0.26239,                0.16817,                 1.1265,                 1.7328,                0.88787,               0.009769,               0.009769,               0.009769
                      9,                 1.2745,                 1.8542,                 0.8872,                0.33594,                 0.3556,                0.26356,                0.16591,                 1.1001,                 1.7389,                0.87094,               0.009736,               0.009736,               0.009736
                     10,                 1.2315,                 1.7795,                0.87725,                0.40354,                0.38575,                 0.2845,                0.17632,                 1.1061,                 1.6708,                0.86609,               0.009703,               0.009703,               0.009703
                     11,                  1.221,                 1.7374,                0.87815,                0.44041,                0.35325,                0.29679,                0.19147,                  1.107,                 1.6377,                0.87388,                0.00967,                0.00967,                0.00967
                     12,                 1.1997,                 1.6945,                 0.8731,                0.38521,                0.37878,                0.30054,                0.19835,                 1.0765,                 1.5638,                0.86299,               0.009637,               0.009637,               0.009637
                     13,                 1.2047,                 1.6931,                0.87326,                0.48135,                0.38529,                0.32414,                0.21752,                 1.0126,                 1.5538,                 0.8531,               0.009604,               0.009604,               0.009604
                     14,                 1.1711,                 1.6504,                0.86432,                0.44914,                 0.4026,                 0.3201,                0.20947,                 1.0318,                 1.5543,                0.85865,               0.009571,               0.009571,               0.009571
                     15,                 1.1605,                  1.634,                0.86149,                0.46799,                0.41204,                 0.3409,                0.22761,                 1.0328,                 1.4801,                0.86243,               0.009538,               0.009538,               0.009538
                     16,                  1.129,                 1.5779,                0.86084,                0.42487,                 0.4192,                0.35357,                0.23893,                  1.005,                 1.4898,                0.85343,               0.009505,               0.009505,               0.009505
                     17,                 1.1414,                  1.576,                0.85992,                0.41546,                0.43207,                0.36293,                0.24472,                0.98971,                 1.4555,                0.85004,               0.009472,               0.009472,               0.009472
                     18,                 1.1228,                 1.5438,                0.85848,                0.52769,                0.40334,                 0.3713,                0.25174,                 0.9815,                 1.4216,                0.84723,               0.009439,               0.009439,               0.009439
                     19,                 1.1064,                 1.5113,                0.85582,                0.35871,                 0.4548,                0.37699,                0.25305,                0.99299,                 1.4302,                0.84855,               0.009406,               0.009406,               0.009406
                     20,                 1.1179,                 1.5105,                0.85334,                0.43667,                0.43308,                0.38591,                0.26149,                0.98499,                 1.3996,                0.84847,               0.009373,               0.009373,               0.009373
                     21,                 1.0993,                 1.4724,                0.84847,                0.41627,                0.44859,                0.40037,                0.27261,                 0.9793,                   1.38,                0.84729,                0.00934,                0.00934,                0.00934
                     22,                 1.1008,                  1.481,                0.85333,                0.43946,                0.45246,                 0.3918,                 0.2705,                0.95412,                 1.3757,                0.84165,               0.009307,               0.009307,               0.009307
                     23,                 1.0879,                 1.4758,                0.85307,                0.47495,                 0.4651,                0.41695,                0.28794,                0.93631,                 1.3552,                0.83903,               0.009274,               0.009274,               0.009274
                     24,                 1.0797,                 1.4504,                0.85207,                0.47182,                0.43223,                0.41265,                0.28762,                0.94826,                 1.3272,                0.84114,               0.009241,               0.009241,               0.009241
                     25,                 1.0824,                 1.4466,                0.84853,                0.47462,                0.45603,                0.43027,                0.29637,                0.95498,                 1.3079,                0.84034,               0.009208,               0.009208,               0.009208
                     26,                 1.0727,                 1.4125,                0.84468,                0.42102,                0.48305,                0.42411,                0.29617,                0.93887,                 1.3057,                0.84323,               0.009175,               0.009175,               0.009175
                     27,                 1.0672,                 1.3807,                 0.8497,                0.42828,                0.49072,                0.42773,                0.29914,                0.93518,                  1.303,                0.84149,               0.009142,               0.009142,               0.009142
                     28,                 1.0695,                 1.4075,                0.84942,                0.52123,                 0.4616,                0.43567,                  0.304,                0.94244,                 1.2951,                0.84099,               0.009109,               0.009109,               0.009109
                     29,                 1.0554,                 1.3756,                0.84464,                 0.4753,                0.49098,                0.44879,                0.31577,                0.93049,                 1.2686,                0.83774,               0.009076,               0.009076,               0.009076
                     30,                 1.0537,                 1.3693,                0.84344,                0.44604,                0.48685,                0.43874,                0.30603,                0.94014,                 1.2635,                0.83944,               0.009043,               0.009043,               0.009043
                     31,                 1.0602,                 1.3647,                0.84612,                0.41303,                0.52197,                 0.4575,                0.32258,                 0.9217,                 1.2417,                0.83669,                0.00901,                0.00901,                0.00901
                     32,                 1.0503,                 1.3542,                0.84768,                0.42326,                0.51241,                0.47182,                0.33316,                0.90735,                 1.2071,                0.83466,               0.008977,               0.008977,               0.008977
