                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9351,                  10.68,                 2.9967,                0.27651,                0.01539,                0.00309,                0.00131,                 2.6714,                 4.7131,                 2.0477,               0.070065,              0.0033261,              0.0033261
                      2,                 2.1145,                 4.5585,                 1.5002,                0.32889,                0.08307,                0.05835,                0.03239,                 1.6984,                 3.0498,                 1.3525,               0.040043,              0.0066374,              0.0066374
                      3,                  1.766,                  3.545,                 1.2635,                0.32682,                 0.1602,                0.09145,                0.04877,                 1.6132,                 2.6075,                 1.2528,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.5474,                 2.9815,                 1.1362,                0.40484,                0.22931,                 0.1352,                0.08127,                 1.3146,                  2.279,                 1.0967,               0.009901,               0.009901,               0.009901
                      5,                 1.4196,                 2.6044,                 1.0775,                0.26658,                0.39155,                0.18685,                0.11787,                 1.2246,                 2.2519,                 1.0453,               0.009868,               0.009868,               0.009868
                      6,                 1.3567,                 2.3077,                 1.0491,                0.44598,                0.30278,                 0.2123,                0.13354,                 1.2193,                 1.9391,                 1.0399,               0.009835,               0.009835,               0.009835
                      7,                 1.2888,                 2.1081,                 1.0196,                 0.3727,                0.34192,                0.26528,                0.17385,                 1.1312,                 1.7786,                 1.0095,               0.009802,               0.009802,               0.009802
                      8,                  1.262,                 1.9584,                0.99715,                0.38579,                0.39294,                0.27397,                0.17957,                 1.1186,                 1.7149,                0.99408,               0.009769,               0.009769,               0.009769
                      9,                 1.2437,                 1.8919,                0.99452,                0.37806,                0.38626,                0.28767,                0.18728,                 1.1327,                 1.7107,                 1.0022,               0.009736,               0.009736,               0.009736
                     10,                 1.2142,                 1.8166,                0.98731,                0.41008,                0.38753,                0.30589,                 0.1979,                 1.1379,                  1.626,                0.99533,               0.009703,               0.009703,               0.009703
                     11,                 1.1976,                 1.7473,                0.98215,                0.42969,                0.43158,                0.30939,                0.20245,                 1.1076,                  1.629,                0.98471,                0.00967,                0.00967,                0.00967
                     12,                 1.1833,                 1.6958,                0.97199,                 0.4336,                0.40733,                0.33214,                0.22168,                 1.0797,                 1.5558,                0.97311,               0.009637,               0.009637,               0.009637
                     13,                 1.1799,                 1.6892,                0.96662,                 0.4149,                0.41607,                0.33654,                0.23114,                 1.0297,                   1.54,                0.95781,               0.009604,               0.009604,               0.009604
                     14,                  1.163,                 1.6585,                0.96331,                0.44901,                0.41368,                 0.3485,                0.23306,                 1.0704,                 1.5247,                0.96964,               0.009571,               0.009571,               0.009571
                     15,                 1.1531,                 1.6222,                 0.9616,                0.50996,                0.40692,                0.36675,                0.24519,                  1.057,                 1.4903,                0.96663,               0.009538,               0.009538,               0.009538
                     16,                 1.1306,                 1.5806,                0.95767,                0.45197,                0.45526,                0.36602,                0.24639,                 1.0602,                 1.4549,                0.96092,               0.009505,               0.009505,               0.009505
                     17,                  1.139,                 1.5666,                0.95446,                0.41664,                0.42414,                0.38355,                0.26142,                 1.0234,                 1.4461,                0.95123,               0.009472,               0.009472,               0.009472
                     18,                 1.1206,                 1.5466,                 0.9574,                0.57068,                0.40625,                0.39816,                0.27089,                 1.0228,                 1.4221,                0.95189,               0.009439,               0.009439,               0.009439
