                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0357,                  22.27,                 2.4829,                0.00697,                 0.0393,                 0.0051,                0.00252,                 2.8917,                 4.9977,                 1.5562,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3897,                 4.2175,                 1.2064,                0.39958,                0.02647,                0.02581,                0.01393,                 1.8503,                 3.3563,                 1.0868,               0.040043,              0.0066374,              0.0066374
                      3,                  1.983,                  3.367,                  1.051,                0.42476,                0.15587,                0.06436,                0.02802,                 1.8928,                 2.8505,                  1.027,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.7439,                  2.824,                0.99075,                 0.3836,                0.20842,                0.11863,                0.06968,                 1.4114,                 2.3919,                0.94613,               0.009901,               0.009901,               0.009901
                      5,                 1.5423,                 2.4638,                0.94622,                0.30778,                0.28516,                0.15257,                0.08783,                 1.3067,                 2.1976,                0.92029,               0.009868,               0.009868,               0.009868
                      6,                 1.4569,                 2.2086,                0.92934,                0.37759,                0.27741,                0.18272,                0.11368,                 1.2669,                 1.9909,                0.90594,               0.009835,               0.009835,               0.009835
                      7,                 1.3706,                 2.0904,                 0.9096,                0.32102,                 0.3387,                0.21866,                0.13533,                 1.1576,                 1.8699,                0.88977,               0.009802,               0.009802,               0.009802
                      8,                 1.3334,                 1.9749,                0.89307,                0.33206,                0.36621,                0.23635,                0.14473,                 1.1799,                 1.7997,                 0.8834,               0.009769,               0.009769,               0.009769
                      9,                 1.2934,                 1.9065,                0.89122,                0.34218,                0.32751,                0.24264,                0.15165,                 1.1634,                 1.7268,                0.88152,               0.009736,               0.009736,               0.009736
                     10,                 1.2529,                 1.8268,                0.88166,                0.35364,                0.36844,                0.25526,                0.16007,                 1.1277,                 1.7889,                0.87416,               0.009703,               0.009703,               0.009703
                     11,                 1.2344,                 1.7702,                0.88063,                0.48599,                0.35909,                0.28576,                0.18134,                 1.1307,                 1.6537,                0.87718,                0.00967,                0.00967,                0.00967
                     12,                 1.2055,                 1.7242,                0.87381,                 0.3443,                0.38102,                0.30005,                0.19536,                 1.0847,                 1.5927,                 0.8626,               0.009637,               0.009637,               0.009637
                     13,                 1.2117,                 1.7322,                0.87486,                0.48513,                0.37548,                0.29791,                0.19346,                 1.0349,                 1.6097,                0.85809,               0.009604,               0.009604,               0.009604
                     14,                 1.1821,                 1.6744,                0.86686,                 0.4241,                 0.3874,                0.29998,                0.19543,                 1.0543,                 1.5554,                0.86245,               0.009571,               0.009571,               0.009571
                     15,                 1.1663,                 1.6586,                0.86335,                0.48459,                0.40525,                0.32105,                0.21177,                 1.0405,                 1.5044,                0.85619,               0.009538,               0.009538,               0.009538
                     16,                 1.1418,                    1.6,                0.86267,                0.42488,                0.39455,                0.32332,                0.21325,                 1.0386,                 1.5243,                0.85498,               0.009505,               0.009505,               0.009505
                     17,                 1.1474,                 1.6018,                 0.8601,                0.41243,                0.41913,                0.34802,                 0.2313,                 1.0018,                 1.4472,                0.84775,               0.009472,               0.009472,               0.009472
                     18,                 1.1225,                 1.5706,                0.85834,                0.49534,                0.38858,                0.35407,                0.23641,                0.98492,                  1.435,                0.84533,               0.009439,               0.009439,               0.009439
                     19,                 1.1087,                 1.5282,                0.85552,                0.39698,                0.43706,                 0.3713,                0.25351,                0.98166,                 1.4072,                0.84475,               0.009406,               0.009406,               0.009406
                     20,                 1.1123,                 1.5354,                0.85309,                0.42724,                0.40657,                0.36002,                0.23973,                0.99271,                 1.4435,                0.84858,               0.009373,               0.009373,               0.009373
                     21,                 1.1001,                 1.4875,                0.84854,                0.36474,                0.44139,                0.37223,                0.25323,                0.98929,                 1.4089,                0.84682,                0.00934,                0.00934,                0.00934
                     22,                 1.1076,                 1.5054,                0.85392,                0.46741,                0.43781,                0.38904,                0.27146,                0.94857,                 1.3614,                0.84322,               0.009307,               0.009307,               0.009307
                     23,                   1.09,                 1.5134,                0.85361,                0.50958,                0.44334,                0.39719,                0.27291,                0.95091,                 1.3691,                0.83751,               0.009274,               0.009274,               0.009274
                     24,                 1.0808,                 1.4697,                0.85181,                0.44641,                0.44744,                0.39907,                0.27815,                0.92978,                 1.3274,                0.83852,               0.009241,               0.009241,               0.009241
                     25,                 1.0848,                 1.4639,                0.84974,                0.47472,                 0.4389,                0.40471,                0.27851,                0.96043,                 1.3649,                 0.8375,               0.009208,               0.009208,               0.009208
                     26,                 1.0668,                 1.4299,                0.84521,                0.42481,                0.46005,                0.40093,                0.27658,                0.93118,                 1.3107,                0.83802,               0.009175,               0.009175,               0.009175
                     27,                 1.0731,                  1.415,                0.85046,                0.44591,                0.47371,                0.40605,                0.28601,                0.93279,                 1.3235,                0.83832,               0.009142,               0.009142,               0.009142
                     28,                 1.0617,                 1.4173,                0.84916,                0.46134,                0.47482,                0.41646,                0.28987,                0.94162,                  1.298,                0.83797,               0.009109,               0.009109,               0.009109
                     29,                 1.0561,                    1.4,                 0.8458,                0.48625,                0.47187,                0.42966,                0.30106,                0.92655,                 1.2828,                0.83874,               0.009076,               0.009076,               0.009076
                     30,                 1.0486,                 1.3811,                0.84407,                 0.4068,                0.45971,                0.41972,                0.28984,                0.93687,                 1.2976,                0.83837,               0.009043,               0.009043,               0.009043
                     31,                 1.0594,                 1.3953,                0.84628,                0.39747,                0.50456,                0.43642,                0.30868,                0.91285,                 1.2702,                0.83349,                0.00901,                0.00901,                0.00901
                     32,                 1.0488,                 1.3791,                0.84669,                 0.4623,                0.50193,                0.45738,                0.32034,                0.91365,                  1.245,                0.83369,               0.008977,               0.008977,               0.008977
                     33,                 1.0358,                  1.355,                0.84336,                0.42524,                0.49208,                 0.4476,                0.31447,                 0.9202,                 1.2432,                0.83476,               0.008944,               0.008944,               0.008944
                     34,                 1.0373,                 1.3498,                0.83793,                0.46358,                0.48857,                0.45226,                0.31589,                0.91467,                 1.2203,                0.83387,               0.008911,               0.008911,               0.008911
