                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9782,                 11.386,                 3.0807,                0.25182,                0.02104,                0.00487,                0.00202,                 2.5135,                 4.5483,                 1.8447,               0.070065,              0.0033261,              0.0033261
                      2,                 2.1552,                   4.54,                 1.5116,                0.41964,                0.08583,                0.05778,                0.02986,                 1.6739,                 2.9312,                  1.295,               0.040043,              0.0066374,              0.0066374
                      3,                 1.7341,                 3.4658,                 1.2354,                0.17407,                0.18327,                 0.0957,                 0.0547,                 1.4266,                 2.5295,                 1.1544,              0.0099994,              0.0099268,              0.0099268
                      4,                   1.52,                 2.8969,                 1.1199,                0.33137,                0.21258,                 0.1331,                0.08211,                  1.297,                 2.2368,                 1.0859,               0.009901,               0.009901,               0.009901
                      5,                 1.4102,                 2.5301,                 1.0713,                0.45648,                 0.2875,                0.18001,                0.11492,                 1.2142,                 2.0354,                 1.0419,               0.009868,               0.009868,               0.009868
                      6,                 1.3528,                 2.2608,                 1.0491,                0.38894,                0.29003,                0.20051,                0.12617,                 1.2502,                 2.0344,                 1.0417,               0.009835,               0.009835,               0.009835
                      7,                 1.2854,                 2.0933,                 1.0214,                0.33006,                0.37423,                0.24467,                0.15973,                 1.1245,                 1.8486,                  1.004,               0.009802,               0.009802,               0.009802
                      8,                 1.2667,                 1.9647,                 1.0016,                0.50866,                0.33038,                0.27556,                 0.1815,                 1.1168,                 1.7277,                0.99669,               0.009769,               0.009769,               0.009769
                      9,                 1.2509,                 1.9155,                0.99805,                0.38443,                0.36904,                0.27785,                0.18612,                 1.1229,                 1.7031,                 1.0005,               0.009736,               0.009736,               0.009736
                     10,                 1.2174,                 1.8351,                0.99032,                0.39794,                0.38016,                0.29216,                0.19123,                 1.1379,                 1.6692,                0.99725,               0.009703,               0.009703,               0.009703
                     11,                 1.2083,                 1.7733,                0.98688,                0.47502,                0.38269,                0.30997,                0.20612,                 1.1188,                 1.6285,                 0.9938,                0.00967,                0.00967,                0.00967
                     12,                 1.1954,                 1.7344,                0.97766,                0.42947,                0.41184,                0.32293,                0.21773,                 1.0903,                 1.5978,                0.97537,               0.009637,               0.009637,               0.009637
                     13,                 1.1967,                 1.7315,                0.97326,                0.39678,                0.43531,                0.33521,                0.22702,                 1.0618,                 1.5768,                0.96981,               0.009604,               0.009604,               0.009604
                     14,                 1.1791,                 1.6896,                0.97004,                0.43671,                 0.4436,                0.34777,                0.23449,                 1.0601,                 1.5244,                0.97105,               0.009571,               0.009571,               0.009571
                     15,                 1.1689,                 1.6643,                0.96894,                0.49691,                0.43217,                 0.3705,                0.24783,                 1.0871,                 1.4852,                0.97124,               0.009538,               0.009538,               0.009538
