                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2652,                0.30174,                0.72753,                      0,                0.00048,                      0,                      0,                 2.3897,                0.14925,                0.68856,               0.070065,              0.0033261,              0.0033261
                      2,                 2.3549,                0.10149,                0.71153,                      0,                0.00048,                      0,                      0,                  2.288,                0.13004,                  0.583,               0.040043,              0.0066374,              0.0066374
                      3,                 2.1648,                0.12863,                0.57503,                 0.0002,                0.00087,                 0.0001,                  5e-05,                 1.8901,                 0.2126,                0.44989,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.8745,                0.30913,                 0.3734,                0.55573,                0.00574,                0.00013,                  4e-05,                 1.3806,                0.73616,                0.19262,               0.009901,               0.009901,               0.009901
                      5,                 1.6311,                0.47695,                0.24282,                0.80018,                0.00472,                0.00021,                  5e-05,                 1.2451,                0.83751,                0.16165,               0.009868,               0.009868,               0.009868
                      6,                   1.47,                0.61128,                 0.1928,                0.26773,                0.02886,                0.00115,                0.00031,                 1.0612,                 1.0341,                0.11707,               0.009835,               0.009835,               0.009835
                      7,                 1.3932,                0.67494,                 0.1694,                 0.6455,                0.00923,                0.00079,                 0.0002,                 1.2233,                0.84794,                0.12589,               0.009802,               0.009802,               0.009802
                      8,                 1.4002,                0.64752,                0.16079,                 0.4783,                0.05514,                0.00517,                0.00174,                0.87969,                 1.2231,                0.08314,               0.009769,               0.009769,               0.009769
                      9,                 1.3475,                 0.6919,                0.14487,                0.55138,                0.05756,                0.00724,                0.00274,                0.84805,                  1.275,                0.07467,               0.009736,               0.009736,               0.009736
                     10,                  1.289,                0.73721,                0.12745,                 0.4594,                0.04743,                 0.0073,                0.00255,                 0.9622,                 1.0675,                0.08263,               0.009703,               0.009703,               0.009703
