                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0897,                 7.0313,                0.89501,                0.18848,                0.01563,                0.00408,                0.00132,                 3.2339,                 4.6175,                 1.2475,               0.070065,              0.0033261,              0.0033261
                      2,                 2.9786,                 3.9714,                 1.0914,                0.02362,                0.21242,                0.03472,                0.01546,                 2.5276,                  3.262,                 1.0384,               0.040043,              0.0066374,              0.0066374
                      3,                 2.6228,                 3.0812,                0.98075,                0.47372,                0.04677,                 0.0411,                0.01727,                 2.5486,                 2.9188,                0.95485,              0.0099994,              0.0099268,              0.0099268
                      4,                 2.2728,                 2.5944,                0.92719,                0.41265,                0.16262,                 0.1097,                 0.0523,                 1.7567,                 2.1726,                0.89567,               0.009901,               0.009901,               0.009901
                      5,                 1.9412,                 2.2664,                0.89414,                 0.4263,                0.20948,                0.14704,                0.07792,                 1.6176,                 2.0251,                 0.8644,               0.009868,               0.009868,               0.009868
                      6,                 1.8165,                 2.0896,                0.87549,                 0.4295,                 0.1973,                0.16723,                0.09639,                 1.5047,                 1.9187,                0.85801,               0.009835,               0.009835,               0.009835
                      7,                 1.6866,                 1.9926,                0.86395,                0.28869,                0.26545,                0.18508,                0.10554,                 1.4129,                 1.7997,                0.85269,               0.009802,               0.009802,               0.009802
                      8,                  1.655,                 1.9102,                0.85486,                0.38997,                 0.2643,                0.20111,                0.11345,                 1.4163,                 1.7681,                 0.8539,               0.009769,               0.009769,               0.009769
                      9,                 1.5839,                 1.8436,                0.84863,                0.31256,                0.27976,                0.21712,                0.12651,                 1.3254,                 1.6928,                0.84001,               0.009736,               0.009736,               0.009736
                     10,                 1.5063,                 1.7713,                0.83907,                0.39794,                0.29006,                0.22133,                0.12911,                 1.2852,                 1.6647,                0.83839,               0.009703,               0.009703,               0.009703
                     11,                 1.4792,                 1.7313,                0.84322,                0.41095,                 0.2731,                 0.2229,                0.13305,                 1.2991,                 1.6786,                0.84385,                0.00967,                0.00967,                0.00967
                     12,                 1.4534,                 1.6881,                0.83625,                0.38443,                0.28894,                0.23422,                0.14209,                 1.2306,                 1.6069,                0.82721,               0.009637,               0.009637,               0.009637
                     13,                 1.4441,                 1.6922,                0.83327,                 0.3318,                0.30348,                0.24306,                0.14972,                 1.2135,                 1.6097,                0.83043,               0.009604,               0.009604,               0.009604
                     14,                 1.4156,                  1.639,                0.83259,                0.35314,                0.31113,                0.26218,                0.16249,                 1.2047,                 1.5135,                0.83005,               0.009571,               0.009571,               0.009571
                     15,                 1.3825,                 1.6218,                0.82577,                0.40465,                0.31051,                0.26959,                0.16862,                 1.1858,                  1.535,                0.82408,               0.009538,               0.009538,               0.009538
                     16,                 1.3472,                 1.5698,                0.82793,                0.35339,                0.33377,                0.27269,                0.17263,                 1.1507,                 1.4928,                0.82579,               0.009505,               0.009505,               0.009505
                     17,                 1.3633,                 1.5625,                0.82921,                0.36128,                0.34209,                0.27688,                0.17761,                 1.1551,                 1.4729,                0.81959,               0.009472,               0.009472,               0.009472
                     18,                 1.3344,                 1.5597,                0.82577,                0.40939,                0.33734,                 0.2852,                0.18153,                 1.1312,                 1.4666,                0.81978,               0.009439,               0.009439,               0.009439
                     19,                 1.3133,                 1.5108,                0.82533,                0.38148,                0.33273,                0.28724,                  0.184,                 1.0982,                 1.4277,                0.81779,               0.009406,               0.009406,               0.009406
                     20,                 1.3071,                 1.5048,                0.82325,                0.40307,                0.34096,                 0.2955,                0.19103,                  1.125,                 1.4264,                0.82167,               0.009373,               0.009373,               0.009373
                     21,                 1.3018,                 1.4771,                 0.8178,                0.35373,                0.34591,                0.29354,                0.19136,                 1.1137,                 1.3894,                0.81963,                0.00934,                0.00934,                0.00934
                     22,                 1.2842,                 1.4745,                0.81983,                0.37269,                0.35803,                0.30404,                0.20059,                 1.0922,                 1.3807,                0.81872,               0.009307,               0.009307,               0.009307
                     23,                 1.2619,                 1.4852,                0.82235,                0.40665,                0.36324,                0.31627,                0.20716,                 1.0769,                 1.3984,                0.81588,               0.009274,               0.009274,               0.009274
                     24,                 1.2666,                 1.4384,                0.81599,                0.39081,                0.35182,                0.31713,                 0.2151,                 1.0544,                 1.3599,                0.81544,               0.009241,               0.009241,               0.009241
                     25,                 1.2507,                  1.448,                0.81338,                0.42233,                0.36106,                 0.3214,                0.21591,                 1.0473,                 1.3546,                0.81392,               0.009208,               0.009208,               0.009208
                     26,                 1.2581,                 1.4306,                0.81774,                0.42942,                 0.3496,                0.31974,                0.21569,                 1.0379,                 1.3266,                 0.8128,               0.009175,               0.009175,               0.009175
                     27,                 1.2443,                 1.3905,                0.81842,                0.40176,                0.36228,                0.33224,                0.22646,                 1.0243,                 1.3351,                0.81118,               0.009142,               0.009142,               0.009142
                     28,                 1.2198,                 1.4029,                 0.8117,                0.45663,                0.34837,                0.33685,                0.22829,                 1.0273,                 1.3275,                0.81254,               0.009109,               0.009109,               0.009109
                     29,                 1.2308,                 1.3753,                0.81663,                0.36739,                 0.3781,                0.32784,                0.22328,                  1.028,                 1.3273,                0.81122,               0.009076,               0.009076,               0.009076
                     30,                 1.1985,                 1.3546,                0.81226,                0.41887,                0.36195,                0.33549,                0.22832,                 1.0493,                 1.3062,                0.81071,               0.009043,               0.009043,               0.009043
                     31,                 1.2259,                 1.3873,                0.81814,                0.42349,                0.38201,                  0.343,                 0.2331,                 1.0277,                 1.2935,                 0.8106,                0.00901,                0.00901,                0.00901
                     32,                 1.2121,                 1.3387,                0.81444,                 0.4106,                0.38681,                0.34957,                0.24071,                 1.0222,                 1.2686,                0.81295,               0.008977,               0.008977,               0.008977
                     33,                 1.1866,                 1.3293,                0.81333,                0.41336,                0.37382,                0.35469,                0.24746,                 0.9924,                 1.2585,                0.80956,               0.008944,               0.008944,               0.008944
                     34,                 1.1935,                 1.3199,                0.80695,                0.43918,                0.37557,                0.35617,                0.24234,                 1.0081,                 1.2453,                0.81165,               0.008911,               0.008911,               0.008911
                     35,                 1.1783,                 1.2913,                0.81151,                0.42393,                0.39687,                0.36399,                0.25006,                 1.0016,                 1.2397,                0.80692,               0.008878,               0.008878,               0.008878
                     36,                  1.176,                 1.2811,                  0.815,                0.41056,                 0.4078,                0.36563,                0.25381,                0.98732,                 1.2306,                0.80813,               0.008845,               0.008845,               0.008845
                     37,                 1.1819,                 1.2702,                0.80667,                0.45885,                0.39417,                0.37628,                0.26293,                0.98549,                 1.2062,                0.80794,               0.008812,               0.008812,               0.008812
                     38,                 1.1628,                 1.2612,                0.80873,                0.45187,                0.39124,                0.37818,                0.25844,                0.99557,                 1.2167,                0.80598,               0.008779,               0.008779,               0.008779
                     39,                  1.154,                 1.2499,                0.80833,                0.47457,                0.40546,                0.38918,                0.26825,                0.98575,                 1.1714,                0.80705,               0.008746,               0.008746,               0.008746
                     40,                 1.1467,                 1.2563,                0.80752,                0.46283,                 0.4109,                0.38615,                 0.2671,                0.98654,                 1.1851,                0.80681,               0.008713,               0.008713,               0.008713
                     41,                 1.1614,                 1.2425,                0.80628,                0.47565,                0.38853,                0.39056,                0.27078,                0.97546,                 1.1743,                  0.806,                0.00868,                0.00868,                0.00868
                     42,                 1.1504,                 1.2447,                0.80114,                0.44934,                0.40452,                0.38252,                 0.2689,                0.96661,                 1.1754,                0.80496,               0.008647,               0.008647,               0.008647
                     43,                 1.1665,                 1.2553,                0.80997,                0.47605,                0.40049,                0.39505,                0.27381,                 0.9636,                 1.1743,                0.80654,               0.008614,               0.008614,               0.008614
                     44,                 1.1379,                 1.2083,                0.80456,                0.45174,                0.42743,                0.40356,                0.28465,                0.95345,                 1.1473,                 0.8056,               0.008581,               0.008581,               0.008581
                     45,                 1.1354,                 1.2078,                0.80574,                0.49296,                0.40319,                0.40509,                0.28054,                0.96805,                 1.1408,                0.80569,               0.008548,               0.008548,               0.008548
                     46,                 1.1319,                 1.2119,                0.81129,                0.47316,                0.39985,                0.39882,                 0.2812,                0.95705,                 1.1335,                0.80614,               0.008515,               0.008515,               0.008515
                     47,                 1.1609,                 1.1909,                0.80905,                0.46997,                0.40856,                0.40269,                0.28391,                0.95118,                 1.1271,                0.80267,               0.008482,               0.008482,               0.008482
                     48,                 1.1251,                 1.1819,                0.80673,                0.50546,                0.38371,                0.40346,                0.28577,                0.93602,                 1.1294,                0.80315,               0.008449,               0.008449,               0.008449
                     49,                 1.1248,                 1.1548,                 0.8031,                0.50029,                0.40627,                0.41056,                0.29296,                 0.9359,                 1.1171,                0.80379,               0.008416,               0.008416,               0.008416
