                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9961,                 27.259,                 2.5169,                0.33557,                0.00359,                0.00119,                0.00049,                 3.5503,                 5.4963,                 2.0764,               0.070065,              0.0033261,              0.0033261
                      2,                 2.5603,                  4.484,                 1.2632,                0.01423,                0.24789,                0.02881,                0.01336,                 2.1275,                 3.6184,                 1.1266,               0.040043,              0.0066374,              0.0066374
                      3,                 2.0912,                 3.4261,                 1.0796,                0.15974,                0.11281,                0.06057,                0.03308,                 1.7937,                 2.8022,                 1.0422,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.8211,                  2.879,                 1.0071,                 0.3857,                0.19601,                0.11362,                0.06478,                  1.504,                 2.3926,                0.96434,               0.009901,               0.009901,               0.009901
                      5,                 1.6123,                 2.4988,                0.96463,                 0.3106,                0.20839,                0.14513,                0.08465,                 1.3498,                 2.2137,                0.93222,               0.009868,               0.009868,               0.009868
                      6,                 1.5131,                 2.2861,                0.94344,                0.39488,                0.22034,                0.17108,                0.10052,                 1.2592,                 2.1054,                0.91499,               0.009835,               0.009835,               0.009835
                      7,                 1.4125,                 2.1548,                0.92094,                 0.2674,                0.29943,                0.19608,                0.11939,                 1.2079,                 2.0314,                0.90316,               0.009802,               0.009802,               0.009802
                      8,                 1.3807,                  2.033,                0.90237,                0.31919,                0.33696,                0.22453,                0.13437,                 1.2398,                 1.8647,                0.89742,               0.009769,               0.009769,               0.009769
                      9,                 1.3394,                 1.9683,                0.90201,                0.31539,                0.30408,                0.23531,                0.14619,                 1.1771,                 1.8223,                0.89007,               0.009736,               0.009736,               0.009736
                     10,                 1.3015,                 1.8892,                0.89178,                0.32214,                0.35455,                0.24135,                0.14858,                 1.1502,                 1.7331,                 0.8826,               0.009703,               0.009703,               0.009703
                     11,                 1.2777,                 1.8346,                0.89017,                 0.4255,                0.32693,                0.25179,                0.15714,                 1.1534,                 1.7444,                0.88306,                0.00967,                0.00967,                0.00967
                     12,                 1.2564,                 1.7919,                0.88323,                0.38259,                 0.3428,                 0.2724,                0.17436,                 1.1055,                 1.6484,                 0.8687,               0.009637,               0.009637,               0.009637
                     13,                 1.2616,                 1.7996,                0.88545,                0.39703,                0.34518,                0.28467,                0.18621,                 1.0714,                 1.6538,                 0.8694,               0.009604,               0.009604,               0.009604
                     14,                 1.2313,                 1.7481,                0.87639,                0.35495,                 0.3785,                0.28439,                0.18639,                  1.085,                 1.6134,                0.86353,               0.009571,               0.009571,               0.009571
                     15,                 1.2152,                 1.7245,                0.87214,                 0.4601,                0.36881,                0.30437,                0.19953,                 1.0667,                 1.5744,                0.86919,               0.009538,               0.009538,               0.009538
                     16,                 1.1824,                 1.6668,                0.87003,                0.41161,                0.37959,                0.30927,                0.20622,                 1.0469,                 1.5437,                 0.8598,               0.009505,               0.009505,               0.009505
