                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2636,                 83.565,                  2.947,                      0,                      0,                      0,                      0,                 4.4281,                 6.4201,                 3.7915,               0.070065,              0.0033261,              0.0033261
                      2,                 2.7788,                 5.4676,                  1.457,                0.29547,                0.07536,                0.02279,                0.01123,                 2.0283,                 3.2334,                 1.0958,               0.040043,              0.0066374,              0.0066374
                      3,                  2.074,                 3.4437,                 1.0783,                0.41757,                0.13905,                0.06767,                 0.0329,                 1.8394,                 2.7571,                 1.0512,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.8041,                 2.8116,                 1.0061,                0.41671,                0.20224,                0.13614,                  0.075,                 1.4787,                 2.1792,                0.96588,               0.009901,               0.009901,               0.009901
                      5,                 1.5987,                 2.4444,                0.96017,                0.40698,                 0.2426,                0.16396,                0.09371,                 1.3056,                 2.1204,                0.91162,               0.009868,               0.009868,               0.009868
                      6,                 1.4957,                 2.1961,                0.93632,                0.35359,                0.28616,                0.19995,                0.12357,                 1.2573,                 1.9111,                0.91161,               0.009835,               0.009835,               0.009835
                      7,                 1.3946,                 2.0877,                0.91582,                 0.4021,                0.30681,                0.22359,                0.14003,                 1.1822,                 1.8539,                0.89462,               0.009802,               0.009802,               0.009802
                      8,                 1.3592,                 1.9743,                0.89839,                0.41958,                0.36224,                0.23907,                0.14821,                 1.1585,                 1.7386,                 0.8846,               0.009769,               0.009769,               0.009769
                      9,                 1.3309,                 1.9087,                 0.8974,                0.36036,                0.34368,                0.25003,                0.15609,                 1.1617,                 1.7127,                0.88409,               0.009736,               0.009736,               0.009736
                     10,                 1.2816,                 1.8352,                0.88645,                 0.3464,                0.35789,                0.26072,                0.16199,                 1.1495,                 1.6589,                0.87727,               0.009703,               0.009703,               0.009703
                     11,                 1.2643,                  1.791,                0.88637,                0.44478,                  0.353,                 0.2733,                0.17109,                 1.1441,                 1.6602,                0.87933,                0.00967,                0.00967,                0.00967
                     12,                 1.2509,                 1.7507,                0.88125,                0.45003,                0.36747,                0.29241,                0.19029,                 1.0956,                 1.5931,                0.86643,               0.009637,               0.009637,               0.009637
                     13,                 1.2465,                 1.7504,                0.88105,                0.45277,                0.37513,                0.30639,                0.20152,                 1.0191,                 1.5645,                0.86208,               0.009604,               0.009604,               0.009604
                     14,                 1.2162,                 1.7035,                0.87284,                0.44718,                0.39215,                0.30603,                    0.2,                 1.0482,                 1.5497,                0.86164,               0.009571,               0.009571,               0.009571
                     15,                 1.2023,                 1.6817,                0.86729,                0.47394,                0.39941,                 0.3287,                0.21071,                 1.0768,                 1.5353,                0.86243,               0.009538,               0.009538,               0.009538
                     16,                 1.1675,                 1.6274,                0.86712,                0.49042,                0.39877,                0.33188,                0.21853,                 1.0367,                 1.5249,                0.85902,               0.009505,               0.009505,               0.009505
                     17,                 1.1819,                  1.625,                 0.8659,                0.41726,                0.39137,                0.33786,                0.22124,                 1.0428,                 1.4685,                0.86102,               0.009472,               0.009472,               0.009472
                     18,                 1.1689,                 1.6056,                0.86467,                 0.5809,                0.37334,                0.35237,                0.23661,                 1.0086,                 1.4654,                0.85286,               0.009439,               0.009439,               0.009439
                     19,                  1.152,                 1.5708,                0.86323,                0.37256,                0.45352,                0.36274,                0.24393,                0.99145,                 1.4423,                0.85037,               0.009406,               0.009406,               0.009406
                     20,                 1.1506,                 1.5641,                0.85783,                0.39033,                0.42936,                0.36309,                0.24162,                 1.0135,                 1.4672,                0.85309,               0.009373,               0.009373,               0.009373
                     21,                 1.1396,                 1.5298,                0.85485,                0.41593,                0.42125,                0.37274,                0.24979,                 1.0095,                 1.4217,                0.85273,                0.00934,                0.00934,                0.00934
                     22,                 1.1467,                 1.5384,                 0.8604,                 0.4192,                0.42921,                0.36902,                 0.2499,                0.98724,                  1.415,                 0.8463,               0.009307,               0.009307,               0.009307
                     23,                 1.1307,                 1.5354,                0.85942,                0.48625,                0.44161,                0.38861,                0.26571,                 0.9784,                 1.3954,                0.84523,               0.009274,               0.009274,               0.009274
                     24,                 1.1169,                 1.5064,                0.85785,                  0.431,                0.44048,                 0.3855,                0.26538,                0.97014,                 1.3838,                 0.8464,               0.009241,               0.009241,               0.009241
                     25,                 1.1221,                 1.5102,                0.85536,                0.48482,                 0.4376,                0.39286,                0.26787,                0.97851,                 1.3794,                0.84647,               0.009208,               0.009208,               0.009208
                     26,                 1.1085,                 1.4645,                0.84965,                0.47442,                0.46077,                0.40616,                0.27803,                0.96612,                   1.35,                0.84312,               0.009175,               0.009175,               0.009175
                     27,                 1.1101,                 1.4508,                0.85563,                0.39659,                0.48036,                0.40794,                0.27688,                0.98326,                 1.3605,                0.84726,               0.009142,               0.009142,               0.009142
                     28,                 1.1085,                 1.4614,                0.85518,                0.48477,                0.45408,                0.41392,                 0.2816,                0.97708,                 1.3482,                0.84384,               0.009109,               0.009109,               0.009109
                     29,                 1.0954,                 1.4386,                0.85168,                0.45218,                0.46768,                0.42624,                0.29457,                0.94331,                  1.316,                0.83933,               0.009076,               0.009076,               0.009076
                     30,                 1.0906,                 1.4191,                0.84944,                  0.447,                0.44882,                0.41755,                0.28683,                0.95051,                 1.3087,                0.84161,               0.009043,               0.009043,               0.009043
                     31,                 1.0964,                 1.4328,                0.85003,                0.42703,                0.47209,                  0.441,                0.30271,                0.95002,                 1.3103,                0.84093,                0.00901,                0.00901,                0.00901
                     32,                 1.0845,                 1.4243,                0.85313,                 0.4485,                0.48101,                0.44073,                0.30671,                0.94441,                 1.2931,                0.83976,               0.008977,               0.008977,               0.008977
                     33,                 1.0767,                 1.4049,                0.84861,                0.45964,                0.49492,                0.44683,                0.30859,                0.93448,                 1.2909,                0.83937,               0.008944,               0.008944,               0.008944
                     34,                 1.0683,                  1.394,                0.84187,                0.44608,                0.50459,                0.44779,                0.31027,                 0.9359,                 1.2828,                0.83947,               0.008911,               0.008911,               0.008911
                     35,                 1.0553,                 1.3682,                0.84178,                0.44799,                0.50794,                0.45846,                0.31638,                0.93913,                 1.2678,                0.83819,               0.008878,               0.008878,               0.008878
