                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6329,                 215.63,                 4.1359,                      0,                      0,                      0,                      0,                 9.8742,                    inf,                 8.7609,               0.070065,              0.0033261,              0.0033261
                      2,                 6.7032,                 68.372,                 4.0468,                0.09648,                0.12649,                0.01028,                0.00395,                 5.3885,                  7.376,                 2.5014,               0.040043,              0.0066374,              0.0066374
                      3,                 4.6941,                 7.8554,                 2.1921,                0.41007,                0.14755,                0.06716,                 0.0289,                 3.9659,                 5.6725,                 2.0233,              0.0099994,              0.0099268,              0.0099268
                      4,                 3.8593,                 5.6408,                 1.9663,                0.34193,                0.19787,                 0.1329,                0.06496,                 3.3312,                 4.2774,                 1.8755,               0.009901,               0.009901,               0.009901
                      5,                 3.3403,                 4.6194,                 1.8575,                0.40926,                0.27585,                0.19076,                0.11749,                 2.6052,                 3.7501,                  1.781,               0.009868,               0.009868,               0.009868
                      6,                 3.1267,                 4.0733,                 1.8193,                 0.4008,                0.30717,                 0.2237,                0.13482,                   2.69,                 3.5497,                 1.7788,               0.009835,               0.009835,               0.009835
                      7,                 2.9049,                 3.8088,                 1.7816,                0.38141,                0.35543,                0.26773,                0.16703,                  2.455,                 3.3447,                 1.7402,               0.009802,               0.009802,               0.009802
                      8,                 2.8289,                 3.5812,                 1.7516,                0.44046,                0.35849,                0.28324,                0.17703,                 2.4401,                 3.3243,                 1.7307,               0.009769,               0.009769,               0.009769
                      9,                 2.7331,                 3.4601,                 1.7447,                 0.4059,                 0.3845,                0.31027,                 0.2005,                 2.3705,                 3.0133,                 1.7168,               0.009736,               0.009736,               0.009736
                     10,                  2.646,                 3.3048,                 1.7257,                0.43721,                   0.38,                0.31826,                0.20597,                 2.3521,                 2.9835,                 1.7159,               0.009703,               0.009703,               0.009703
                     11,                 2.5867,                 3.2165,                 1.7238,                0.48588,                0.36441,                0.33103,                0.22016,                 2.2829,                 2.9551,                 1.7057,                0.00967,                0.00967,                0.00967
                     12,                 2.5524,                 3.1399,                 1.7137,                0.37995,                 0.4374,                0.36011,                0.24295,                 2.2329,                  2.768,                 1.6995,               0.009637,               0.009637,               0.009637
                     13,                 2.5671,                  3.126,                 1.7125,                 0.4539,                0.40562,                0.36485,                0.24359,                 2.2087,                 2.8206,                 1.6859,               0.009604,               0.009604,               0.009604
                     14,                  2.485,                 3.0295,                  1.701,                0.47095,                0.41923,                0.37411,                0.25634,                 2.1859,                 2.7218,                 1.6899,               0.009571,               0.009571,               0.009571
                     15,                 2.4559,                 2.9917,                 1.6921,                0.37877,                0.47248,                0.40016,                0.27275,                 2.1909,                 2.6608,                 1.6867,               0.009538,               0.009538,               0.009538
                     16,                 2.4021,                 2.8723,                 1.6909,                0.49373,                0.44761,                 0.4157,                0.28272,                 2.1499,                 2.5959,                 1.6772,               0.009505,               0.009505,               0.009505
                     17,                 2.4109,                  2.843,                 1.6886,                0.42659,                0.47165,                0.41963,                0.29099,                 2.1223,                 2.5893,                 1.6753,               0.009472,               0.009472,               0.009472
                     18,                 2.3778,                 2.8075,                 1.6847,                0.59687,                0.43679,                0.44807,                0.31415,                 2.0867,                 2.4515,                   1.67,               0.009439,               0.009439,               0.009439
                     19,                 2.3436,                 2.7028,                 1.6813,                0.43014,                0.49993,                0.44967,                0.31756,                  2.074,                 2.4434,                 1.6673,               0.009406,               0.009406,               0.009406
                     20,                 2.3575,                 2.7368,                 1.6748,                0.43886,                0.47553,                0.44648,                  0.313,                 2.0754,                 2.4867,                  1.672,               0.009373,               0.009373,               0.009373
                     21,                 2.3159,                 2.6235,                 1.6664,                0.50449,                0.47825,                0.48051,                0.34179,                 2.0569,                 2.3677,                 1.6626,                0.00934,                0.00934,                0.00934
                     22,                 2.3115,                 2.5926,                 1.6746,                0.49319,                 0.4769,                0.48587,                0.34937,                 2.0017,                 2.3226,                  1.655,               0.009307,               0.009307,               0.009307
                     23,                  2.287,                 2.6027,                 1.6707,                0.48984,                0.50402,                0.48223,                0.34534,                 1.9823,                 2.3481,                 1.6526,               0.009274,               0.009274,               0.009274
                     24,                  2.266,                  2.493,                 1.6729,                0.45779,                0.51438,                0.50196,                 0.3612,                 1.9962,                 2.2645,                 1.6553,               0.009241,               0.009241,               0.009241
                     25,                 2.2802,                 2.5217,                 1.6659,                0.52353,                0.50915,                0.50196,                0.36039,                 2.0311,                  2.241,                 1.6537,               0.009208,               0.009208,               0.009208
                     26,                 2.2571,                 2.4569,                  1.663,                0.51993,                 0.5352,                0.53357,                0.38858,                 1.9794,                 2.1177,                   1.65,               0.009175,               0.009175,               0.009175
                     27,                  2.233,                 2.3836,                 1.6696,                  0.579,                0.50301,                0.51899,                0.37714,                 1.9726,                 2.1604,                  1.654,               0.009142,               0.009142,               0.009142
                     28,                 2.2336,                 2.3809,                 1.6648,                0.54286,                0.55202,                0.54962,                0.39827,                 1.9489,                 2.0667,                 1.6518,               0.009109,               0.009109,               0.009109
                     29,                 2.2143,                 2.3201,                 1.6603,                 0.5429,                0.54732,                0.54926,                0.40039,                  1.944,                 2.0889,                 1.6505,               0.009076,               0.009076,               0.009076
                     30,                 2.2027,                 2.2807,                 1.6581,                0.53232,                0.56719,                0.56042,                0.41074,                  1.921,                 2.0156,                 1.6465,               0.009043,               0.009043,               0.009043
                     31,                 2.1998,                  2.291,                 1.6584,                  0.524,                0.56715,                0.56498,                0.41283,                 1.9367,                 2.0034,                 1.6461,                0.00901,                0.00901,                0.00901
                     32,                 2.1754,                 2.2527,                 1.6619,                 0.6018,                0.56279,                0.58467,                0.42675,                 1.9063,                 1.9457,                 1.6423,               0.008977,               0.008977,               0.008977
                     33,                 2.1629,                 2.2191,                  1.656,                0.59149,                0.56633,                0.59636,                0.44031,                 1.9037,                  1.914,                 1.6461,               0.008944,               0.008944,               0.008944
                     34,                 2.1681,                 2.2145,                 1.6497,                0.58989,                0.56353,                0.59549,                0.43916,                 1.9028,                  1.914,                 1.6455,               0.008911,               0.008911,               0.008911
                     35,                 2.1267,                 2.1242,                 1.6462,                0.58421,                0.58912,                0.60571,                  0.449,                 1.8991,                 1.8507,                 1.6428,               0.008878,               0.008878,               0.008878
                     36,                 2.1288,                 2.1158,                 1.6531,                0.57649,                0.59834,                0.62075,                0.46145,                 1.8698,                 1.8279,                 1.6392,               0.008845,               0.008845,               0.008845
                     37,                 2.1199,                  2.076,                 1.6458,                 0.6046,                0.58223,                0.62295,                0.46073,                 1.8704,                 1.8136,                 1.6361,               0.008812,               0.008812,               0.008812
                     38,                 2.1043,                 2.0381,                 1.6476,                0.59546,                0.60388,                0.63868,                0.47584,                 1.8846,                 1.7766,                  1.637,               0.008779,               0.008779,               0.008779
                     39,                 2.1024,                 2.0421,                 1.6532,                0.60582,                0.59906,                0.63315,                0.47218,                 1.8715,                 1.7433,                 1.6396,               0.008746,               0.008746,               0.008746
                     40,                 2.1044,                 2.0449,                 1.6514,                 0.6512,                0.61432,                0.64842,                0.48292,                 1.8512,                 1.7456,                 1.6358,               0.008713,               0.008713,               0.008713
                     41,                  2.104,                 2.0049,                 1.6476,                0.65901,                0.59503,                0.64306,                0.48151,                 1.8422,                 1.7193,                 1.6377,                0.00868,                0.00868,                0.00868
                     42,                 2.0999,                 2.0075,                 1.6494,                0.62691,                0.60043,                0.64462,                0.48117,                  1.853,                 1.7053,                 1.6356,               0.008647,               0.008647,               0.008647
                     43,                 2.1119,                 1.9899,                 1.6518,                0.63325,                0.61877,                0.65761,                0.49383,                   1.84,                 1.6741,                 1.6355,               0.008614,               0.008614,               0.008614
                     44,                 2.0659,                 1.9122,                  1.646,                0.65824,                0.61598,                0.66584,                 0.4989,                 1.8361,                 1.6636,                 1.6318,               0.008581,               0.008581,               0.008581
                     45,                 2.0694,                 1.8976,                 1.6449,                0.62865,                0.64572,                0.67942,                0.51143,                  1.821,                 1.5956,                 1.6352,               0.008548,               0.008548,               0.008548
                     46,                 2.0599,                 1.8922,                 1.6469,                0.65702,                0.62418,                0.67927,                0.51246,                 1.8227,                 1.6002,                 1.6322,               0.008515,               0.008515,               0.008515
                     47,                 2.0765,                 1.8743,                 1.6443,                0.69449,                0.62067,                0.68641,                0.51703,                 1.8198,                 1.5753,                  1.631,               0.008482,               0.008482,               0.008482
                     48,                 2.0376,                 1.8661,                 1.6405,                0.66857,                0.64333,                 0.6924,                 0.5259,                 1.8042,                 1.5728,                 1.6289,               0.008449,               0.008449,               0.008449
                     49,                 2.0494,                 1.8106,                 1.6419,                 0.6868,                0.64126,                0.69944,                0.52845,                 1.8028,                 1.5616,                 1.6297,               0.008416,               0.008416,               0.008416
                     50,                 2.0411,                 1.8437,                 1.6391,                0.69494,                 0.6445,                0.70433,                0.53531,                 1.7927,                 1.5458,                 1.6297,               0.008383,               0.008383,               0.008383
                     51,                 2.0432,                 1.7902,                 1.6442,                0.71905,                0.63474,                0.71319,                0.54074,                 1.7875,                 1.5173,                 1.6267,                0.00835,                0.00835,                0.00835
                     52,                 2.0271,                 1.7825,                 1.6384,                0.69879,                0.66405,                0.72087,                0.54664,                 1.7887,                 1.4955,                 1.6289,               0.008317,               0.008317,               0.008317
                     53,                 2.0449,                 1.7734,                  1.636,                0.70793,                0.65032,                0.72283,                0.54955,                 1.7896,                 1.4718,                 1.6284,               0.008284,               0.008284,               0.008284
                     54,                 2.0171,                 1.7502,                 1.6404,                0.73653,                0.63311,                0.72778,                0.55292,                 1.7907,                 1.4624,                 1.6264,               0.008251,               0.008251,               0.008251
                     55,                 2.0221,                 1.7391,                 1.6412,                0.73699,                0.65996,                0.73692,                0.56301,                 1.7726,                 1.4378,                 1.6264,               0.008218,               0.008218,               0.008218
                     56,                 2.0209,                 1.7304,                 1.6389,                0.73919,                0.64744,                0.73925,                0.56236,                 1.7776,                 1.4406,                 1.6261,               0.008185,               0.008185,               0.008185
                     57,                 2.0039,                 1.7121,                 1.6355,                0.76268,                0.65872,                0.74609,                0.56909,                 1.7671,                 1.4111,                 1.6247,               0.008152,               0.008152,               0.008152
                     58,                 1.9967,                 1.6627,                 1.6366,                0.72558,                0.67677,                0.74869,                0.57184,                  1.766,                 1.4064,                  1.626,               0.008119,               0.008119,               0.008119
                     59,                 2.0135,                 1.6825,                 1.6328,                0.76151,                0.67467,                 0.7557,                0.57882,                 1.7751,                 1.4002,                 1.6278,               0.008086,               0.008086,               0.008086
                     60,                 1.9732,                 1.6694,                 1.6327,                0.77179,                0.67619,                0.76366,                0.58253,                 1.7641,                 1.3649,                 1.6239,               0.008053,               0.008053,               0.008053
                     61,                 1.9832,                 1.6608,                 1.6342,                0.76161,                0.68239,                0.76483,                0.58397,                 1.7573,                 1.3711,                 1.6226,                0.00802,                0.00802,                0.00802
                     62,                 1.9676,                 1.6271,                 1.6346,                0.72674,                0.70031,                0.76743,                0.58739,                 1.7486,                 1.3682,                 1.6236,               0.007987,               0.007987,               0.007987
                     63,                 1.9687,                 1.6318,                 1.6345,                0.79194,                0.65834,                  0.767,                0.58906,                 1.7432,                 1.3595,                 1.6225,               0.007954,               0.007954,               0.007954
                     64,                 1.9742,                 1.6232,                 1.6332,                0.75333,                0.66797,                0.76355,                0.58657,                 1.7396,                 1.3545,                 1.6209,               0.007921,               0.007921,               0.007921
                     65,                 1.9612,                 1.5909,                 1.6352,                0.76216,                0.68476,                0.76759,                 0.5881,                 1.7393,                 1.3391,                 1.6213,               0.007888,               0.007888,               0.007888
                     66,                 1.9412,                 1.5796,                 1.6335,                0.76124,                0.70253,                0.77945,                0.59946,                 1.7389,                 1.3188,                 1.6206,               0.007855,               0.007855,               0.007855
                     67,                 1.9549,                  1.584,                 1.6321,                0.77459,                0.69763,                0.77895,                 0.6003,                 1.7254,                 1.3114,                 1.6195,               0.007822,               0.007822,               0.007822
                     68,                 1.9776,                 1.5828,                 1.6368,                 0.7877,                0.69506,                0.78077,                0.60178,                 1.7215,                 1.3039,                 1.6186,               0.007789,               0.007789,               0.007789
                     69,                 1.9383,                 1.5752,                 1.6327,                 0.7691,                0.68513,                0.77679,                0.59868,                 1.7268,                 1.3161,                 1.6209,               0.007756,               0.007756,               0.007756
                     70,                 1.9383,                 1.5507,                 1.6279,                0.79216,                0.68776,                0.78566,                0.60501,                 1.7191,                 1.2932,                 1.6202,               0.007723,               0.007723,               0.007723
                     71,                 1.9456,                 1.5499,                  1.626,                0.76761,                0.71152,                0.78809,                0.60597,                  1.716,                 1.2838,                 1.6207,                0.00769,                0.00769,                0.00769
                     72,                 1.9275,                 1.5293,                 1.6287,                0.76961,                0.71527,                0.78848,                0.60666,                 1.7086,                  1.287,                 1.6188,               0.007657,               0.007657,               0.007657
                     73,                  1.928,                 1.5389,                 1.6246,                0.80794,                0.68642,                0.79174,                0.61315,                 1.6974,                 1.2712,                 1.6166,               0.007624,               0.007624,               0.007624
                     74,                 1.9297,                  1.516,                 1.6238,                 0.7958,                0.71124,                0.79541,                0.61517,                 1.7058,                 1.2624,                  1.618,               0.007591,               0.007591,               0.007591
                     75,                 1.9106,                 1.5008,                 1.6268,                0.79153,                0.70232,                 0.7958,                0.61504,                 1.7035,                 1.2564,                 1.6185,               0.007558,               0.007558,               0.007558
