                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0246,                 29.116,                 2.5581,                0.00519,                0.02719,                 0.0037,                0.00147,                 3.0035,                 4.7801,                  1.678,               0.070065,              0.0033261,              0.0033261
                      2,                 2.4257,                 3.9465,                 1.2371,                0.35132,                0.10506,                0.06097,                0.03185,                 1.8402,                 2.9074,                 1.0611,               0.040043,              0.0066374,              0.0066374
                      3,                 1.9001,                  2.971,                 1.0361,                  0.264,                0.23044,                 0.1146,                0.05815,                 1.5797,                  2.463,                0.97889,              0.0099994,              0.0099268,              0.0099268
                      4,                 1.6129,                 2.4945,                 0.9667,                0.42019,                0.28653,                 0.1779,                0.10627,                 1.2903,                 2.0358,                0.91328,               0.009901,               0.009901,               0.009901
                      5,                 1.4238,                 2.1351,                0.92202,                0.42005,                0.32077,                0.21827,                0.13362,                 1.1987,                 1.9347,                0.89752,               0.009868,               0.009868,               0.009868
                      6,                 1.3413,                 1.9274,                0.90616,                0.41585,                0.36396,                0.25898,                0.16142,                 1.1487,                 1.7532,                0.88903,               0.009835,               0.009835,               0.009835
                      7,                  1.253,                 1.8287,                0.88853,                0.33934,                0.39696,                0.28513,                0.18636,                 1.0317,                 1.6892,                0.86901,               0.009802,               0.009802,               0.009802
                      8,                 1.2286,                 1.7308,                0.87433,                0.49847,                0.38965,                0.31588,                0.20421,                 1.0611,                 1.5925,                0.86349,               0.009769,               0.009769,               0.009769
                      9,                 1.1817,                 1.6696,                 0.8701,                0.42988,                0.44111,                0.34333,                0.22657,                 1.0443,                 1.5072,                0.86451,               0.009736,               0.009736,               0.009736
                     10,                 1.1482,                 1.5914,                0.86307,                0.49181,                0.39745,                0.35787,                0.23756,                 1.0079,                 1.4647,                0.85658,               0.009703,               0.009703,               0.009703
                     11,                 1.1285,                 1.5465,                0.86072,                0.46552,                0.42592,                0.38308,                0.25907,                 1.0051,                 1.4076,                0.85501,                0.00967,                0.00967,                0.00967
                     12,                 1.1085,                 1.5031,                0.85622,                0.44103,                0.46314,                 0.3927,                0.26665,                0.97695,                 1.3953,                0.84742,               0.009637,               0.009637,               0.009637
                     13,                 1.1143,                 1.5007,                0.85714,                0.38659,                0.46569,                0.39151,                0.26873,                 0.9538,                 1.3871,                0.84497,               0.009604,               0.009604,               0.009604
                     14,                 1.0831,                  1.456,                 0.8511,                0.43868,                 0.4826,                0.40928,                0.28243,                0.95361,                 1.3486,                0.84714,               0.009571,               0.009571,               0.009571
                     15,                  1.073,                 1.4287,                0.84664,                0.48643,                0.48327,                0.43975,                0.30545,                0.93714,                 1.3023,                0.84058,               0.009538,               0.009538,               0.009538
                     16,                 1.0455,                 1.3763,                0.84684,                0.56036,                0.46664,                0.45573,                0.31729,                0.93642,                 1.2666,                0.83944,               0.009505,               0.009505,               0.009505
                     17,                 1.0546,                 1.3639,                0.84531,                0.43183,                0.49265,                0.45036,                0.31586,                0.92494,                 1.2647,                 0.8382,               0.009472,               0.009472,               0.009472
                     18,                 1.0432,                 1.3575,                0.84577,                0.50518,                0.46922,                0.45027,                0.31343,                0.91663,                 1.2615,                0.83757,               0.009439,               0.009439,               0.009439
                     19,                 1.0212,                 1.3073,                0.84108,                 0.4711,                0.50147,                0.46826,                0.33087,                0.90382,                 1.2108,                0.83405,               0.009406,               0.009406,               0.009406
                     20,                 1.0277,                 1.3074,                0.83892,                0.44798,                0.51686,                0.48003,                0.33944,                0.90894,                 1.1972,                0.83767,               0.009373,               0.009373,               0.009373
                     21,                 1.0097,                 1.2625,                0.83535,                0.49897,                0.50647,                0.50216,                0.35514,                0.90564,                 1.1619,                0.83751,                0.00934,                0.00934,                0.00934
                     22,                 1.0112,                 1.2517,                0.84039,                 0.4899,                0.53517,                0.50852,                0.36248,                0.89645,                 1.1572,                0.83411,               0.009307,               0.009307,               0.009307
                     23,                 1.0001,                 1.2539,                0.83896,                0.51941,                 0.5465,                0.52317,                0.37284,                0.87526,                 1.1357,                 0.8288,               0.009274,               0.009274,               0.009274
                     24,                0.99062,                 1.2045,                0.83884,                0.52466,                0.53717,                0.53373,                0.38454,                0.86922,                 1.0874,                 0.8274,               0.009241,               0.009241,               0.009241
                     25,                0.98862,                 1.2039,                0.83602,                0.54684,                 0.5291,                0.53557,                0.38755,                0.86258,                 1.0981,                0.82843,               0.009208,               0.009208,               0.009208
                     26,                0.98514,                 1.1759,                0.83296,                0.59599,                0.53207,                0.56216,                0.40954,                0.86199,                 1.0328,                0.82871,               0.009175,               0.009175,               0.009175
                     27,                0.98375,                 1.1364,                0.83717,                0.57933,                0.57032,                0.57094,                 0.4162,                0.86495,                 1.0301,                0.82811,               0.009142,               0.009142,               0.009142
                     28,                0.97209,                 1.1423,                0.83568,                0.58645,                0.54331,                0.56494,                0.40633,                0.87971,                 1.0458,                0.82987,               0.009109,               0.009109,               0.009109
                     29,                0.96607,                 1.1137,                0.83209,                0.62638,                0.53704,                0.57758,                0.42128,                0.84702,                 1.0158,                0.82615,               0.009076,               0.009076,               0.009076
                     30,                0.96141,                 1.0933,                0.83111,                0.58562,                0.55479,                0.58665,                0.43033,                0.84312,                0.98686,                0.82607,               0.009043,               0.009043,               0.009043
                     31,                 0.9699,                  1.092,                0.83324,                0.55007,                0.60435,                0.59423,                0.43412,                0.84621,                0.98757,                  0.825,                0.00901,                0.00901,                0.00901
                     32,                0.95839,                 1.0768,                0.83518,                 0.6056,                0.59662,                0.60596,                0.44224,                0.84908,                0.96384,                0.82595,               0.008977,               0.008977,               0.008977
                     33,                0.95076,                 1.0594,                0.83082,                0.62828,                0.58284,                0.61262,                0.45005,                0.84519,                0.94786,                0.82338,               0.008944,               0.008944,               0.008944
                     34,                0.94875,                 1.0494,                 0.8268,                0.64901,                0.57295,                0.61724,                0.45388,                0.84183,                0.92334,                0.82549,               0.008911,               0.008911,               0.008911
                     35,                0.93266,                 1.0112,                0.82569,                 0.6526,                0.57218,                0.64226,                0.47838,                0.83087,                0.90635,                0.82365,               0.008878,               0.008878,               0.008878
                     36,                0.93024,                 1.0078,                0.82995,                0.61201,                0.61789,                 0.6297,                0.46645,                0.82093,                0.89887,                0.82199,               0.008845,               0.008845,               0.008845
                     37,                0.93782,                 0.9891,                0.82559,                0.61828,                0.60719,                0.64106,                0.47473,                0.82939,                0.87697,                0.82068,               0.008812,               0.008812,               0.008812
                     38,                0.92904,                0.96697,                0.82782,                0.60983,                0.60884,                0.63755,                0.46972,                0.82513,                0.87355,                0.82117,               0.008779,               0.008779,               0.008779
                     39,                0.92396,                0.96411,                 0.8297,                0.69553,                0.58372,                  0.657,                0.48651,                0.82561,                0.84806,                0.82158,               0.008746,               0.008746,               0.008746
                     40,                0.92116,                0.95388,                0.82891,                  0.673,                0.61521,                0.66918,                0.49657,                0.81374,                0.84121,                0.81777,               0.008713,               0.008713,               0.008713
                     41,                0.92585,                0.94369,                0.82798,                0.64516,                0.62896,                0.66368,                0.49301,                0.81461,                0.84814,                0.82134,                0.00868,                0.00868,                0.00868
                     42,                0.91898,                0.93523,                  0.828,                0.66189,                0.64624,                0.67558,                0.50234,                0.81397,                0.82311,                0.81915,               0.008647,               0.008647,               0.008647
                     43,                0.93144,                0.93833,                 0.8294,                  0.689,                0.61553,                0.67417,                 0.5023,                0.80591,                0.80733,                 0.8184,               0.008614,               0.008614,               0.008614
                     44,                0.91079,                0.90956,                0.82741,                0.67828,                0.63162,                0.68025,                 0.5082,                0.80998,                0.79932,                0.81957,               0.008581,               0.008581,               0.008581
                     45,                0.90496,                0.88669,                0.82457,                0.67764,                0.63693,                0.68942,                0.51449,                 0.8094,                0.79187,                0.81871,               0.008548,               0.008548,               0.008548
                     46,                0.90336,                0.89723,                0.82646,                0.68574,                0.63649,                0.69475,                0.51856,                0.80376,                0.78216,                0.81715,               0.008515,               0.008515,               0.008515
                     47,                0.91764,                0.88181,                0.82562,                0.68535,                0.64669,                0.69515,                0.52315,                0.79548,                0.78547,                0.81732,               0.008482,               0.008482,               0.008482
                     48,                 0.8944,                0.87321,                0.82207,                0.69985,                0.64108,                0.70455,                0.53258,                0.78414,                0.75695,                0.81604,               0.008449,               0.008449,               0.008449
                     49,                0.90105,                0.84768,                0.82354,                0.71643,                0.64871,                0.71861,                0.53809,                0.79444,                0.75698,                0.81818,               0.008416,               0.008416,               0.008416
                     50,                0.90064,                0.85385,                0.82246,                0.71675,                0.63856,                0.71889,                0.54091,                0.79093,                0.74678,                0.81751,               0.008383,               0.008383,               0.008383
                     51,                0.89477,                0.84192,                0.82472,                0.71251,                0.64783,                0.71909,                0.54361,                0.78802,                0.73683,                0.81698,                0.00835,                0.00835,                0.00835
                     52,                0.89096,                0.83324,                0.82207,                0.71981,                0.67168,                0.72986,                0.55444,                0.78653,                0.72378,                0.81716,               0.008317,               0.008317,               0.008317
                     53,                 0.8999,                0.83156,                0.82053,                 0.7083,                0.67037,                0.72827,                0.55084,                 0.7812,                0.72083,                0.81612,               0.008284,               0.008284,               0.008284
                     54,                0.87926,                0.82053,                0.82184,                0.72408,                0.68217,                0.74558,                0.56441,                 0.7763,                0.71227,                0.81337,               0.008251,               0.008251,               0.008251
                     55,                0.88557,                0.81514,                0.82376,                0.72464,                0.68442,                0.74428,                0.56422,                0.77511,                 0.7011,                0.81401,               0.008218,               0.008218,               0.008218
                     56,                0.88646,                0.81681,                0.82174,                0.73588,                0.67922,                0.75325,                0.56748,                0.77468,                0.69963,                0.81435,               0.008185,               0.008185,               0.008185
                     57,                0.87893,                0.80538,                0.82141,                 0.7442,                 0.6781,                 0.7521,                0.56748,                0.77306,                0.69354,                0.81406,               0.008152,               0.008152,               0.008152
                     58,                0.87526,                0.77489,                0.82124,                0.73383,                0.68714,                0.75207,                0.56711,                0.77208,                 0.6868,                 0.8131,               0.008119,               0.008119,               0.008119
                     59,                0.88454,                0.79931,                0.81865,                0.77681,                0.66397,                  0.761,                0.57643,                0.76926,                0.67386,                0.81387,               0.008086,               0.008086,               0.008086
                     60,                0.86106,                0.78158,                0.81862,                0.76095,                0.69413,                0.76726,                0.58082,                0.76722,                0.66793,                0.81371,               0.008053,               0.008053,               0.008053
                     61,                 0.8685,                0.77031,                0.81969,                0.79247,                0.65585,                 0.7591,                0.57488,                0.76934,                0.66834,                0.81275,                0.00802,                0.00802,                0.00802
                     62,                0.86919,                0.76604,                0.82176,                0.76193,                0.69241,                0.76822,                0.58227,                0.76733,                0.66292,                 0.8133,               0.007987,               0.007987,               0.007987
                     63,                0.86409,                0.76019,                0.81991,                 0.7878,                0.67183,                0.77079,                0.58445,                0.76168,                0.66344,                0.81273,               0.007954,               0.007954,               0.007954
                     64,                 0.8699,                0.76674,                0.81937,                0.77162,                0.69495,                0.77519,                  0.589,                0.76299,                0.65757,                0.81279,               0.007921,               0.007921,               0.007921
                     65,                0.85825,                0.74394,                0.81994,                0.76628,                 0.7025,                0.77793,                0.59115,                0.76289,                 0.6462,                0.81293,               0.007888,               0.007888,               0.007888
                     66,                0.85594,                0.74004,                0.81966,                 0.7821,                0.68567,                0.77603,                0.59048,                0.76083,                0.65209,                0.81281,               0.007855,               0.007855,               0.007855
                     67,                0.85535,                0.73211,                0.81744,                0.78381,                0.70556,                 0.7857,                0.59799,                0.75752,                0.63419,                0.81131,               0.007822,               0.007822,               0.007822
                     68,                0.86548,                0.74053,                0.82041,                0.76287,                0.70674,                0.78255,                0.59613,                0.75585,                0.63542,                0.81182,               0.007789,               0.007789,               0.007789
                     69,                0.84925,                0.72598,                0.81886,                0.78525,                 0.7098,                0.78747,                0.59969,                0.75875,                0.63444,                0.81117,               0.007756,               0.007756,               0.007756
                     70,                0.84708,                0.72219,                0.81581,                0.78751,                0.69159,                0.78778,                0.60352,                0.75405,                0.63339,                 0.8116,               0.007723,               0.007723,               0.007723
                     71,                 0.8546,                0.71944,                0.81598,                0.78801,                0.70453,                0.79302,                0.61047,                0.74887,                0.62087,                0.81128,                0.00769,                0.00769,                0.00769
                     72,                0.84714,                0.71618,                0.81748,                0.80692,                0.70235,                0.79655,                 0.6097,                0.74899,                  0.609,                0.81074,               0.007657,               0.007657,               0.007657
